,content,,,,,,,,,
1425,누가 안무섭다고 누가 개그갔다고 했는지 ... 심야로 보니 집가는 내내 무서워서 쫄깃했어요,,,,,,,,,
1426,긴장을풀수없었다ㄷㄷ,,,,,,,,,
1427,무서워서 스2랑 같이봄 ㅋ,,,,,,,,,
1428,생각보단 덜 무서웠습니다,,,,,,,,,
1429,B급 공포중에 셔터다음으로 재미있었음,,,,,,,,,
1430,놀라죽는줄알앗음 ㅠㅠ,,,,,,,,,
1431,영화속 숨은 MVP는 미친캣맘,,,,,,,,,
1432,코믹영화로서 10점...무섭기보다는웃겻다,,,,,,,,,
1433,내가 본 인시디어스 씨리즈 중에 제일 재미있었다.  할머니영매 멋있어~리암니슨인줄ㅋㅋ,,,,,,,,,
1434,화장실에 환풍기 사이 구멍 괜히 눈간다;;; 짜증...,,,,,,,,,
1435,예기치 않게 놀람..반은 눈가리고 봤습니다..,,,,,,,,,
1436,핵노잼 이말한마디면 영화표현 다 한건데 뭘 열자를 쓰래,,,,,,,,,
1437,아나..영화관에나랑내친구밖에없었음....지릴뻔...ㅜ진심..꼭사람많은데가서보세요,,,,,,,,,
1438,그냥 그냥  교통사고 나는 순간 영화도 함께 끝났다,,,,,,,,,
1439,끝까지 긴장하고 보게 되는 영화!,,,,,,,,,
1440,난 진짜 무서웠다 워낙 잘 놀래서.. 근뎈ㅋ 후반부가 되가니 이게 코미디였나.. 싶은 이상한 장면들이 많이나옴,,,,,,,,,
1441,it was.awesome,,,,,,,,,
1442,재미있게봤어요 무서워요,,,,,,,,,
1443,여주 너무 이쁨 근데 불쌍함ㅠㅠ 그리고 귀신이 너무 주책맞아서 재밌었어요 호호 한번 더 봐야지,,,,,,,,,
1444,그럭저럭 볼만합니다...아쉬운점이 있다면 더더더 공포스러웠으면 하는...,,,,,,,,,
1445,스토리자체는 좋았지만 귀신모습이 너무 부자연스러워서 크게 소름끼치거나 무섭지 않았다,,,,,,,,,
1446,굿굿굿 대박 ㅠㅠㅠ!!,,,,,,,,,
1447,지려서 여저친구랑 헤어졌단 댓글보고 웃길려고 구라깐다 싶었는데 ...내팬티 어떡해,,,,,,,,,
1448,볼만함 옆에서여자친구가 많이놀랫음,,,,,,,,,
1449,생각보다 그냥 그랬어요.,,,,,,,,,
1450,이전작에 비해 실망감이 많았어요..,,,,,,,,,
1451,놀라는장면만 많을뿐 무서운 수준은 그냥 롯데월드 귀신의집정도ㅎ,,,,,,,,,
1452,뭔가 갑툭튀나올부분이 예상이되어서 눈가리고 잘봣스어요 재밋네유,,,,,,,,,
1453,노잼 귀신  시나락까먹는 얘기,,,,,,,,,
1454,역시 인시디어스는갓이다,,,,,,,,,
1455,사운드 빼고는 그닥...,,,,,,,,,
1456,깜짝깜짝놀라는장면이많아 재미있었습니다!!,,,,,,,,,
1457,코믹호런가.. 잼게봄 코믹영화라면 성공했을삘,,,,,,,,,
1458,나이가 들어서 그런가...감흥도 없고...재미도 없고...유치하게까지 느껴진다.,,,,,,,,,
1459,뒷부분만 아니었음 10점인데,,,,,,,,,
1460,토요미스테리 보는느낌 ㅋㅋ 후반부는 약해진듯 뭔가 다른 시도가 필요할듯,,,,,,,,,
1461,나는 공포좋아해서 재밌게봤는데 남친이 진심 육성으로 소리지르면서 그쪽가지마라면서 욕을 주술처럼 읊으며봄ㅋㅋㅋㅋ전편에비해 덜무서웠지만 재밌었어요 코믹부분도있고,,,,,,,,,
1462,스토리보단 깜놀이었던듯...,,,,,,,,,
1463,볼만합니다 마무리가 아쉽지만,,,,,,,,,
1464,와 진짜 꼭 한번 보세요 집중잘되고 재밌고 ㅎㅎ,,,,,,,,,
1465,짱ㅇ이에용 짱짱뮤서븜,,,,,,,,,
1466,식상한 깜놀거리만 많네요 또다른 세계로 갔을때 루즈해지는건 시리즈 전통인가보네요,,,,,,,,,
1467,무서운거 잘못보는데 처음에 다같이 놀라다가 중간에 저혼자 놀랬는데..뒤에 남자분이 웃더니 여기저기 다들 웃더라구요..정말 저혼자만 놀랬어요ㅋ저혼자 놀란거에 웃겨서 저도 같이 웃었는데..모란 롯데시네마에서 같이 보신...,,,,,,,,,
1468,2편의 시나리오가 너무 빼곡해서 프리퀄로 돌릴 수밖에 없었고 그런 상황에서 3편을 프리퀄로 돌려 완결 지은 것은 꽤 바람직해 보임. 재밌게 봤습니다.,,,,,,,,,
1469,공포반 나름 감동반..,,,,,,,,,
1470,솔직히 1,,,,,,,,,
1471,우아...  무서운걸 잘 못봐서인지  깜.놀 했다는..,,,,,,,,,
1472,후기보면무섭다고하는데 무섭지도않고 이건뭐...,,,,,,,,,
1473,엄청 갑둑튀 같았음 ㅋㅋㅋ  진짜 무섭 ㅠ,,,,,,,,,
1474,(진짜 이 세상 모든걸건 진심 솔직한 후기) 오늘 보고왔는데 제가 공포영화를 영화관에서 처음보는데...;;; 처음 부분만 무섭고 나머지는 그냥 별로 그다지 무섭지않은? 조금만 무섭고 이제는 그냥 '저 귀신 할...,,,,,,,,,
1475,재밋어요재맛엉ㅅ쟈늣엀,,,,,,,,,
1476,무섭지만 여친이랑 보면 되요,,,,,,,,,
1477,퀸이 영혼 뺏기기 전까진 진짜 소롬 돋게 무섭고 재밌습니다! 그러나 이후 부터 개그영화 ㅋㅋ 호흡기 달고 있던 귀신의 정체도 안밝혀 주고 끝남 ㅋㅋ,,,,,,,,,
1478,액션영화입니다,,,,,,,,,
1479,너무 기대하고봐서 그런지 개인적으로 1.2보다는재미없었던거같아요. 중간중간깜짝놀라긴하네요,,,,,,,,,
1480,볼만 했습니다....,,,,,,,,,
1481,보는내내 긴장하면서 봣어요!!,,,,,,,,,
1482,너무 재미있고 깜놀한 영화,,,,,,,,,
1483,깜짝깜짝놀라다가끝난영화,,,,,,,,,
1484,끄아아아거ㅏ가앋무서유ㅓ,,,,,,,,,
1485,마지막에는 코미디영환줄...,,,,,,,,,
1486,재밌음 결말이 별론데 재밌음,,,,,,,,,
1487,재미있습니다. 전혀적인 공포물같지만 그렇지 않은부분도 있고,,,,,,,,,
1488,soso 그저그러허다,,,,,,,,,
1489,컨져링 다음으로 괜찮아요. 볼만해요,,,,,,,,,
1490,안무서운줄 알았으면 좀볼껄 ㅎ ㅏ,,,,,,,,,
1491,재밌어요 놀람주의ㅋㅋ,,,,,,,,,
1492,기존의 인시디어스와 조금 다르지만 더위를 잊게해줄만큼 충분히 무섭다!,,,,,,,,,
1493,수차례 경련뒤에도 불쾌감없는 깔끔한 코믹공포물? 쓸데없이 잔인하지 않고 살짝 고스트바스터즈 느낌도? 롤리타 아저씨는 Michael Reid MacKay ... The Man Who Can't Breathe ....,,,,,,,,,
1494,재밋네요재밋네여재멧네용,,,,,,,,,
1495,강심장만 눈귀안가리고볼영화.. 극장에서 눈귀가리고 공포영화본거처음임.. 집가는데 계속뒤에보면서감,,,,,,,,,
1496,긴장쩜 소리쩜 무서워서스크린제대로보지도못함요ㅜ,,,,,,,,,
1497,인시디어스는 스토리 연계성이 뛰어난 공포 참고로 인시디어스 3》1》2편 순으로 보세요 2편의 후속작이 4편이 될듯합니다,,,,,,,,,
1498,감독이 바뀌어서 그런지 몰라도 전편에 비해서 부족함이 있는듯.,,,,,,,,,
1499,이쯤에서 후진편이 나오기마련 이라고 하더라고요 평론가들이 ㅋㅋ,,,,,,,,,
1500,그냥 문안하게 7점 줌니다,,,,,,,,,
1501,놀래키는 데 정신팔려서 스토리 개망똥망 굳이 인시디어스 타이틀을 갖다쓸 필요가 있었나?,,,,,,,,,
1502,중반까진 무서웠는데 갈수록 시시해지네요  서양 귀신 유령은 죄다 좀비만 나오나봐요   대머리 좀비 피식 웃으며 봤습니다,,,,,,,,,
1503,1하고 2를 안보고 그냥 3를 처음으로 보았는데 갑툭튀 하는걸 예측해도 남자인데도 무서워서 눈 가리고보네요 영화관에서 공포영화 첨보는거라 그런지모르겟는데 재미잇어여 근데 공포가 후반으로 갈수록 떨어진다는느낌이..,,,,,,,,,
1504,전작보다 미미한 스토리 . 깜짝놀라는 장면은 많았는데 그냥 거기서 끝나는 영화,,,,,,,,,
1505,툭툭튀나고 재밌엇었욬ㅋㅋㅋ :),,,,,,,,,
1506,재밌습니다. 깜짝깜짝 놀랬네용,,,,,,,,,
1507,역시 인시 시리즈! 극장 스피커로 때려주는 공포의 bgmㅎㅎ 심장이 쫄깃하게 재밌어요. 중후반정도부턴 약간 코믹이 되지만 그것도재밌네요ㅋ,,,,,,,,,
1508,인시디어스 시리즈는 믿고봐야지,,,,,,,,,
1509,초중반 까지 정말 무서웠는데 .. 후반에 좀 아쉽 ㅠ,,,,,,,,,
1510,심장이 쫄깃ㅁ졸깃한 느낌이다,,,,,,,,,
1511,언제 귀신나올지  딱 알겠음 !,,,,,,,,,
1512,내용은 없는데 놀래키는것만 무서움.. 귀신들이 할줄아는건 놀래키는것밖에 없음.. 솔직히 귀신보다 차가 젤 놀랐어,,,,,,,,,
1513,난완전 무서웠음 ㅠㅠㅠ,,,,,,,,,
1514,최고입니다 그냥..!,,,,,,,,,
1515,ㅡㅡ 영혼 쓰담쓰담이 안 잊혀진다. 웃기고 어이없어서..,,,,,,,,,
1516,아진짜보고싶네근대못봄,,,,,,,,,
1517,사운드가 정말 중요한 영화인 것 깉아요 제가 제대로 된 공포영활 본 건 이 영화가 처음이긴 하지만 정말 계속 제 손냄새 맡으면서 참고 봤어요 너무너무 무서웠어요... 영화 내용은 한 줄로 명료하게 떨어지지만 그 안의...,,,,,,,,,
1518,진짜 무서움을 느껴보고싶으면 보러가야됨,,,,,,,,,
1519,아주 재미있진 않았지만 나름 재미 있었습니다,,,,,,,,,
1520,이 영화는 1편에서 끝났어야했다.. 억지로 만들어내는것도 정도가 있지,,,,,,,,,
1521,무서웠어여ㅠㅠ 강추!!깜짝깜짝 놀라는 장면 많아요,,,,,,,,,
1522,진짜 귀신이 나올거 알면서도 예상하지못한 장소에서 나와서 놀라요 ... 귀신이 갑자기 등장하면서 심장에 무리가는 영화이니 노약자와 아이들과는 절대로 보지말아요,,,,,,,,,
1523,진짜 놀라는거만있고 스토리가 1.2랑 똑같아서 진짜 재미없엇어요,,,,,,,,,
1524,실컷놀래키다가 귀신이랑 멋있게 싸우고 끝...? 아쉽습니다 아쉬워요,,,,,,,,,
1525,재밌었지만 예상된결말이 좀 아쉬웠던..,,,,,,,,,
1526,조금유치하지만 재밌다,,,,,,,,,
1527,놀라는장면은 많으나..재미가없음.,,,,,,,,,
1528,깜짝깜짝놀라는장면빼고는 기억나는게 하나도없어여 스토리도별로없고 재미도감동도없었어요.,,,,,,,,,
1529,전편  안보고 봤지만 내용 이해하는데 무리는 없고 딱히 무섭진 않음ㅋㅋ소리도 커서 깜짝 놀래켜주는건 많은듯..기대 좀 했지만 재미있게 봄 ㅎㅎㅎ,,,,,,,,,
1530,난 이거 재미이있었음 얼른 시즌4나와라 급하다 현기증날라그럼,,,,,,,,,
1531,겁 많아진 할매....,,,,,,,,,
1532,어느순간부터 코메디로 바뀝니다ㅋㅋㅋㅋ 그정도는 애교로 봐주겠음ㅋㅋㅋ,,,,,,,,,
1533,*괄호친부분스포주의*(무서워서 숨죽이고 보고있었는데 엘리스 할머니가 덤벼봐 괴물아 할 때 부터 하나도 무섭지 않았다.소름;) 몰입감 최고! 하지만 귀가 나쁘다면 보지 않는걸 추천한다. 고막 파괴수준의 효과음,,,,,,,,,
1534,전반부때는 나름대로 무서웠는데 후반부가면서 너무 웃겼음 진짜ㅋㅋㅋㅋ팝콘 쏟기는 커녕 영화보는 내내 맛있게 먹었습니다^^,,,,,,,,,
1535,아무서워  예상못한장면 너무많음  사고나는장면 소리지름  역시 인시디어스,,,,,,,,,
1536,시리즈 다 봤는데 2편에 비하면 조금 아쉽지만 괜찮았어요,,,,,,,,,
1537,진짜 긴장하고 겁나 놀랄 준비 되있을땐 안나오다가 긴장풀고 멍때리고 볼때 갑자기 튀어나와서 영화관에서 소리 질렀어ㅠㅠㅠ,,,,,,,,,
1538,중반부에 좀 웃김 ㅋㅋㅋ근데 전체적으러 무서웡 ..,,,,,,,,,
1539,그냥저냥 볼만한거같어요  ^~~^,,,,,,,,,
1540,팝콘 먹었으면 다 떨어뜨릴뻔 으! 덜덜,,,,,,,,,
1541,예상보다 덜 무서워서 재밌었습니다.,,,,,,,,,
1542,공짜 팝콘 좀 먹어볼려고 갔다가 실망하고 옴 별로 놀랍지도 무섭지도 않네요,,,,,,,,,
1543,이 정도면 훌륭한 공포영화라고 생각한다. 약간 내용의 부실함은 있지만 '공포'영화를 보고 싶다면 추천한다.,,,,,,,,,
1544,귀막고 봤는데 하나도 안무서웠어요 .... ㅎㅎ,,,,,,,,,
1545,하도 재미없다는 평을 보고가선지 그냥저냥 보통은 됩니다 주술사할머니가 참 멋지다는 생각을 늘 합니다,,,,,,,,,
1546,맘놓고 보다가 소리때매 깜짝 깜짝함ㅋㅋ 여름엔 역시 공포영화~♡,,,,,,,,,
1547,음 솔직히 그냥 그럼ㅎㅎ익숙해졌다해야하나,,,,,,,,,
1548,1편에서 끝내야 했다. 2편은 실망정도였지만 3편은 경악할 수준이다.,,,,,,,,,
1549,재밋었습니다꼭보면좋을거같아요,,,,,,,,,
1550,놀람은 있고 공포는 없다. 그렇지만 재미는 있다,,,,,,,,,
1551,그냥 놀라게 되는 영화무섭기보다 웃긴 장면이 많았음,,,,,,,,,
1552,그저 그렇네요... 뭐 놀랍지도않고,,,,,,,,,
1553,심야가서 재밌게 보고옴. 놀래키는 장면이 많기도하고 1,,,,,,,,,
1554,무섭네요 깜짝깜짝 놀라는게 너무 많아서..,,,,,,,,,
1555,놀래켜서 짱나긴해도 긴장감있긴함,,,,,,,,,
1556,만든놈 나쁜놈 무서워 하...,,,,,,,,,
1557,인시디어스를 볼때마다 느끼는건데 공포성보다는 스토리가 탄탄한것에 대해 대단한 영화라 생각한다.,,,,,,,,,
1558,이게 평점이 왜이리 높냐 공포 매니아로서 나올때마다 보지만 지금 슈퍼액션 채널에서 재방해주는 인시디어스1이 훨씬씬 무섭다 1은 7번은 본거 같은데 그래도 1이 더 무섭다고 공포대법관 색기드라,,,,,,,,,
1559,조금유치한점이있었는데나름괜찮았습니다할머니캐리짱..ㅋ,,,,,,,,,
1560,손에 땀이 날 정도로 긴장감을 느끼게한다. 주술사의 연기가 압권이다.,,,,,,,,,
1561,깜짝 깜짝 놀라게 하는거는 도가 텄다,,,,,,,,,
1562,호흡기 센스도좋고 사운드도 다 좋은데감독양반의 드립욕심이 영화를 망침거기다가 드립같은걸 끼얹나...,,,,,,,,,
1563,연출이 나쁘지않은 공포영화,,,,,,,,,
1564,아.. 영화 보는 내내 깜짝 깜짝.. 기싱꿍 꿀듯..,,,,,,,,,
1565,전작보다 스토리빈약 무서움주기엔 충분,,,,,,,,,
1566,인시디언스 1도 이럼??? 인시디언스 2랑3를 봤는데 인시디언스2를 봤었을 때 첨엔 무섭다가 갈수록 유치해져서 공포영화 못 보는 나도 두눈 뜨고 본 기억이 있는데 3는 다를까 해서 봤지만 역시 같은 영화 다음부턴 인...,,,,,,,,,
1567,내용은 뻔하지만 갑툭튀가 진짜 무서웠어요,,,,,,,,,
1568,무섭긴한데내용이없음,,,,,,,,,
1569,지난주 토요일 봣습니다 하필구석자리 스피커밑이엿고요소리 가 스피키밑이여서 울립니다안그래도무서운데 갑툭튀 미칩니다8천원주고 겁만먹고옴참고로 혼자못자겠음...마스크 ㄷㄷ,,,,,,,,,
1570,야 딱 좋다 기분 좋다 야 딱 좋다,,,,,,,,,
1571,눈감고봐서 기억이 없넹^시리즈 다 본 사람들은 재밌을듯,,,,,,,,,
1572,재밋어요123456,,,,,,,,,
1573,아..정말..그냥...유치하다.,,,,,,,,,
1574,개그영화인줄...웃김,,,,,,,,,
1575,좋았어. 원래 귀ㅣ찬아서 평점같은거 안남기는데 1,,,,,,,,,
1576,적당히 볼만함스토리를 기대한다면 ㄴㄴ,,,,,,,,,
1577,어정쩡하네요.. 보다가 졸았어요,,,,,,,,,
1578,무서운거 못보는사람들이 평점 1점하신거같은데 공포영화는 이래야함,,,,,,,,,
1579,무서웠음 몸이 바르르 떨렸음사운드분위기 고조되는거 보다 조용하다가 퍽 나타나는게 안무서웠다는 사람들이 있던데오히려 나는 그게 더 무서웠음잘봤음 강추,,,,,,,,,
1580,꿀잼 인시디어스시리즈중에서 최고엿음,,,,,,,,,
1581,그전 스토리랑 너무 똑같아요,,,,,,,,,
1582,음향효과와 귀신생김새로 식은땀흘리며 본영화영화관에서 계속 소리지르며 봄..-_-;;,,,,,,,,,
1583,팝콘 많이 날라올줄 알앗는데 하나도 못먹었어요,,,,,,,,,
1584,인시디어스 123 다보았지만 너무 같은 패턴이 아닌가.... 하네요,,,,,,,,,
1585,인시디어스는 중반에 항상개그로 바뀜,,,,,,,,,
1586,후반부에 갑자기 장르가 바뀐다흡사 해리포터랄까...,,,,,,,,,
1587,잼없어요...각자의 취향이겠지만..,,,,,,,,,
1588,컨저링 보고나서 바로 예매한 영화 였는데 생각보다 안무서웠더랬죠...,,,,,,,,,
1589,완잼꿀잼개잼!?!♤,,,,,,,,,
1590,"무서45212^6×""[4",,,,,,,,,
1591,깜작 놀라키는게 많을뿐 요즘 나오는 어느 외국의 공포영화와 같이 그저 놀라키는게 많을 뿐이다. 그리고 한결같은 스토리 누군가를 불러내려다가 악마가 나온다는... 마지막에 나오는 악마는 왜 스타워즈의 뿔달린 빨간 제다...,,,,,,,,,
1592,나쵸 사가서 영화 시작전에만 먹은 영화 먹다가 흘릴까봐..,,,,,,,,,
1593,겁많은친구랑 보러가지 마세요 ㅎㅎ진동와서 문자온거 같아서 봤는데 친구가 벌벌 떨고 있었음ㅋㅋㅋ 그친구 10년동안 쌓은 허세 다벗겨짐ㅋㅋㅋ 허세부리는 친구의 진짜모습을 보고싶다면 추천,,,,,,,,,
1594,항상 놀래키네요... ㅋㅋ 역시 극장에서 보는 게 소리가 더 커서 무서워요. 진짜 잘 놀라는데 심장이 무사해서 다행 ㅠㅠ 역시 후반 가서 개긐ㅋㅋㅋ 보다가 빵터짐,,,,,,,,,
1595,지금까지본 공포물중에서 제일 결말좋고 무섭고 남친팔부러뜨릴뻔한적은 처음임,,,,,,,,,
1596,깜짝깜짝 놀라긴했으나.. 영화 초반보다 더 긴장되야 할 클라이막스 부분이 무서운게 아니라 웃겼음,,,,,,,,,
1597,솔직히 전편 보다 훨씬 별로였지만여주가 교통사고 불러일으킬 만큼 예뻐서 별하나 더줌,,,,,,,,,
1598,깜짝놀라면서 재밌게봤당 왠지 4편이 나올것만같은....,,,,,,,,,
1599,갈수록 개그가 됨..소리가 무서움,,,,,,,,,
1600,참 무섭네요 깜짝놀라떠요 ㅠ,,,,,,,,,
1601,진짜잼....진심...깜짝놀라는장면엄청많음....-1편이더재밌었지만 ㅎㅎ,,,,,,,,,
1602,적당히무섭고적당히재밌네요스토리가넘짧았음ㅜ,,,,,,,,,
1603,영화 후반부,,,,,,,,,
1604,소리대박 ㅎ 전편들보다도 더더욱 사운드등이 더 좋아진것 같습니다. ㅎ 근데 다만. 시리즈고,,,,,,,,,
1605,이만한 공포영화없음 깜짝깜짝 놀라게 하는 장면도 많고 끝까지 보면서 긴장감을 계속 가지고 봤네요,,,,,,,,,
1606,인시디어스 시리즈 팬으로서 너무 재밌었어요! 인시디어스는 공포,,,,,,,,,
1607,지난주말 관람했습니다 .괜찮은 공포영화 여친이 좋아했네요,,,,,,,,,
1608,처참하고 슬픈 엔딩. 다신 이런 영화가 나오지 않았으면...,,,,,,,,,
1609,음향효과로 한바탕한 영화.. 악령나올때보다 그때의 소리가 더무섭다는,,,,,,,,,
1610,어디서 무서워해야할지 몰랐음;; 그러다 끝남,,,,,,,,,
1611,팝콘들고가지마셈 진심으로 다쏟음 ㅜㅜ,,,,,,,,,
1612,깜놀깜놀깜노로오오올,,,,,,,,,
1613,애나벨,,,,,,,,,
1614,인시디어스 시리즈 진짜 존잼...ㅠㅠㅠㅠ,,,,,,,,,
1615,전혀 무섭지 않았던 영화.이 말 말고는 더이상 할 말이 없다.,,,,,,,,,
1616,..진짜 평점보고갔는데 무서운거 정말 못보는난데도 여유있게봤다....팝콘없이입장해도 무릎에 수북히쌓인다더니.... 보다가 다드시드라....,,,,,,,,,
1617,인시디어스 1.2를 최근에 보았는데 3가나와서 기대감에 부풀어 보고왔어요  원투랑 이어지는내용은 많진않지만한여름 더위를 실컷날리고왔어용~~,,,,,,,,,
1618,팝콘 날라댕긴거 못봐서 아쉬미ㅜㅜ,,,,,,,,,
1619,무서웠음  클리쉐  좀 있음,,,,,,,,,
1620,난 인시디어스 1,,,,,,,,,
1621,깜짝 깜짝 놀라는 것만 많지 그렇게 무섭고 그러진 않았음. 그리고 패턴이 비슷비슷해서 이때쯤이면 나오겠네 하고 봄. 마지막에 아프리카 유목민족 정예병 나와서 깜놀함,,,,,,,,,
1622,너무 재밋엇고 잘만든거같아요!!,,,,,,,,,
1623,빼에에에엥니ㅣ에에에억!,,,,,,,,,
1624,사운드가 아주 그냥...,,,,,,,,,
1625,긴장감,,,,,,,,,
1626,여전히 초심을 잃지않고 하는 것 같다!!! 다소 웃기려는 의도는 좀 빼고 말이다...,,,,,,,,,
1627,방금 보고나왔는데 깝툭튀 너무많아서 심장이 아팠음ㅋㅋ 엘리스 할머니 맘에 들고 공포 영화 속에 코믹이 살짝 포함되어있어 두려움 속에 안심이 됬음,,,,,,,,,
1628,갑툭튀같은거 전혀없고요 이게공포영화인지 개그영화인지 구별도안갑니다.  그러니까 팬티두장챙겨가세요.,,,,,,,,,
1629,긴장감도,,,,,,,,,
1630,갑툭튀 정말 많았다. 진짜 무섭진 않은데 갑툭튀 때문에 심장이아플정도..너무 놀랐음; 재밌긴 했는데 귀신얼굴은 별로 안무서운데 소리가 너무 커서 자꾸 놀람ㅠㅠㅠ내심..심장약하신분은 보지마세요 ㄹㅇ심장아픔ㅋㅋㅋㅋ,,,,,,,,,
1631,아주재미잇음 모두에게 추천함,,,,,,,,,
1632,처음에는 긴장감이 좀 많았지만 점점 갈수록 조금 떨어지는 분위기가 보인다.하지만,,,,,,,,,
1633,컨저링보다못하다점점재미없어진다,,,,,,,,,
1634,맨처음에 나오는 CGV공포영화전용 영상이 더 무서웟음,,,,,,,,,
1635,복선오진다 1,,,,,,,,,
1636,재밋지만 코미디도 좀 잇어요,,,,,,,,,
1637,무섭진 않지만 그래도 중간은 가는...,,,,,,,,,
1638,기대이하입니다 ..컨저링이 더나음,,,,,,,,,
1639,역대 최강으로 터프한귀신. 근데 끝날때되니 바보가되,,,,,,,,,
1640,전혀 지루하지도 않고 긴장하며 재밌게 잘 봤어요. 강추입니다,,,,,,,,,
1641,그냥 귀신 보고 싶은 분 들에게는 추천. 영화관에서 봤는데 너무 귀신이 시도때도 없이 나옴... 그에 비해 스토리는 그닥.. 그냥 공포영화 스토리였음,,,,,,,,,
1642,무서움 근데 뻔한스토리 공포같지않은 감동.. 뭔가 아쉬운영화,,,,,,,,,
1643,별로기대안하고봣지만 등줄기 찌릿햇던 영화!,,,,,,,,,
1644,심장이 아파요!!! 재밌요!!!보고나면 진빠져요,,,,,,,,,
1645,널래기만  무지 널래구 봤다,,,,,,,,,
1646,초반에 공포영화처럼가더니 뒤로갈수록 판타지 싸우자귀신아수준...,,,,,,,,,
1647,솔직하게 이건 좀 아니라고봄... 놀라는 장면 몇장면있지만 내용이 너무나도 단순하고 공포의 실체가 그냥 괴물임.. 퇴마사할머니와 괴물의 완력싸움.. 이건... 내가 기대했던 공포는 아님....,,,,,,,,,
1648,걍 공포영화중에는 이번게탑인거는 반박불가극장에서관람시에는 쾌감이극도로올라가는 잘만들어진 영화,,,,,,,,,
1649,소리가너무컸다 그것만 빼고 굳,,,,,,,,,
1650,무섭고 재밌다!! 쫄깃쫄깃,,,,,,,,,
1651,재밌었어요 ㅋ 근데 마지막감동 ㅋㅋ의외의 공포,,,,,,,,,
1652,순간 순간 공포가 심장을 쫄깃하게 만드네요,,,,,,,,,
1653,흠.... 결말이 아쉬웠음.,,,,,,,,,
1654,재미있게 보고 왔어요. 정말 무서웠어요,,,,,,,,,
1655,펑펑 나타날때 무섭긴 겁나무서운데 중간중간에 좀 웃음요소가..ㅎㅎ,,,,,,,,,
1656,간만에 공포영화 긴장감 제대로,,,,,,,,,
1657,깜짝깜짝 놀랐음 얄자열자,,,,,,,,,
1658,진짜 앨리스 아줌마 너무 좋았고 스토리도 좋았음. 1.2시리즈 와는 다르게 무서운것 보다는,,,,,,,,,
1659,허니잼허니잼허니잼허니잼허니잼허니잼허니잼,,,,,,,,,
1660,....그드나라마바,,,,,,,,,
1661,심리적 공포보다는 소리와 장면으로..,,,,,,,,,
1662,하도 긴장하고 봐서 힘이 풀림 사운드가 장난아님 재밌음,,,,,,,,,
1663,많이 무섭다해서 봤는데 생각보다 별로 많이 무섭지않아요 (무서운걸 못보는데말이죠) 마지막엔 조금 슬펐어요 공포영화를 보다 울게될줄이야..,,,,,,,,,
1664,리뷰쭉 읽어봤는데 10점 주는님들 대부분이 1이랑 2보고 보기전에 기대감으로 10점 자꾸 주시는듯..;; 리뷰가 보고나서 주는거지 보기전에 주는 겁니까;; 평점보고 봣다가 남친이랑 이도저도 놀래지도 못하고 집에왔네....,,,,,,,,,
1665,짱무섭... 중간에 나오고싶었음 컨저링보다 무섭던데 나는 레알 깜짝깜짝놀라는장면 짱많 시도때도없이 무서웠음,,,,,,,,,
1666,인시디어스 1,,,,,,,,,
1667,와진짜나지릴뻔오금저림ㅋ임산부가보면백퍼 유산되요 보더라도남편처제엄마아빠랑다같이봐요 인시디어스시리즈중에서제일갑이에요와...절대혼자보러가지마세요,,,,,,,,,
1668,시리즈 1.2 보고나면 더 재밌게 보실수있을거에요~ ㅋ,,,,,,,,,
1669,무섭긴했는데,,,,,,,,,
1670,뭐가무서운거지 이런걸돈주고봤다니 좀아깝네 소리는굉장했으나귀신이좀부실했다 던전에나오는중금몬스터정도?,,,,,,,,,
1671,너무기대하고본듯.. 사운드가 너무 깜짝 깜짝놀라기는한데 무섭지는 않은거같아요 ㅠㅠㅠㅠ,,,,,,,,,
1672,용두사미. 처음엔 재밌을 거 같더니 뒤로 갈수록 이게 감동 다큐멘터리인지 공포영화인지 분간이 안가더라... 제목을 붙이자면 각성! 앨리스! 오늘도 한 가족을 구했습니다. 이런 느낌...?,,,,,,,,,
1673,놀라기만하고 재미없음 ㅜ,,,,,,,,,
1674,그냥...그럭저럭 영화,,,,,,,,,
1675,1,,,,,,,,,
1676,지루하긴 했는데 감동도있어요,,,,,,,,,
1677,스릴은잇으나 내용은 다아는 인사다어스그내용....,,,,,,,,,
1678,할머니 연기가 최고ㅠㅠ덤벼 괴물아,,,,,,,,,
1679,중간에 오줌쌀것같아서 나왔는데 조금있다 한대여섯명이우루루나옴,,,,,,,,,
1680,뻔한 진행,,,,,,,,,
1681,지루하고 놀라기만 했음,,,,,,,,,
1682,영화를 보면서 어떤 부분에서 무서울 걸 알면서도 무서웠던 영화인듯함.. 사실상 내용이 엄청나게 임팩트있는건 아니지만 나름 볼민했음,,,,,,,,,
1683,인시디어스 1,,,,,,,,,
1684,음향이 메인임 소리로 공포감 조성 그리고 깜딱놀라기도함,,,,,,,,,
1685,무슨 판타지 영화인줄 알았습니다.,,,,,,,,,
1686,공포영화를 좋아하고 즐기는 편인데 재밌었습니다.영화관에서본 영화중에 그나마 젤 무섭다생각했네요.근데마지막은좀 허무합니다,,,,,,,,,
1687,진짜 컨저링 에나벨 비교안댄다..ㅎ,,,,,,,,,
1688,인시디어스제목나올때쫌지렸다,,,,,,,,,
1689,진심 씹노잼.   노무서움,,,,,,,,,
1690,죄송한데 영화는 안봤지만 .. 예고부터가 왜케재미없어보임?,,,,,,,,,
