,content,,,,,,
649,그냥 한마디로 정말잘만든영화,,,,,,
650,최근에봤던 정말 멋있는만화,,,,,,
651,모두의 예상대로 끝난다,,,,,,
652,난 지루했다...,,,,,,
653,볼땐 그저그랬는데 내용 이해하니 소름이 돋는다..,,,,,,
654,반전 머였드라 까먹었다,,,,,,
655,일단 항상 도움안되는 여자들은 다 죽이고 시작했으면 좋았으렸만~,,,,,,
656,삼년전에 봤던 영화인데 아직도 여운이 남아있습니다...재밌어요,,,,,,
657,공포....그리고 반전...굳굿굳 베리 굿~~,,,,,,
658,재밌었는데.. 아줌마 죽이고싶더라 답답해서...아나ㅋㅋㅋㅋㅋ,,,,,,
659,중하위권정도,,,,,,
660,결말맘에듬 엑스텐션보다 재밌게본듯...?,,,,,,
661,무섭고 스릴있다 결말도 괜찮고..,,,,,,
662,헤드셋을 끼고 보셨으면 좋겠네요,,,,,,
663,칼,,,,,,
664,굿,,,,,,
665,가족 구성원 개개인의 캐릭터를 정말 잘 설정한 훌륭한 영화다,,,,,,
666,밤에 저길로 들어서고 싶지 않다 스토리를 이해하기 힘든영화지만 역시 공포영화답다,,,,,,
667,잘생각하면서 보세요 맨 마지막장면이 무엇을 의미하는지..,,,,,,
668,너무무섭당,,,,,,
669,이런영화 또잇을까.. 솔직히 중간에개그나오지만 극도의공포에서맞이하니 반가울따름,,,,,,
670,잠이 안와서 또 봤는데...역시나 잼있네요...마지막에 쪽지...하튼 정말 잘만들었네요,,,,,,
671,괜찮음,,,,,,
672,밤에 혼자보니까 정말 무섭더군요 이게 무섭다기보다는 찝찝함과 공포감??,,,,,,
673,혼자살아남은딸이꿈꿨다고보면되남?마지막의사남자똑같은차량은우연이라고보면되고?;,,,,,,
674,그냥 그럭저럭,,,,,,
675,밤에 혼자보면 재미가 배가되는....,,,,,,
676,괜찬은 공포영화,,,,,,
677,결말을 보면 한마디로 그럴수도 있음법한,,,,,,
678,1. 훌륭한 구성의 영화 2. 찌질 네티즌 평점은 믿을게 못됨,,,,,,
679,기대를 너무 해서인지..별로였음. 킬링타임용으로 괘안음,,,,,,
680,젤무섭ㅁ,,,,,,
681,재밌ㅇ어여,,,,,,
682,흙속에진주를찾은듯..저예산이라는데 자금만되면 진짜최고의스릴러를만들듯..내심기대,,,,,,
683,재밋어염,,,,,,
684,무서운데 간간히 웃기기도 한 짤막하고 재미있는 매력적인 영화,,,,,,
685,결말을 알기전까지는 내머리도 빙빙돈다~,,,,,,
686,재밌었던 영화인데..욕하는 사람이 의외로 많네.. 이런 수준높은 영화를..ㅉㅉ,,,,,,
687,블랙코미디 같은 느낌 대화가 웃긴다 ㅋ,,,,,,
688,최근 본 공포영화중에 단연최고다; 저예산으로 이정도로 공포심을 끌어내다니;;;,,,,,,
689,관점의 차이겠지만 .. . 난 매우 흥미롭게 봤다.. .,,,,,,
690,아직 이해 안가는 장면들이 몇몇 있지만 간만에 기억에 남을 만한 공포영화 본것 같다,,,,,,
691,최악의영화 욕나온다,,,,,,
692,잔인하진 않았지만 긴장감을 놓칠수가 없는,,,,,,
693,졸~ 재밌는데요?,,,,,,
694,사이런트힐,,,,,,
695,2000년대 공포영화 중 드문 수작.,,,,,,
696,은근 코미디 영화네요 반전은 그닥.. 그치만 영화해설보면 최고의영화,,,,,,
697,반전 쩌러요,,,,,,
698,최고네요~!! 긴장감 ㅅ굿굿굿~~!!,,,,,,
699,아주 재밌네요,,,,,,
700,공포영화보고 이렇게 웃어보긴 처음,,,,,,
701,오랜만에 본 영화 중에선 그나마,,,,,,
702,재밋지만 약간 난해 ㅋㅋ,,,,,,
703,더로드 본사람,,,,,,
704,더로드 본사람,,,,,,
705,더로드 본사람,,,,,,
706,색다른 재미... 반전도있었고... 나름 재미있게 보았다.,,,,,,
707,결론부는 우리에게 너무나 익숙한 전설의 고향이나 여고괴담이 연상되는 클리쉐...,,,,,,
708,아무래도 너무 복잡하게여꿔놨던게 결말을 제일 궁굼하게했던 이 영화의 틈인듯,,,,,,
709,최근 본 공포영화중 최고다..!! 삼박자가 딱딱 들어맞는 영화,,,,,,
710,영화가 끝나고도 끝나지 않는 반전의 여운. 두 신인감독의 재치와 재능에도 박수를~,,,,,,
711,그럭저럭 ㅋ 마지막에 내용이 잘이해가안감,,,,,,
712,무서운데다 코믹적요소도 가미돼있어 좋았다. 개인적으로 재미있게보았다.,,,,,,
713,보는내내무슨저런가족이있나..싸이코틱했는데..반전알고나니이해가가는!반전은정말굳!,,,,,,
714,반전의반전,,,,,,
715,무섭진 않고... 다만 결말이 왜 그런지 궁금할 뿐!,,,,,,
716,굿~,,,,,,
717,정말 놀래키는 것 없이 사람 소름돕게 하는 영화...,,,,,,
718,평소 공포영화를 즐겨 보지만 이영화 정말 수작.,,,,,,
719,몇년이 지나도 생각나는 공포영화는 이영화가2번째 그만큼 임팩트최강!!,,,,,,
720,아버지의열연1점,,,,,,
721,고개가 끄덕여지는 영화 괜찮았음 ㅋ,,,,,,
722,볼만하네요.. 나름 반전있는데.. 그냥 그 분위기만으로도 괜찮아요,,,,,,
723,다른건 다 괜찮은데; 배우들 연기가 눈살을 찌푸리게 했다.,,,,,,
724,깜딱깜딱 놀랐음. 그런데 결말부분을 반전이랍시고 꽈놔서 좀 헷갈렸음,,,,,,
725,이런게 진짜 공포영화지,,,,,,
726,공포영화무지 잘 보는데 이건 가만히 생각할수록 무섭다 답답하기도 하고..,,,,,,
727,이해하기 힘들었지만 8점정도?ㅋㅋ그래도 반전알고 다시보면재밌다,,,,,,
728,억지스러운 대사들과 배우들의 아카데미상급 명연기에 감탄ㅋㅋ,,,,,,
729,새벽에 혼자 보다가 심장이 콩닥콩닥... 배경이 침침하고 어두워서 무서웠다.,,,,,,
730,장난하나?,,,,,,
731,심리영화 이만한거 없다 진짜 대박 분위기 지존,,,,,,
732,이 영화에 대한 저평가를 이해할 수 없다.,,,,,,
733,간간히 이해안되는 장면들,,,,,,
734,도대체 끝은 어디인가,,,,,,
735,할망구 아가리를 찢어버리고 싶다........ 아 정말 최악..... 반전도 흔해빠졌어,,,,,,
736,진짜평점8점이라 봤는데 개낚였네요가족들대화하는거 짜증에 스토리도 엉성..최악..,,,,,,
737,최고라고 까지는.....,,,,,,
738,강추,,,,,,
739,재밌는데 어떤 영화랑 반전이 똑같아 ㅋㅋㅋ,,,,,,
740,공포영화로서의 가치가 충분! 볼만함,,,,,,
741,정말 재미 없다.,,,,,,
742,정말 스토리는 좋았다..,,,,,,
743,마지막에 허무했었는데 그건 내가 몰라서 그랬던거다..잘만들었구나 이영화,,,,,,
744,정말 스릴있고 .사람들이 미쳐가는 장면이 소름끼친다. 결말도 맘에든다.,,,,,,
745,보이지 않는 공포가있다 은근히 긴장감 든다 길하나가 저렇게 공포있을줄이야..,,,,,,
746,강추~~~~,,,,,,
747,동양과 서양이 서로 공감할 수 있는 영화로 사람의 심리를 잘 이용한 영화이다. 강추!,,,,,,
748,공포 스릴러를 굉장히 좋아하는 편인데,,,,,,
749,영화제대로 만들었어진짜 실제로 저런상황이 였으면 우리모두저랬을꺼에요,,,,,,
750,장면하나하나가 떨리더군요. 스릴이 넘칩니다.,,,,,,
751,평점 너무높다 보는데 짜증나던데 (가족들끼리 왜그리 쪼잘대면서싸워대),,,,,,
752,진짜 무섭고 재미있다,,,,,,
753,무섭다 ㄷㄷㄷ 결말까지 이정도면 놀랄만하고 암튼 무서웠다 ㄷㄷ,,,,,,
754,상당히 저예산틱하지만 지루하지 않음.,,,,,,
755,정말 제가본 공포중에 최고입니다. 사람의 심리 깊숙한곳부터 전해져오는 공포..,,,,,,
756,참신하고 종던데.. 진짜 재미있게 봤음. 반전도 봐줄만 했음,,,,,,
757,반전이 있다고 하여 모든 영화가 최고가 될순없어!!!,,,,,,
758,반전이 예상되었지만.. 반전시도는 봐줄만했다.. 그러나..영화자체의 흥미도는떨어짐.,,,,,,
759,도로만 지나가는대 이렇게 심리적으로 압박 받을수 있다니.,,,,,,
760,영화치곤 주인공들 행동이 답답~ 솔직히 볼거리는 별로없는 영화 ;;,,,,,,
761,그러하다 ㅇㅇ,,,,,,
762,억지스러운 표현들 견디기 힘듬,,,,,,
763,그렇게 무섭지도 않았고 큰 반전도 없는 영화. 시간 때우기용.,,,,,,
764,강추,,,,,,
765,우리나라 정서에 맞는 공포 ㅋ 마지막 깔끔한 마무리까지 굿 ㅋ,,,,,,
766,조금은 깔짝 놀라게했고 마무리가 좋았으나 배우들 어이없는 행동들이 많이 아쉽다,,,,,,
767,영화 리뷰가 너무 짜냈어.. 리뷰가 좀 억지;; 그렇게 생각하면 안좋은 영화가 어딧냐,,,,,,
768,정말 재밌네요. 이게 이런식으로 표현할 수 있다니.  꼭 보시길 바랍니다 ^ㅁ^,,,,,,
769,그저 길하나를 달리는건데.... 사람을 이렇게 무섭게 만들다니..,,,,,,
770,공포와 반전,,,,,,
771,훌륭하다. 최저의 것으로 최고의 공포를 만들어낸것같다. 심리묘사짱,,,,,,
772,그저 이 이야기가 실화라는 것에 대해서 놀랐을뿐...,,,,,,
773,요정도면됫지 멀바랭,,,,,,
774,저예산으론 꽤 잘 만든 심리공포영화...쪽지가 포인트...ㅋㅋ,,,,,,
775,몰입도 최고의 영화!!!,,,,,,
776,아이 인사이드가 생각나게 하는 영화네요... 간만에 몰입해서 본 좋은 영화네요.,,,,,,
777,꽤나 스릴있고,,,,,,
778,스릴있었어요,,,,,,
779,보는내내 긴장감,,,,,,
780,B급이건 A급영화이건 내내 흥미로웠고 충분히 긴장감 있었습니다,,,,,,
781,가족들의 심리적 변화가 잘 드러나는,,,,,,
782,반전도 반전일 뿐더러 ..보는내내 배경이라든지 연출이라든지...B급 영화인거갓다,,,,,,
783,보여줄듯말듯하면서 안보여주는 감독의 스킬이 대단. 반전 소름돋는다.,,,,,,
784,미국영화도 무서울수 있다는 사실을 알았다,,,,,,
785,이 영화가 이해가 안된다면 네티즌 리뷰를 봐요. 욕만하지말구 잘만들었구만뭐,,,,,,
786,근래본 미스터리스릴러중에 최고!,,,,,,
787,와 진짜 잔인한장면거의없이 심리적으로 일케무서울수있다니..마지막반전최고다..,,,,,,
788,이 영화 보면서 내내 생각한건 제작비 1만달러면 떡을 치겠다 이생각뿐..,,,,,,
789,와~ 특별한거 없이 이케 무선 영화는 첨이당!  어~무셔,,,,,,
790,한번 봐도 괜찮은 영화!! 전혀 루즈하지않아요,,,,,,
791,엄청난 몰입감 무서워서 짜증이 날 정도이다,,,,,,
792,악몽같은 이느낌 정말 좋다,,,,,,
793,저예산 이외엔 미덕을 찾을 수 없는 영화.,,,,,,
794,저예산에 굉장한 긴장감  대단하단 생각이 절로드는영화네요 ㅋㅋ,,,,,,
795,저예산인데 반해 긴장과 스릴만큼은 할리우드흥행스릴러 못지 않은 듯,,,,,,
796,단순한 공포영화가 아닌 보고나서 생각하게 만드는 영화~,,,,,,
797,중간에 눈치챘다. 그래도 궁굼하게 했으니까. 이 정도 줄께,,,,,,
798,긴장감 정말 300%최고,,,,,,
799,훌륭한 작품입니다. 최고의 심리 공포물. 보시고 직접 느껴보세요.,,,,,,
800,디비디방에서 봤는데 무서워 죽는줄 알았다...   숨막혀오는 느낌..,,,,,,
801,이해안되시는분들 hany37님 리뷰보시면 더 로드에 만점주실겁니다.,,,,,,
802,무서워서짱났던영화..귀신은무서워ㅠ잔인한건 조은데 ㅠㅠ,,,,,,
803,아 너무 재밌게 봤다 엄청난 스릴! 긴장~~!!,,,,,,
804,코미디+짜증+스릴+반전 합쳐서7,,,,,,
805,심리 공포물로는 최고. 이 영화에서 반전은 별로 안 중요하다.,,,,,,
806,시사회때 봤던 영화!! 역시 공포는 사운드빵빵하고 큰화면으로 봐야 제맛!,,,,,,
807,공포스럽지 않은 영상으로도 제대로 심리적 공포와 스릴을 맛볼수 있다,,,,,,
808,터무니없는 스토리전개,,,,,,
809,공포스릴러의 수작. 쉽게 볼 영화가 아니다.,,,,,,
810,간만에 잼나게 본영화~ 볼만함^^,,,,,,
811,긴장감과 공포조성은 최고였다,,,,,,
812,잔인한 것 없이,,,,,,
813,호스텔이나 엑스텐션의 충격을 떨구지 못했던 나로썬 그냥 볼만한 영화였다..,,,,,,
814,뻔한결말,,,,,,
815,집중이 그리 쉽지는 않았다. 결말은 중간쯤에 알았음,,,,,,
816,이런것이 바로 공포영화다...진짜 긴장타면서 봤다,,,,,,
817,죽음의끝...특유의 음유한 이미지가 정말 먼지모를 암울암을 자아내는 영화네요,,,,,,
818,진정한 공포 스릴러...최고의 공포감...,,,,,,
819,엄청난공폳ㄷㄷㄷㄷ,,,,,,
820,이해하기 좀 힘든영화이지만 꽤 심리적 영화이다.. 강추,,,,,,
821,심리적 압박감,,,,,,
822,재미있게 봤어요^^ 최고!!,,,,,,
823,입술찢어 먹는게 관건,,,,,,
824,난 되게무서웟는데; 학교 DVD실에서 헤드셋끼고봄. ㄷㄷㄷ,,,,,,
825,역시공포영화는아이디어만있으면되~,,,,,,
826,괜찮은영화임이정도면지루하지않고무난하게보는영화임,,,,,,
827,그냥 볼만함. 7점이 가장적절함.저예산.몰입공포영화.,,,,,,
828,보는내내긴장감은들었지만보고나서내용이해가잘안된다생각엄청하게만드는머리아푼영화,,,,,,
829,이 영화 평을 하자면 '저예산 치고는' 괜찮다지만,,,,,,
830,반전 개쩐다..스릴감,,,,,,
831,평나쁜분은 혹 영화끝나고  자막끝에 반전은 못보신거 아닌지,,,,,,
832,오랜만에만나본공포영화의정석~!반전이있기까지의연속된긴장감이일품!,,,,,,
833,스릴감.공포굿zxc512님  결혼안하고 애기잇는것도 모르면 아직 남이죠,,,,,,
834,잘만들었다..진짜..근데 캐스팅별로 연기성별로..스토리는탄탄..공포는굿,,,,,,
835,폐쇠 공포와 가족간의 불협화음이 만들어낸 팽팽한 긴장감!,,,,,,
836,잔인하지않은데 긴장감최고,,,,,,
837,연기는 맘에안들었지만 구성은 훌룡했다 충분히 납득할수있는 스토리,,,,,,
838,귀신,,,,,,
839,나는 진짜 웃기던데,,,,,,
840,지름길로 삼십분 빨리가려다 삼OO 먼저 갔네 ㄳ,,,,,,
841,서두없이 바로 본론 들어가버린뒤 긴장의 연속. 무서웠쪄 정말정말,,,,,,
842,내가 본 몇 걸작중의하나!! 굿! 감독굿!,,,,,,
843,공포영화잘보는데...이건왜이렇게 무서웠지,,,,,,
844,중간중간 섬뜻섬뜻하다가 마지막 확반전! 좋앗다.,,,,,,
845,숨막히는 길 최고다,,,,,,
846,오 상당한 공포감과 반전 강추,,,,,,
847,무섭다라기보단 몰입도가 높은것같다,,,,,,
848,생각보단 별로지만...긴장감은 좀 있는거 같다..,,,,,,
849,정말 무섭고 ㅜ_ㅜ사람의 심리를 잘 표현한것같다 ...최고!!,,,,,,
850,뭔가 부족하다,,,,,,
851,두번째보는거지만 잼있넹 ㅋㅋ결론이 좀...,,,,,,
852,늦은 시각,,,,,,
853,저예산 티가 너무난다 ..머가 대박이라는건지!? ㅡ,,,,,,
854,음... 결코 쉽지는 않구나... 그래서 더 매력적다,,,,,,
855,세련되지는 않았지만 공포감과 좌절감은 어느정도 보장,,,,,,
856,반전도 어느정도 예상가능하고.. 왜이렇게 오래된 영화같지?;;,,,,,,
857,짱입니다 진짜 무섭구 대박 반전 안보신분들 꼭 보세여 대박입니다~,,,,,,
858,이보다 더 재밌고 무서울순 없다. 정말 대박 반전 그리고 강추영화!!!,,,,,,
859,뻔하디 뻔해서 토할거 같다. 공포도 스릴도 없구나 ㅡㅡ,,,,,,
860,소재와 결말은 좋은데 연출이 좀 구리다,,,,,,
861,말이필요없다.. 가볍지도 무겁지도않은 굉장히 멋진영화!! 간이 콩알만해짐,,,,,,
862,스릴한번 제대로 느끼게 한다 ㅋ,,,,,,
863,긴장감!!무섭다 그리고 더 스릴있다.크진 않지만 어느정도의 반전까지,,,,,,
864,이거 반전 쥑이네~~,,,,,,
865,그저 영화만 보고날땐 그저그랬는데 여기 해석글 읽고나니 오-,,,,,,
866,난 왜 웃기지 ?,,,,,,
867,반전이 좋았다. 근제 조금 헷갈리게 만드네,,,,,,
868,이야기는 있지만 스타일이 없다..좀 더 임팩트가 있었다면 좋았을 것을..,,,,,,
869,대충 결말은 예상했고.. 생각보다 어렵다..,,,,,,
870,재밌던데..ㅋㅋ,,,,,,
871,사람에 따라 최고 또는 최악이 될 수 있는 영화..나에겐 최고의 공포영화,,,,,,
872,신선한 소재! 봐줄만한 반전! 하지만 내용과 몰입도는 별로↓,,,,,,
873,어쨌든 무섭다,,,,,,
874,서양영화 속의 동양적 공포요소. 충분한 공포감.,,,,,,
875,이것이 진짜 공포스릴러다!!!!!!!!!!!!!!!!!!!!,,,,,,
876,저예산으로 이만큼 했다는게 놀랍지만,,,,,,
877,색다른 공포영화!,,,,,,
878,허술한 스토리,,,,,,
879,공포영화중에 단연최고....... 밤에 불끄고 비오는날 혼자봐보셈... 죽어요,,,,,,
880,오호 잼있는걸~ 좀 색다른영화.ㅋ강추/평점낮은사람은이해를못한듯,,,,,,
881,앞으론 뭔가 비현실적이라면 '사고=죽음'이라고 보자. 공식으로 쓸만하다.,,,,,,
882,무서워 디지는줄,,,,,,
883,재미와 몰입감은 최고지만,,,,,,
884,재밌다,,,,,,
885,짱 재밌었다.......충격적인 결말!!,,,,,,
886,여름에 정말 볼만한 공포영화,,,,,,
887,정말로 무섭다,,,,,,
888,보는내내콩가루집안이라생각했다..아이디어는 좋았는데..디테일이다배렸다;;,,,,,,
889,당하기만 하는 어이없는 영화 결국에 한명만 살려둔 의도는 무엇인가?ㅡㅡ,,,,,,
890,정말.. 충격적인.. 결말... ㄷㄷ..ㄷ...,,,,,,
891,↓ 감독이 주는 의미도 파악 못한 주제에.. ㅉㅉ,,,,,,
892,중반부터 그들이 해메는 이유를 알 수 있었다,,,,,,
893,보는내내 약간 떨린다. 즐긴만 하고 반전 이야기 스토리 모두 무난하다,,,,,,
894,최고의 몰입도,,,,,,
895,아..재밌네..은은한 공포...강추...,,,,,,
896,이게 바로 소름돋는 진짜 공포 ㄷㄷㄷ,,,,,,
897,그저그럼..,,,,,,
898,내가 본 공포영화 중 스릴이최고!!!!! 이런게 제대로된 영화지,,,,,,
899,후반부까지 몰입감과 긴장감을 준 보기드문 명작~,,,,,,
900,다시 생각해도 소름끼치는...공포영화중에 최고! best of best,,,,,,
901,밑에 40분보다 끈사람안습..끝까지 참고봣으면 엄청나게 재밌엇을텐데,,,,,,
902,3류라고 말하고싶다.....40분정도 보다가 꺼버릴까 생각하고,,,,,,
903,신선하다.ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,,,,,
904,재밌다.,,,,,,
905,스릴러 로드 무비.,,,,,,
906,반전생각하느라 머리좀 써야되는영화,,,,,,
907,반전에서 살짝 아쉽지만 이만한 영화 찾아보기 힘들다,,,,,,
908,기대 없이 보면 괜찮은 공포 영화.,,,,,,
909,재미없다. 너무 점수가 높은데?,,,,,,
910,너무 무서웠다.....;;,,,,,,
911,심리적 압박감은 가히 최고... 그런데 엄마 때문에 약간 배림....,,,,,,
912,탄탄한 구성과 각자의 의미를 모두 담고있는 사물들...,,,,,,
913,모든 사람들 행동을 자세히 보라!!!!!! 답이 있다,,,,,,
914,정말생각하게만드는영화 엔딩은 자기가 생각하는게 답인영화,,,,,,
915,아ㅡㅡ무서워 미치는줄 알앗네,,,,,,
916,짧아서 좋군. 그런데 마지막은 뭐야?,,,,,,
917,서프라이즈 미스테리 같은거 본느낌,,,,,,
918,공포보단 스릴러가 강한 그런영화,,,,,,
919,평범한 내용..하지만. 공포라는 주제를 정말 잘살려냈다.,,,,,,
920,분위기와 배우들의 연기,,,,,,
921,연기자들의 연기실력도 대단하고 마지막 반전과 함께 대단한영화,,,,,,
922,그냥 보면 단순 공포물,,,,,,
923,배경만무서웠다 ..그리고 반전은예상못했지만 스토리는 짐작이갔다 ,,,,,,
924,더로드!!!반전에서 다시 반전하는 영화!더블반전!!꼭보삼!,,,,,,
925,볼때보다 보고나서 더 무서운 영화;;,,,,,,
926,왜 평점이 높은건지 =_= 무섭지도 않고 그저그런데,,,,,,
927,보는내내 무서움..엔딩보고 뭐지?했지만 좀 생각하고난후 정말 소름이 쫙~,,,,,,
928,아 매우 놀랐음,,,,,,
929,최고! 인간 심리 제대로 표현..보는내내 엄마완전 짜증..ㅋ,,,,,,
930,기대하지 않고 봐서 그런가..괜찮았다,,,,,,
931,영화는재밌는데 엄마 조낸말많아 그것때문에 무서운것보다 열받은게더많음,,,,,,
932,무서운걸로 치면 10점... 무서워 디지는줄알았다... 총평은7점,,,,,,
933,생각을 마니하게 하는영화 ! 그러나 기대치만큼무섭지않앗다,,,,,,
934,간만에 제대로 건진 공포영화구만 왜 8점초반이지? 난 10점!!,,,,,,
935,기대안하고 봤는데.. 예상외로 재밌었음.. 신선한 느낌..,,,,,,
936,잘 만든 영화도 못 만든 영화도 아니다.,,,,,,
937,기대않고 봤는데 스토리가 참신했다..이런영화또없나?!,,,,,,
938,최고의공포영화.검은집저리가,,,,,,
939,뻔한 공포영화에서 벗어나고싶다면 꼭보세요 후우~~ 무서워서 혼났네..,,,,,,
940,한적한 막다른길에서 인간의 심리를 잘 표현했네요,,,,,,
941,최고!,,,,,,
942,이거 꽤괜찮음 볼때보다 나중에 생각이 더 많이 나는영화!,,,,,,
943,훌륭한 공포영화..잔인하고 징그럽고 피만 튀기는 쓰레기들하고 비교마라.,,,,,,
944,몰입도는 뛰어나지만 마무리는 평범.,,,,,,
945,죽음에대한무의식을 다룬영화는많지만 실화를기본으로한 이야기였다는게반전이다!,,,,,,
946,콩가루가족의 마콧여행기 재미가 업스니다~,,,,,,
947,배우들연기,,,,,,
948,난 무서운거 보고 싶어서 봤는데 이런 풍의 영화였구만,,,,,,
949,감독하는 사람이 이정도는 기본으로,,,,,,
950,가족들의 심리묘사가 치밀했고 한번더 생각을 하게 만드는 장치가 돋보인다,,,,,,
951,재밌었지만 반전이 뭔가 약함 끝맺음도 어색;,,,,,,
952,무언가 끊이지않는 영화에대한 논의! 그것만으로도 성공한영화!,,,,,,
953,데드 엔드 80% 공사중,,,,,,
954,말이필요없다.. 만점!,,,,,,
955,적당히 재밌고 적당히 무섭다.,,,,,,
956,잔인한거부터 공포시리즈 거의다보지만 10점주는영화 첨임.강추,,,,,,
957,나름대로 무섭긴 무서웠는데 웃긴부분 있더라 ㅋ친구들이랑 가치 보다가,,,,,,
958,"줄거리에""네가 죽였니? 아니. 너는? 나도 아니야"" 이건 뭐야?",,,,,,
959,난 정말 좋았음.  저예산이지만 숨겨진 의도와 해석을 보면. 생각하게 만듬.,,,,,,
960,몰입도가 괸찬음 반전은 글쎄  볼만함 시골길 무서움 ㅋㅋ,,,,,,
961,반전은 별로엿지만 무섭더라 시골길ㄷㄷ,,,,,,
962,무섭다..서양영화중 최고의 공포감..반전은 좀...,,,,,,
963,보는 동안 짜증만 났다...하지만 반전은 좋았음..,,,,,,
964,저 예산영화티나지만.....괜찮게 봤음^^,,,,,,
965,이런 류의 반전 좋아~,,,,,,
966,불끄고 보니깐 무섭드라;;,,,,,,
967,반전굿 강추,,,,,,
968,생각까지 많이 하게하는 공포영화다...다른거랑은 차이가 있다...,,,,,,
969,마지막에 아하!!!!,,,,,,
970,와 미국귀신도 무섭다는 거 처음 알았다,,,,,,
971,마지막 장면까지 보아야 한다...,,,,,,
972,제법 신선한 공포물.. 머리쓰는것 좋아하는 분이라면 추천합니다 ^^,,,,,,
973,식상하지 않은 신선함 그자체의 공포,,,,,,
974,.....후비파고.째는 잔인한 비쥬얼을 기대하시는게 아니라면 추천^^:,,,,,,
975,속시원하게 보여주지 않기에...더 무섭고...더 깊이 생각하게 만든다.,,,,,,
976,굿,,,,,,
977,꽤 괜찮은 공포영화 긴장감 굿~!!,,,,,,
978,정말 끝내준다! 반전의 반전!! 정말 무서웠다~~,,,,,,
979,이 정도면 꽤 만족,,,,,,
980,깜짝깜짝 티나와서 놀랫네,,,,,,
981,보는내내 긴장감 떨칠수 없네요. 최고 !!,,,,,,
982,무서운걸 기대하지 않는다면 볼만하다.,,,,,,
983,정말 최고의 공포영화였음..,,,,,,
984,차 한대로 영화 다찍네,,,,,,
985,억지라는말이나오나 겨털로본것도아니고 암튼긴장감최고,,,,,,
986,뻔한 반전............,,,,,,
987,대단한 영화다,,,,,,
988,그냥 tv프로그램'서프라이즈' 본느낌,,,,,,
989,전혀 줄거리 등등 모르고 보면 재밋을 영화,,,,,,
990,스릴러영화많이본사람들에겐 충분히 예측가능한결말...아쉬움.,,,,,,
991,예상해서 마지막이 너무시시했다 .하지만 아무것도 모르면 엄청난반전!,,,,,,
992,긴장감...그리고,,,,,,
993,영화가 막판에 생각이라는걸 많이 하게 만든다,,,,,,
994,보는 동안 지루한감도 잇었지만 끝까지보면 나름 괜챦은영화,,,,,,
995,굳~!!,,,,,,
996,이거보다 현실적이면서 완벽한 죽음의 이론이 있을까?,,,,,,
997,반전영화는 아니다,,,,,,
998,나중에 반전이.. 꽤 컸음..,,,,,,
999,간만에 만나보는 최고의 공포영화,,,,,,
1000,반전좋네요,,,,,,
1001,아!마콧!아이가위험하니병원에빨리가야한다는메세지엿군..와..,,,,,,
1002,이런거 좋다니까....,,,,,,
1003,엄마가 싸이코같테-_- 별로 무섭지도 않음.,,,,,,
1004,은근히 무섭군,,,,,,
1005,볼만합니다~~내용도 괜찮고..혼자저녁에 봐요..^^,,,,,,
1006,보는도중 스토리는 대충 알수있지만 그래도 재밌네요^^,,,,,,
1007,재밌음. 공포영화도 참신하고 그럴듯하게 놀래켜야한다.,,,,,,
1008,넘 억지스럽네OO 죽는거도...참.결과때문에 용서되지만이라서도...,,,,,,
1009,볼만하다 마지막 반전도 잇고 볼만함,,,,,,
1010,이야기는 꽤나 신선했으나,,,,,,
1011,쓸만한 영화~~시나리오가 탄탄한 스릴러의 매력이~,,,,,,
1012,중간 중간의 힌트와 마지막반전은 정말 좋다..,,,,,,
1013,어느정도 반전은 예상됐지만,,,,,,
1014,정말 스산한 영화.. 보고나서도 충격이....,,,,,,
1015,반전땜에 1점깍음 아 이영화보고 땀 뻘뻘 흘렸다,,,,,,
1016,저예산으로 이런영화를 만들수 있다니.감독 대단하다.특히 마지막 반전이란,,,,,,
1017,중반부터 반전이 보이지만... 그래도 오싹했다..;;,,,,,,
1018,후후..강추..무뇌들에게는 비추..,,,,,,
1019,아이인사이드야말로진정한한핏줄영화다..불끄고보다가불키게만든몇안되는영화ㅋ,,,,,,
1020,숨도 못쉬고 봤다. 긴장감이 진짜 예술~~,,,,,,
1021,큰 매력은 결말이 정해저 있지 않다..각자 느낌이 다르다는것.그리고 실화,,,,,,
1022,오우... 굉장히 재밌네요. 방금 봤는데 ㅎ,,,,,,
1023,뭔가 웃기면서도 열라 무서운..ㅋ 귀신막 나오는 그런영화보다 훨 무섭다.,,,,,,
1024,몰입도,,,,,,
1025,재밌구만 ㅈㄹ이야,,,,,,
1026,무슨 내용인지 어렵긴 하지만 무섭긴 하네요.,,,,,,
1027,공포감과 긴장감은 있지만 끝에 반전이 그리 높진 않네요,,,,,,
1028,뻔한 반전인데도 영화는 흥미롭다.,,,,,,
1029,진정한 공포는 이런것이다!재밌는 영화보고 싶다면 강추!!,,,,,,
1030,볼만함...노멀한...잘만든..,,,,,,
1031,오랫동안 기억될꺼 같다. 반전에 너무 얽매이지 말고 그냥 즐기삼..,,,,,,
1032,끝까지 긴장을 놓지 못한채... 혼자보아서 그런지.. 더 잼있었음..ㅋ,,,,,,
1033,조낸 잼께 봣음.ㅎㅎ,,,,,,
1034,최고다,,,,,,
1035,갠적으로 쏘우보다 반전? 마지막까지 생각을못한,,,,,,
1036,의외로너무떨면서재밌게본영화한핏줄영화식스센스밑에설명뭐냐;--,,,,,,
