,content,,,,,,,
1898,재밌어요 추천합니ㅏ!!,,,,,,,
1899,이거 진짜 미쳣네 ㅋㅋㅋ 핵인정,,,,,,,
1900,재밌고 소름끼치도록 놀랐던 호러무비,,,,,,,
1901,볼만은 하나 개연성이 좀 떨어지고 뭔가 탁 터지는게 없음,,,,,,,
1902,긴장의 연속. 연출과 연기가 좋았습니다,,,,,,,
1903,1점도 아깝다지루해 죽는 줄팝콘아 너 없었으면 나  못 버티고 나왔다이,,,,,,,
1904,무섭다기보다는 진짜 찐잼입니다  너무 재밌게봤어요ㅎㅎ몰입감 최고,,,,,,,
1905,재미는 있었는데 음 먼가 너무 주인공이 ....,,,,,,,
1906,진심으로 노잼임 돈주고 보기 아까움,,,,,,,
1907,주제와 장르 스토리 연기 음향까지 완벽 그 자체,,,,,,,
1908,투명인간이 이렇게 무서운지 몰랐음. 여주인공 연기가 굉장했고 상황을 다 알고 지켜보는데도 그 여자가 정신병자인 것 처럼 보임. 비현실적인 여배우 외모가 아니라서 어디에서나 볼 수 있는 평범한 여성이라는 느낌을 주고,,,,,,,
1909,보이지않는 코로나가 더 무섭다,,,,,,,
1910,역시 제작진 인정.여주 연기력.스토리 매우 좋음,,,,,,,
1911,사운드가 영화의 긴장감을 더욱 더 극대화 시키는ㅠㅠ,,,,,,,
1912,깔끔하고 좋네요 !! ㅎㅎ 강추합니다,,,,,,,
1913,여주인공 연기 너무 잘해요~~,,,,,,,
1914,진짜 군더더기 없이 깔끔하게 본 올해 죄고의 영화... 여자 주인공 연기가  장난아님.. 반전도 너무 좋았고 아직 안보셨으면 보시길 추천 드립니다...,,,,,,,
1915,영화가 시작하자 앞자리 커플이 기침을 시작했다 세상에서 제일 무서웠다,,,,,,,
1916,보이지 않는 공포가 갑,,,,,,,
1917,좋아요 잼있게 봤어요,,,,,,,
1918,갑툭튀 대박이다 보면서 몇번이나 놀랐는지ㅋㅋㅋ,,,,,,,
1919,이 영화보면 체력이 많이 소진됨.. ㅠㅠ,,,,,,,
1920,서프라이즈엔 서프라이즈로 갚아준다,,,,,,,
1921,볼만함. 음향감독 누군지 음향효과가 아주뛰어남  깜짝 놀래킬 만한 요소가 있는영화라는걸 알고 봤지만 후반부부터는 흥미로웠음.,,,,,,,
1922,숨소리조차 낼 수 없었떤 긴장감!,,,,,,,
1923,중간중간 깜짝깜짝 놀라고 음향효과로 놀라고 오랜만에 볼만했던 공포물,,,,,,,
1924,뻔한 소재인데 설정을 다듬고 연출에 힘쓴 게 인상적이었다..솔직히 놀랐다,,,,,,,
1925,영화관에서 3명이서 봤다 거의 빌렸다고 보면되지!! 딱히... 반전이라고는 생각 안됨,,,,,,,
1926,반전이 있어 더 재밌었어요~~^^,,,,,,,
1927,별로 기대안하고 갔다가 생각보다 쫄깃해서 놀랬음 여주인공이 좀 더 예뻤음 몰입이 더 잘됐을텐데ㅎㅎㅎ,,,,,,,
1928,완전 짜릿쪼릿했다..ㅜㅜ 역시 믿고보는 제작진! 그리고 여주가 연기를 너어어어무 잘함 ㅠㅠ 결말은 진짜 모르고 보니까 제맛 bbbb,,,,,,,
1929,신선한 이야기 과학에대한 경각심을 자극하고 일방적인 집착의 혐오스러움을 잘담았다,,,,,,,
1930,갑분 어벤져스 느낌;,,,,,,,
1931,why를 잘 피해 쫄깃하게 잘 놀다가 막판 헛발질에 점수를 많이 까먹네요...,,,,,,,
1932,숨 한번 제대로 못 쉬고 보다가 호흡곤란 올 뻔ㄷㄷㄷ 처음부터 끝까지 스토리가 어떻게 전개될지 전혀 예측이 안됨. 여주 진짜 연기 폭발해서 나까지 미치는 기분임.. 친구들이랑 한번 더 봐야겠다,,,,,,,
1933,여주 연기가 다 했고 음악도 진짜 한몫했다... 너무 긴장해서 몸이 아플 정도 ㅠㅠ,,,,,,,
1934,여주 연기 미쳤고 무서운 장면이 많이 나오는건 아닌데 걍 보는 내내 쫄림ㅋㅋ OST까지 좋아서 극장에서 봐야됨,,,,,,,
1935,몰입감 개쩌는데... 특히 요새 영화관에 나밖에 없어서 넘 좋았음 여주 연기 진짜 장난아님 ㅠㅜ예고편 보고 기대됐는데 기대만큼 재밌음!!!,,,,,,,
1936,여주 되게 익숙해서 누군가 했더니.. 어스에 나왔단 남편 친구 조쉬의 아내였네;; 어스에서도 칼로 얼굴 그을 때 소름끼치게 연기 잘했는데.. 역시 여기서도 연기 대박,,,,,,,
1937,와.. 간만에 영화보는 내내 심장 쫄렸다 주인공 연기도 걍 미쳤음; 아직도 소름 돋음 ㅠㅠ,,,,,,,
1938,와진짜 소름돋고 오랜만에 진짜 역대급으로 깜짝 깜짝 놀라는 영화 나왔다....,,,,,,,
1939,존잼이었음 간만에 무서웠어여,,,,,,,
1940,긴장감쩔었음 집에있기 갑갑해서 가서봤음 ㅎ,,,,,,,
1941,이와중에 2만명이 봤다는게 더놀랍네ㅡㅡ진짜 무슨 지들이 천하무적인가?안전불감증임?,,,,,,,
1942,현실감이 없네 남자가 저렇게 돈 많고 능력 좋은데 못생긴 여자를 좋아한다고? 내 친구 닮아서 몰입이 안됨,,,,,,,
1943,주인공 여자 넘 몬생겨서 몰입이안됨,,,,,,,
1944,광학분야선구자인데 정작 여자 외모보는 안목은 없네,,,,,,,
1945,유전이 그냥 커피라면 이건 TOP. 이걸 그저 그렇게 본 사람들은 집에서 핸드폰으로 본 게 아닐까.,,,,,,,
1946,음.. 마지막 서프라이즈가 압권이였다.,,,,,,,
1947,업그레이드 감독이라 기대가 컷는데 아쉽네요 연출은 나쁘지 않지만 스토리가 약하네요,,,,,,,
1948,신선하게 재미가없다ㅇㅅㅇ,,,,,,,
1949,연출만 배운 감독의 똥영화물리법칙,,,,,,,
1950,일단 여주는 누가봐도 정신병원 100%갈만했고 공포에 쪄들어있다는걸 감안했다지만 상황설명을 너무 못해 답답함.그리고 그 불쾌한음역대의 소리를 답없이 크게 틀어두니까 내 몸이 울림통된거마냥 마구 떨려대더라 귀 틀어막으...,,,,,,,
1951,이거너무재밌어요 또보고싶어요,,,,,,,
1952,투명인간이 두렵게 한다? 그러기엔 설득력이 부족하고,,,,,,,
1953,그저그런 영화,,,,,,,
1954,올해가 아직 3월말 밖에 안되었지만 올해 본 드라마 영화를 통틀어 최악의 영화가 아닐까 싶다. 처음에는 보이지 않은 것에 대한 공포감과 적당한 긴장감이 좋았다. 하지만 그것은 오직 소재에서 나오는 힘이었고 캐릭터의 ...,,,,,,,
1955,알바생들인지 진짜 보신분들이 글 남긴건지...괜찮은 영화라고 하는데....개인적으로 예고편보고 낚인 기분드네요 영화니깐 현실성 제로를 두고 본다곤하지만 식당에서 살인에서도 충분히 cctv로 알수 있고 여자아이 혼자 ...,,,,,,,
1956,감독이 어떤 그림을 그리고 싶었는지 이해하기가 어렵다 무엇보다 공포스릴러인데 무섭지도 않고 전체적으로 느린호흡에 상당히 지루한편. 반전도 시답잖고,,,,,,,
1957,전체적으로 스토리 너무 답답하구 진행이 느려요..결말도 참... 어후 고구마 하나 먹는 느낌 이랄까요,,,,,,,
1958,예전 할로우 맨이 더 낫다. 느리고 늘어진 카메라 워킹. 30분은 줄이기 가능한 연출. 남주는 얼굴도 한번 안나옴. 2류 배우들. 아 진짜 여주는 남편 어머닌줄 알았다...  캐스팅부터 망. 레스토랑씬의 엉성한 칼잡...,,,,,,,
1959,투명인간의 애절한 사랑~♡,,,,,,,
1960,재밌는요소를ㅜㅜ 지루하게끄는것도 대단한거임솔직히공포는아닌듯ㅜㅜ,,,,,,,
1961,남주가 왜 여주한테 집착하는지여주 비주얼 때문에 공감하기가 힘들었음에바 그린 나온 움이라는 영화는 남주 얼굴 때문에 그랬는데이 영화는 정반대였음하지만 여주 연기는 쩔음,,,,,,,
1962,초반부터 중반까지는 긴장감이 유지되지만 후반부에 긴장이 없어진다.조금 지루할수도 있는 스릴러 영화.,,,,,,,
1963,그닥 크게 무섭진않음. 약간 공포보다는 SF 스릴러수준,,,,,,,
1964,nothing to talk about,,,,,,,
1965,코로나를 뚫고 기어이 영화를,,,,,,,
1966,경찰 제임스역할 알디스호지? 완전 멋진흑형 짱이다 어깨팔뚝근육보고 반함ㅜㅜ 영화는 기대했더니 시시하다 투명인간 수트입고 저런겨? ㅡㅡ,,,,,,,
1967,,,,,,,,
1968,처음 시작하고 강아지 밥그릇에 놀랐어요,,,,,,,
1969,허술한 구석이 많고 시간때우기용 정도. 여주인공 여동생을 주인공으로 했더라면. 여주인공이 남자가 집착할 정도가 아님.,,,,,,,
1970,볼만은함. 근데 여주가 못생겨서 집중이 잠깐씩 깨짐,,,,,,,
1971,나만 죽을 수 없지.P.S. 알바들 고생 많다.,,,,,,,
1972,겟아웃,,,,,,,
1973,정말 재미없습니다.,,,,,,,
1974,최근 영화관도 잘 못 갔고 기대되는 작품도 없었는데 사람 없는 틈을 타서 그나마 평이 좋은 영화로 골랐습니다 첨부터 끝까지 긴장하면서 보게 되고 엔딩도 좋습니다 넘나 흡족한 감상이었습니다,,,,,,,
1975,명작까지는 아니지만 충분히 재밌는 수작. 그럭저럭 신선한 투명인간 설정과 스릴있는 분위기조성,,,,,,,
1976,Ost무섭고 초반에 쫄리는건 인정 근데 이거 진짜 개 씹노잼임 저 평점 남긴 적 없는데요 이거 보시면 제발 가지 마셈 마지막 10분을 위해서 1시간 30분 이상을 끌었음 tlqkf 이거 고소 안먹겠죠? 근ㄷ 진짜 개...,,,,,,,
1977,무서웠어요..,,,,,,,
1978,돈이 쫌 아깝네. 공짜로 보여줘도  안볼건데..,,,,,,,
1979,솔직히 노잼 범인 추측과정에서 긴가민가함과 약간의 반전이 그나마 영화 살림,,,,,,,
1980,꽤 재밌게 봤네요 !! 공포영화라고 말하면 약해보이지만 스릴러 영화라고 생각하면 공포스러운 !,,,,,,,
1981,무서운건 인정하는데 스토리가 심각하게 막장이라 몰입하기가 힘듬..;,,,,,,,
1982,클로젯도 소리 지르면서 봤는데요 이건 노잼이네요; 기승전결 약하고 긴장감도 떨어짐.,,,,,,,
1983,그 넓은 영화관에서 혼자 봤는데도 한개두 안무섭네요. 실망임..,,,,,,,
1984,뻔한 내용일줄 알았는데 반전도 있고 조마조마하며 보게되는 영화~!!,,,,,,,
1985,엘리자베스 모스 연기 정말 짱~ 나두 투명인간이고싶다~ㅎ,,,,,,,
1986,전설의 고향 내다리내놔가 더무서웠다 ....,,,,,,,
1987,너무 기대했나? 뻔한 스토리에 진부하게 느껴짐,,,,,,,
1988,그래서 그거구만 처음에는 남편이 못살게 굴어서 나온것 그리고 인비저블맨은  형 재산 뺏으려고  여주 정신병 만든것 마지막 여주는 이 모든것을 알고 남편 자살로 위장 시켜 재산 과수트 강탈 첨엔 남편 시나리오 중간은 ...,,,,,,,
1989,투명인간이 이렇게 공포로 다가올수가있구나 앨리자배스 모스님도 연기 섬뜩하기 잘하시구 surrprise,,,,,,,
1990,띵작이다ㅜㅜㅜ 여주 연기 미쳤고 몰입감이며 긴장감이며 다 넘 좋았음ㅜㅜ,,,,,,,
1991,시작부터 끝까지 긴장감을 놓치지 못했음..,,,,,,,
1992,스토리부터 연기까지 굿굿,,,,,,,
1993,보는내내 최면에 걸린듯 빠져들었다,,,,,,,
1994,신선함,,,,,,,
1995,보는내내 숨막혀 죽는줄,,,,,,,
1996,믿고보는 블룸하우스 ,,,,,,,
1997,기대하지 않았는데 예상외로 스릴있게 본 영화!,,,,,,,
1998,유치합니다 그냥 ...,,,,,,,
1999,반전도 좋고 너무 재밌었어요,,,,,,,
2000,카메라 구도와 연출이 좋았던 영화,,,,,,,
2001,아 생각할수록 소름끼치고 무서워 ㅠ,,,,,,,
2002,완전 최근에 본 스릴러중에선 최고인듯ㅋ몰입도최고,,,,,,,
2003,세상이 미친 거 같다. 아님 내가 미쳤나? 9점대라고..?,,,,,,,
2004,kf94마스크 쓰고 갔음 ㅋㅋ뭐가 진실인지 헷갈리게 해놨는데 장치들을 워낙 잘해놔서 보다보면 알 수 있음 기법이 컨저링느낌이 나고(스토리나 이런건 전혀 관계없음) 특별히 잔인하지않아도 무서운느낌이 듦,,,,,,,
2005,여주인공 못생긴거 빼곤 다좋앗어요,,,,,,,
2006,반전과 반전 소름의 연속이었습니다 두 번 봐도 재밌을거 같아여,,,,,,,
2007,무서웠고 소오름 ! 재밌었다!!,,,,,,,
2008,신선한 공포감!! 처음 느껴 보는 공포감!!,,,,,,,
2009,줄거리모르고 가서 보다가 중간중간 발작함,,,,,,,
2010,스토리가 탄탄해서 몰입력있게 잘봤습니다ㅎㅎ,,,,,,,
2011,처음부터 끝날때까지 집중할수 있게 해준 영화,,,,,,,
2012,다들 알바세요?개별로였는데,,,,,,,
2013,블룸하우스는 항상 신선한 영화를 보여준다ㅠ 이번에도 너무 재밌게 봄!,,,,,,,
2014,영화 보는 내내 얼마나 긴장을 했는지..,,,,,,,
2015,탄탄한 스토리와 서스펜스,,,,,,,
2016,배우들 전혀 모르고 별로일줄 알았는데 지렁이도 밟으면 꿈틀한다는걸 보여준 영화 같아요,,,,,,,
2017,공포영화라는 특성을 잘 살린 영화,,,,,,,
2018,재밌었습니다! 배우 연기가 최고에요,,,,,,,
2019,조금 지루하고 하나도 안무섭습니다.,,,,,,,
2020,이것이 영화다 제임스가 좀답답하지만 지푸라기,,,,,,,
2021,투명인간;; 보이지도 않아 더 무서웠다 어디서 튀어나올지 몰라ㄷㄷ,,,,,,,
2022,시작하자마자 긴장 바짝하게 되는 몰입도와 깔끔한 마무리까지 너무 좋았어요!! ㅎㅎㅎ,,,,,,,
2023,공포,,,,,,,
2024,투명인간이라는 소재를 기가막히게 잘 살렸네.,,,,,,,
2025,나름 재밌게 잘 봤습니다.넘나 무서웠어요,,,,,,,
2026,딱히 코로나 위험을 무릅쓰고 볼만한 영화는 아닌듯 차라리 지금은 할로우맨 보고 나중에 다운받아서 보는걸 추천,,,,,,,
2027,이거 결말이 진짜... 말 못해서 답답한데 찐이예요...ㅠㅠ 소름돋음 친구가 안보면 안된다고 추천해줘서 봤거든요... 두 번 보세요 다들... 글고 여자 주인공 연기가 장난 아닙니당 몰입감 짱... 간만에 영화 보러...,,,,,,,
2028,대놓고 잔인한 스릴러 / 공포 영화보다 이런 스릴러가 내 스타일. 설정도 특이하고 결말이 궁금해서 봤는데 여자 주인공이 개쎈게 진짜 킬포임. 무서운데 통쾌하고 이게 진짜 스릴러다 ㅋㅋㅋ,,,,,,,
2029,결말 짱 충격; 입틀막하고 벙쪘음 ㅋㅋ 신선한 소재에 엔딩까지 완벽,,,,,,,
2030,공포 스릴러 덕후인데 역시... 리 워넬 감독 클라스 오졌다 2시간 순삭당함 ㅠ 어휴 긴장해서 심장이 다 아프네 아직도..,,,,,,,
2031,진짜 이런 스릴러 영화를 기다렸다..ㅠㅜㅜㅠ 공포영화 못 보는 찌질이라 스릴러 보고 싶어도 극장에서 보기엔 손떨렸는데 이건 완전 쫄깃쫄깃해서 주먹 꽉쥐고 봄,,,,,,,
2032,개깜짝놀랐음 서프라이즈 장면이 종종나옴,,,,,,,
2033,업그레이드 감독이였구나...앞으로 믿고 보는 감독이 될듯,,,,,,,
2034,와 개존잼- 진짜 블룸하우스 영화는 참신하다 참신해,,,,,,,
2035,다른건 몰라도,,,,,,,
2036,재미없음 지루함 그리고 여주인공도 별로고 돈주고는 보기 아까움,,,,,,,
2037,여주가 솔직히 너무 못생겨서 애드리안이 하는 행동이 전~~~혀 이해가 안갑니다,,,,,,,
2038,오프닝 부터 삼류 티가 팍팍 풍김. 예매율 높다길래 혹시나 싶어 30분 참고 봤더니 역시나 삼류. 내 인생에서 가장 아까웠던 30분. 한참 옛날에 나온 할로우맨이 얼마나 잘 만들어진 영화인지 다시 알게됨.아니 근데 ...,,,,,,,
2039,이 시국에 무슨 영화냐?,,,,,,,
2040,초반이 너무너무 지루함. 나머지 30분을 보기위해 1시간반을 참아야함. 예전에 개봉했던 할로우맨이 진짜 재미있었는데..,,,,,,,
2041,남자친구가 무서운영화를 잘 못보지만,,,,,,,
2042,평점 높길래 남편 꼬셔서 봤다가 남편한테 디지게욕 먹었어요...ㅠㅠ,,,,,,,
2043,많이 무섭지는 않습니다만 색다른 소재와 깜짝 놀라는부분이 몇번 있습니다,,,,,,,
2044,중간중간빼고 지루하고 노잼이에요  돈주고 볼 영화는아닌듯,,,,,,,
2045,그냥 무서운것도 아니고 공포영화라고 할수도 없음 ㅈㄴ 노잼,,,,,,,
2046,재밋어요 ! 이야기전개나 배경음악이 집중도를 높이는것같아요,,,,,,,
2047,이 정도로 경찰이 대가리 깨지기도 힘들듯? 미경찰에서 영화 고소해도 인정이야. 여주도 대가리 깨진거 마찬가지고. 언니만 개불쌍함,,,,,,,
2048,음악이나 분위기로 공포느낌을 제대루 느끼게 해주는 영화,,,,,,,
2049,평점에 비해 재미없었음 ;;,,,,,,,
2050,비디오용.여자가 더 악독해보임. 아내가 아니라 엄마라고 느낄정도로 늙어보임.,,,,,,,
2051,댓글알바 진짜 짜증난다 겁먹었던 내가 창피하다 .. 더넌보다 못하다,,,,,,,
2052,저 수트 가지고 싶다...,,,,,,,
2053,펜을 항상 지니고 다녀야겟다..,,,,,,,
2054,여주인공 연기가 미쳤다리ㅠㅠㅠ;;;,,,,,,,
2055,이건머...초반잠깐만 긴장감있고 나머진...어벤져스에 합류하려나? 했음그냥 시간낭비,,,,,,,
2056,솔직히 개인적인 의견공포가 무엇일까 라는 의구심을 가지게 만든 영화임앞 1시간동안 ㅈ노잼이어서 뒷부분 좀 기대했는데ㄹㅇ 영화보면서 별 의심이랑 궁금증 들더라저 동생이 딱보니까 문제거나 여자가 정신병자다 막 이런솔직히...,,,,,,,
2057,일단 여주가 너무 못생겨서 몰입이안됨...주인공보다 연상녀인가?세계적으로 명성있는 과학자에 돈많고 잘나가고 잘생기고 키크고 인물좋고 집 의리의리한데 누가 저런여자를 만나나??저런 남자가 저런 여자를 사랑하고 집착한다...,,,,,,,
2058,공포.스릴러 장르라고 하더니.. 어디에 공포가 있고 스릴러가 있지? 포스터가 스포일러인 영화,,,,,,,
2059,이것도 영화냐!,,,,,,,
2060,이런 기승전결없는 노답쓰레기영화가 1위라니 요몇년간 공포영화 볼만한게없네 놀래키기만하고슈트가 무슨 아이언맨슈트냐 투명해지는거 하나밖에없는데 흑인근돼경찰한테 개뚜드려맞고도 멀쩡히일어나고근돼형은 몇대처맞고 힘도못쓰다 뻗...,,,,,,,
2061,스토리도 엉성하고 몰입감도 없고 재미도 없고무섭지도 않고....ㅠㅠ,,,,,,,
2062,평점 조절용이다. 후반으로 갈수록 쫄리긴 하더라. 근데 8점 정도 영화여서 조절용으로 1점 줌,,,,,,,
2063,사운드만 웅대하다..와 진짜.... 후..,,,,,,,
2064,7.5점 영화같아요 9.3은 아님,,,,,,,
2065,진짜 개지루히고 말도안대는상황전개에 개억지스러운 내용이다 보는내내 어느하나 말된다는게없었다. 개연성하나없고 . 2019년 20년 모든영화중 제일최악,,,,,,,
2066,인간적으로 여자 외모가... 누가 스토킹을 하냐고 여자가 더무서워 얼굴만 봤을땐 인비저블맨 이남자가 악역인지 여자가 악역인지를 모르겠어,,,,,,,
2067,출연진 몇안되는데도,,,,,,,
2068,이렇게 재미없는영화는 처음이다 돈아까워 내돈 내놔 이년놈들아,,,,,,,
2069,진짜 개노잼개연성은 전혀 없고무섭지도 않음. 그냥 소리로만 놀라게 하는 깜놀 영화일뿐.,,,,,,,
2070,개똥쓰레기영화 공짜영화여도 안볼영화주연배우가 연기도 못하는데 예쁘지도않음내용도 뻔하디뻔함,,,,,,,
2071,별하나도 아깝다 광고에 겟아웃 연출진이라해서 조던필 영화인줄알았는데...일요일 오후시간이 아깝다 웬만하면 모든영화 잘보고 평점도 5점미만으로 준적이없는데 이건좀 심하다,,,,,,,
2072,와 진짜 알바들이 존재하는구나.. 대박이네...ㅋㅋㅋ,,,,,,,
2073,여주인공 안이쁨내용 긴장감 없음감상포인트도 없음 하나 무조건 골라야해서 OST 고른거임,,,,,,,
2074,진짜 개 잽없음.. 본사람이면 공감할거임,,,,,,,
2075,제발 보지마세요 돈아까워요 1917 세번보셈.. 피해자 없기를...,,,,,,,
2076,스토리 개연성이 너무 떨어져요. 실망입니다.,,,,,,,
2077,막판에 너무 지루했어요....,,,,,,,
2078,고구마 같은 여자 화장좀 하자.,,,,,,,
2079,여주 ㅈ같이 생겨서 집중이 안됨. 몸매도 ㅈ같음,,,,,,,
2080,1)여주인공이 집착할만큼 예쁘지 않음. 오히려 아줌마상이라 집중 안됨 2)투명인간이면 인류사에 한획을 긋는 발명인데 고작 저렇게만 쓴다? 3)어디서 본건 있어가지고 공포영화들 전개과정 따라한것들뿐 (결론)2000년에...,,,,,,,
2081,별로다 겟아웃이랑 어스 보고 와서 그런지 뒤로 갈 수록 점점 산으로 가는 듯 한 느낌 받음 연기는 잘함,,,,,,,
2082,히치콕,,,,,,,
2083,어쩌다 봤는데 내용도 신박하고 재밌게봤음,,,,,,,
2084,여주연기도 별로고 하품나오는 영화네,,,,,,,
2085,페인트를 그리 빨리 못닦지,,,,,,,
2086,겁나 재밌넼ㅋㅋㅋ 온 몸에 소름돋으,,,,,,,
2087,돈,,,,,,,
2088,부부싸움은 칼로 물베기,,,,,,,
2089,연기력이며 스토리며 엔딩까지 뭐 하나 부족한 게 없다,,,,,,,
2090,ㅈㅐ밌음 스토리도 ㄱㅊ고 일단 연기 개잘함 배우들 다 너무 잘해서 소름끼침,,,,,,,
2091,글쎄 투명인간 수트를 이 사람 저 사람 입으면 도대체 뭐가 정의편인지 헷갈리게 한다. 그럼 결국 여자 주인공이 범인이었나? 여자의 교활한 계략을 읽을 수 있는 결말은 여타 영화(이끼,,,,,,,
2092,겟아웃과 어스는 잘 만들었으면서 이건 왜 이래,,,,,,,
2093,마블시리즈임????,,,,,,,
2094,가엾은 주인공.. 그러나 강한 여성.. 중반부로 넘어가면서 다소 소재의 한계에 봉착하는 듯 보인다. 그래도 러닝타임을 감안하면 좋은 작품같다. 외모에 대한 이야기가 전반적인데 사실 눈도 멀어버릴 집착에는 이유가 이유...,,,,,,,
2095,다 이긴 경기 어이없게 지는 기분.,,,,,,,
2096,은근 무섭다.. 안보이는 존재란.. 시간 순삭. 볼만함,,,,,,,
2097,,,,,,,,
2098,스토리도 없고 그냥 노잼 왜 공포 카테고리에 있는지 모르겠음 상영시간 2시간 동안 그냥 벽 보고 앉아 있는게 더 의미 있음,,,,,,,
2099,세실리아를 괴롭히는 망령은.. 우리들에게도 있다.  가족이라는 이름으로.. 남보다도 못한 인간들... 영화를 보면서 세실리아가 너무 불쌍했고.. 자신의 자유와 행복을 쟁취하기위해 무던히도 싸우고 노력하던 클로버필드의...,,,,,,,
2100,오랜만에 손에 땀을 쥐게 하는 재밌는 영화를 봤네요,,,,,,,
2101,넘재밌음진짜 반전 오지고 무섭고 잼씀,,,,,,,
2102,볼만했습니다...,,,,,,,
2103,여주 연기가 오매오매오매ㅐㅐ,,,,,,,
2104,,,,,,,,
2105,생각한 것보다는 별로 안 무서웠음.,,,,,,,
2106,공포 스릴러 고어물 매니아에요. 너무 좋아해서 애지간해도 다 잘 보는편인데ㅠㅠ 뭐죠 평점에 낚이고 리뷰에 낚이고. 정말 지루해요. 신랑은 보다 지루하다 들어가 자버리고.혼자 끝까지 보고선 욕했어요,,,,,,,
2107,여주 표정 싸악 변할 때 레알 소름,,,,,,,
2108,답답한 스토리에 멍청한 캐릭터들의 합작품,,,,,,,
2109,너무 재미없습니다. btv ok cashbag으로 봤는데 돈/시간 다 아깝네요.,,,,,,,
2110,,,,,,,,
2111,한물갔다고 생각하는 소재와 장르적 요소들을 뉴트로로 복귀시켜 다시 요리 해내는 능력,,,,,,,
2112,,,,,,,,
2113,처음부터 중반까지는 고구마 300백개 더만마지막에  체한거 내려갔다그리고 저런수트 나오면 안된다미친놈너무많다,,,,,,,
2114,긴장감 몰입도 괜찮았어요.결말부분에서 멍해졌지만 해석하는 재미도 쏠쏠함.꼭 보세요,,,,,,,
2115,뭘 전달하려는지모르겠음 그냥보지마세요 +환공포증,,,,,,,
2116,돈이 아깝지 않은 영화였다. 충분히 스릴있었다.,,,,,,,
2117,리 워넬 감독 작품 꽤 괜찮은게 많음.  이 감독 공학 전공자가 분명함ㅎ.  쨌든 영화 저는 재미있게 봤어요 중간에 헉 하고 놀라기도하고 여주 얼굴이 너무 무섭게 생겨서 더 무서웠어요.애나벨 인형 생각이 자꾸 남.제...,,,,,,,
2118,보통 이런 소재 영화에서처럼 그냥 여주가 일방적으로 당하는 그저그런 내용일줄 알았는데 반전ㄷㄷ마지막에 911부를때 다른 놈 또 있나 했는데 표정 바꾸면서 서프라이즈 날리는거 개멋있음,,,,,,,
2119,뻔한결말 신박한게없네,,,,,,,
2120,여주인공 말좀 믿어줘라 좀...,,,,,,,
2121,,,,,,,,
2122,잘만들었다너무 무서웠고 연기잘한다 여주,,,,,,,
2123,여자분이 연기를 너무 잘함.재밌었어요~,,,,,,,
2124,,,,,,,,
2125,기대보다 재밌고 흥미진진한 영화,,,,,,,
2126,아니여주인공한테사과좀해주지,,,,,,,
2127,올라올때 내 숨이 다시 쉬어지는 느낌.. 기막힌 연출과 긴장감을 2시간 내내 준다.,,,,,,,
2128,투명인간이 될 수 있는데 왜 여자 하나에 집착하는지? 투명 소시오패스가 범죄를 저지른다 가정하면 못할짓이 없을텐데...심히 안타까웠음.  영화는 알고봤는데도 무서웠음ㅜㅜ,,,,,,,
2129,저는 일본에 살고있어서 일본 극장에서 봤어요코로나때문에 친구랑 떨어져서 봐야했는데 너무 무서웠어요ㅠㅠ 스토리 연출 너무 좋네요 끝까지 재밌었어요스릴러,,,,,,,
2130,역시 우리나라는 외국(서구권) 영화에는 점수가 후하구만ㅋ 이게 우리나라 영화로 만들어졌으면 엄청 까였을건데 ㅋㅋ 이게 우리나레에서 만들어졌다고 봤다면 사람들이 5점 줬을 것 같아서 5점 준다 ㅎ,,,,,,,
2131,난 그냥 그랬음..연기나 스토리는 좋지만 뭔가 스릴은 딱히 없던..,,,,,,,
2132,,,,,,,,
2133,이게 무서운 사람들은 어떻게 세상 살아? 나뭇잎 떨어지는 소리에 심장마비로 사망하겠네ㅋㅋㅋ 내 진짜 이런 졸작을 끝까지 본 내가 공포다,,,,,,,
2134,재밌네요^^ 연기갑 ㅎ 우째저런내용을~~그런데 에드집이너무멋짐요 ㅎ,,,,,,,
2135,약간의 모순도 있지만 연기 스토리 모두다 최고였음,,,,,,,
2136,여주 피지컬 좋은 배우 왜 썼나했는데,,,,,,,
2137,이걸 보고 저는 비로소 눈도 좀 테러 당하고 신나게 소리를 질렀었죠 훟,,,,,,,
2138,,,,,,,,
2139,리워넬 스타일의 제작비를 아끼면서 스릴감을 줄 수 있는 '기지넘치는 아이디어'가 여전하다. 다만 레스토랑의 cctv 확인같은 개연성은 다소 부족하지만,,,,,,,
2140,슈트 갖고싶다 그리고...,,,,,,,
2141,,,,,,,,
2142,외국영화하고싶어요안될까요제발보내드립니다!네,,,,,,,
2143,엄마랑 이ㄷㄱ이랑 올만에 봄. 초반에 공포치고 잔잔라더니 싸우고 나서부터 재밌음. 블룸하우스는 보는것들 다 평타이상. 결말만 사이다긴 한데 진짜 범인일까?  개연성 좀 어긋나긴 함. 투명인간이 넘 세다...,,,,,,,
2144,영화자체는 꽝인데 덕분에 주방소화기 주문했습니다. 화재예방 지식도 더불어 알려주는 고마운 영화이네요.,,,,,,,
2145,소리나 냄새까지 없어져서 현실성이 좀 떨어지지만 그럭저럭 잘 만든 영화.,,,,,,,
2146,보이지않는 존재보다 사람의 욕망이 더 두려움을 준다는 것을 잘 연출했다.,,,,,,,
2147,볼만했었다  주인공 연기력이 좋은편,,,,,,,
