,content,,,,,,,,,,
6076,연기는 모두 짱이구요 저는 무서워서 눈가라고 봤어요,,,,,,,,,,
6077,믿도끝도없는 변신...불친절한 ..현주만 어이없게 괜히 디짐. 손더게스트 만든 감독 맞냐?,,,,,,,,,,
6078,보는내내 긴장하면서 봤어요,,,,,,,,,,
6079,너무 무서워요ㅠㅜ 최근에 본 공포영화 중에 제일 무서운 듯.. 영화 이야기 컨셉도 너무좋구 신선하네요!,,,,,,,,,,
6080,최근  몇년동안 나왔던  국내 공포영화중에서 제일 무서웠다. 인정!!,,,,,,,,,,
6081,중반 안되서부터 갑자기 B급으로 전락..연출이 엉망.개연성 없음.백윤식 외국어발음 때문에 코디미인줄..후반부에 성동일 울부짖는 장면과 배경음악 때문에 신파의 끝을 달림ㅋㅋ. 영화보고 이렇게 어이없기도 오랜만인듯. 돈...,,,,,,,,,,
6082,둘째가 젤불쌍..화형이 가장 고통스럽다던데..,,,,,,,,,,
6083,초반이 너무 무서움진짜,,,,,,,,,,
6084,진짜이때까지 본 공포물중에 최고!!진짜 정신없이 보고 왔음  짱!! 1위꼭했음좋겠다,,,,,,,,,,
6085,답답하기만 하다 끝이네,,,,,,,,,,
6086,개연성도 떨어지고 후반으로 가면서 많이 아쉬웠습니다,,,,,,,,,,
6087,비추....알바들땜에 봣다..,,,,,,,,,,
6088,장난치나 평점 8점일수가 없는 영화다. 중간까지는 소재괜찮아서 볼만했는데 후반 갈수록 삼류 영화.... 최근들어서 이렇게 돈 아까운 영화가 없었던거같다 아후,,,,,,,,,,
6089,돈아깝다 이건 변신이 아니라정말  아오 귀신들리겠다,,,,,,,,,,
6090,솔직히 악마물은 거의 비슷한느낌을 받았는데 이영화는 좀 신박하다는 느낌을많이받았고 볼만했음,,,,,,,,,,
6091,ㅠㅠㅠㅠ 초반은 그럭저럭 재밌었는데 중반 넘으면서 아,,,,,,,,,,
6092,둘째 딸 안찾는 것이 흠이었다. 지금까지 본 공포영화하고는 다른 느낌. 너무 무서웠다. 한 여름에 따뜻한 긴팔입고 영화보는데 추웠다.,,,,,,,,,,
6093,마지막 공포영화가 될예정..방심하고 봤는데 지렸네유..,,,,,,,,,,
6094,1점도 아까워요 그냥 불쾌지수 올라가는 영화,,,,,,,,,,
6095,같이'차타고있던 외국인사제랑백선생님 눈엔 까마귀가 보였는지 궁그매요,,,,,,,,,,
6096,쌉쓰레기 노잼 이런 엑소시스트물 좋아하시는 분들 절대 보지마세여 ㄹㅇ돈아깝고 짖심 컨저링 같은거 기대하고 가시지말고 진짜 절대보지마세요 제가 돈이없어서 다 안말하는데 진심 개 노잼,,,,,,,,,,
6097,가족의 사랑과 왜 좋은 집에서 왜 비싼 동네에서 살아야 하는지 깨우쳐주는 아주 소중한 영화이자 명작 입니다하지만 한국은 영화 감독과 작가를 알아보기 좁은 나라입니다어서 빨리 헐리웃으로 진출하세요,,,,,,,,,,
6098,처음부터 끝까지 너무 스릴넘치고 긴장하면서 봤어요 ㅠㅠ 중간중간 징그러운 장면들이 나와서 보기 힘들더라구요,,,,,,,,,,
6099,난 생각보다 괜찮앗는데? 평이너무낮은듯,,,,,,,,,,
6100,하..진짜 너무 무서워요ㅠ.ㅠ계속 닭살이 쫙쫙 돋았음...,,,,,,,,,,
6101,너무 예측가능한 내용,,,,,,,,,,
6102,야이씨 알바생들 성동일이 살렸다,,,,,,,,,,
6103,매우 과대포장된 B급 영화,,,,,,,,,,
6104,차라리 집에서 극장판 뽀로로를 보세요,,,,,,,,,,
6105,방금 보고 나왔습니다. 보지 마세요 진짜 욕나오네,,,,,,,,,,
6106,스토리는 없고 그냥 무섭게 만들려는 영화,,,,,,,,,,
6107,배우들 연기는 좋은데 전체적으로 중구난방....잔인한장면은 굳이 안넣어도 될장면을 넣어서 그냥겁에질리라고 하는거같고 거창하게 일을벌려놓고 아무것도안하고 끝나는일이 너무많고 둘째는 아무도 안찾고 막내는 불쌍함...,,,,,,,,,,
6108,보는 내내 그냥 공중에 돈을 뿌릴 걸 싶었어요ㅠ개연성도 없고 15세 치고 트리거 요소 너무 많고... 특히 결말 일단 저질러놓고 나중에 급하게 쓸어담아보려는 듯한 느낌임 개인적으로 불법다운해서 봤어도 본 시간이 아깝...,,,,,,,,,,
6109,초반부 엄청 스릴있다가,,,,,,,,,,
6110,엑시트가 재밌었다?그럼 이건 블록버스터급 ㅋㅋㅋ,,,,,,,,,,
6111,8점이나 너무 가혹한 평점이 많아 10점으로 합니다~오컬트 영화 팬이라서 검은사제들,,,,,,,,,,
6112,초반부는 그럭저럭 근데 다 보고나서 황당함 애는 왜 죽고 카톨릭사제들은 그냥  교통사고로 죽고 뭐임 이런 분위기임 시나리오 내가 써도 훨씬 더 잘쓰겠네 ㅉㅉ,,,,,,,,,,
6113,롤러코스터 타는듯한 영화 초반부 재미있었느나 시간이 흐를수록 개연성없고 마지막 엔딩장면이 그동안 망가진 몰입도를 나락으로 추락(엔딩씬은 내 관점상 대충 마무리한 레포트 마지막 슬라이드 느낌),,,,,,,,,,
6114,하아.. 뭘 하려는지 알겠는데 제대로 못 표현함. 물론 연기말고 연출이.,,,,,,,,,,
6115,교묘하게 인간들 속에서 숨어 있을줄 알았는데대놓고 나 악마요! 이런 느낌이라 실망 스럽후반은 웃겨서 빵터짐 ㅋㅋㅋ,,,,,,,,,,
6116,지금까지 상영관에서 본 영화중에 제일 후회되는 영화랄라 룰루 지금까지 저 영화 본거 생각만하면 후회되고 마음이 슬픔,,,,,,,,,,
6117,배우들 연기다함 대박임,,,,,,,,,,
6118,졸잼이다라랑랑당당굿,,,,,,,,,,
6119,검은사제들 곡성을 짬뽕시켜놓은듯,,,,,,,,,,
6120,이정도면 잼나는구먼.도대체...,,,,,,,,,,
6121,그 흔들목마인가 그게 가장 무서웠다,,,,,,,,,,
6122,a뭐  그런대로 볼만해쓰,,,,,,,,,,
6123,스토리에 감탄하고 연기에 또 감탄했네요 ㅎㅎ 공포영화 좋아 하시는 분은 꼭 봐야 할 영화같아요.!!,,,,,,,,,,
6124,내가 볼땐 제작비 부족으로 급하게 끝낸거 같다,,,,,,,,,,
6125,배우들 명연기를 시나리오가 받혀주질 못하네. 그냥 흔하디 흔한 그런 내용에 ,,,,,,,,,,
6126,리뷰보고 둘째 스포당해서 부들부들중 근데 영화는 재밌음,,,,,,,,,,
6127,좋은 설정으로 분위기 잘 잡아놓고 중반 이후부터 머릿속에 물음표가 계속 뜨기 시작하다가 결국은 식상하게 마무리... 마무리가 아쉬웠습니다,,,,,,,,,,
6128,배성우 배우님 최고예요!! ㅜㅜ 잘봤습니다 스토리 탄탄해요,,,,,,,,,,
6129,그냥그랫습니다. 재미도없고..,,,,,,,,,,
6130,좀 아니에요..재미없어요,,,,,,,,,,
6131,올해 본 최악의  영화  ....,,,,,,,,,,
6132,진짜 너무 재미없고 뻔하고 더러움,,,,,,,,,,
6133,올해 한국 영화가 해냈다! '엄복동-사자-봉오동-변신' 뷰티풀 라인업 이게 영화다!,,,,,,,,,,
6134,그냥..그닥..그래요기대안하고간게..그나마.ㅎ,,,,,,,,,,
6135,이 영화는 확실하게 무섭다.,,,,,,,,,,
6136,영화볼때 콜라 팝콘 조심하세요 ㅋㅋㅋ 시도때도없이 놀래켜요,,,,,,,,,,
6137,어우 무서워서 혼났네요.,,,,,,,,,,
6138,공포영화 자체가 많은 사람들의 호불호가 갈리는 영화이기 때문에 이 영화를 더 많은 사람이 볼 수 없다는 것이 아쉬울 뿐.,,,,,,,,,,
6139,박스오피스 1위갈만한듯 재밌던데,,,,,,,,,,
6140,재미있게 본 영화들 중 하나~ 영화 끝나고나니 아쉽더라구요.,,,,,,,,,,
6141,역시 김홍선 감독! 영화중간에 주위를 둘러봤는데 다들 얼굴을 손으로 가리고 손가락 사이로 영화보더라...아 진짜 나만 무서운게 아니였음...걍 무서운것도 있지만 심리적인것도...아놔...,,,,,,,,,,
6142,진짜 구라 안치고 변신할뻔,,,,,,,,,,
6143,클리셰 범벅. 검은 사제 두번 보는게 더 나아요,,,,,,,,,,
6144,초반부에 검은사제들 느낌나면서 좋았고 중반까지 가족이 변한다는 설정이 무섭고 소름돋았음 근데 후반에 의도한건진 모르겠지만 성동일이 큰딸 기절시킬라고 할때 관객들 다 웃음. 거기서  분위기 다깨지고 어줍잖은 신파는 왜...,,,,,,,,,,
6145,진심 32년 공포영화사상 최고,,,,,,,,,,
6146,와 진짜 심리적인 공포 제대로 느꼈다,,,,,,,,,,
6147,소름끼치는 역대급 공포영화임다,,,,,,,,,,
6148,변신 최고의 공포영화 인 듯합니다.,,,,,,,,,,
6149,그냥 보는내내 검은 사제들 곡성 섞어논듯한...,,,,,,,,,,
6150,별로다 우리나라영화 식으로 오컬트를 그렸는데 일단 기승전결이 넘 어색하다 진짜 별로....,,,,,,,,,,
6151,재밌었어요 ㅠㅠ 완전 긴장... 아닌척 하면서 봤지만 ㅎ배우들 연기가 정말 대단..,,,,,,,,,,
6152,오랜만에 신선한 공포물이엿음,,,,,,,,,,
6153,개무섭다눈물고임. ㅠ,,,,,,,,,,
6154,간만에 땀 삐질삐질 흘리면서 봣다....,,,,,,,,,,
6155,혼자 영화보러갔다가 마시던 아아 흩뿌릴뻔 ㅈㄴ무서워 ㅠㅠ,,,,,,,,,,
6156,결말 깔끔하고 처음부터 끝까지 긴장감 있어서 좋앗어여,,,,,,,,,,
6157,밤낮없이 무서운 영화.,,,,,,,,,,
6158,처음부터 끝까지 무서우면 반칙 아닌가요 ?,,,,,,,,,,
6159,전체적으로 너무 무섭고 ㅋㅋㅋ 재밌었던 영화!배우들 연기력 진짜 장난 없었는데 특히 이번에는 배성우씨 연기력에 감탄하고 갑니다..ㅠㅠ,,,,,,,,,,
6160,역대급 사제중이서 젤무서움,,,,,,,,,,
6161,간만에 심장 쫄깃한 느낌 받으면서 봤습니닷 ㅎㅎ 배우분들  각자 1인 2역 하셨는데 정말 잘하시네요 완전 멋짐 굳굳 성동일님이 젤 무섭.,,,,,,,,,,
6162,처음부터 하드코어!!간만에 비명좀 질렀네요~~그런데 그래서 현주는요????역시 명품배우캐스팅이라 다들 표정연기에 몰입도 대박요,,,,,,,,,,
6163,우리나라 영화 아닌줄.. 정말 잘만든 호러영화.,,,,,,,,,,
6164,무서운 영화 잘 못보는 분들은 보지 마시길... 보다가 무서워서 죽는줄 알았어요...눈 가리고 계속 실눈 뜨면서 본듯... 영화 러닝타임 내내 긴장의 연속이었습니다... 지금 새벽세신데 무서워서 불 키고 잘까 고민중...,,,,,,,,,,
6165,굉장히 무섭고 독특한 긴장감을 주는듯. 다른 영화보면서 이런 긴장감을 느껴본적이 없음.,,,,,,,,,,
6166,스릴있고 소름돋음 목욕탕 씬 개재미,,,,,,,,,,
6167,무섭고 슬프고 엄마,,,,,,,,,,
6168,배우들의 연기력이 내용의 개연성을 보완해주는 영화네여... 중간부턴 읭? 하는게 넘 많아요,,,,,,,,,,
6169,아무리 검은사제들 흉내내려해도 불가능이다배우의 연기력,,,,,,,,,,
6170,기 결결결 정말 흉내내려고 시나리오쓰다가 중간에 포기하고 마무리 급하게 쓴 느낌 평점 알바가 정말 많구나 새삼 느낌,,,,,,,,,,
6171,넘..소름 돌았음요ㅠㅠ...제일 사랑하고 믿었던 가족중에 한명이란게...누구하나 연기 구멍이 없었습니다,,,,,,,,,,
6172,집에 이상한일 생겼는데 왜 밖으로 나가지 않는가없어질때마다 악마로 바뀌는데 왜자꾸 개별행동하는가둘째를 왜 혼자 지하로 내려보내는가둘째를 아주손쉽게 죽여놓고 다른사람은 왜못죽이는가나는 이걸 왜봤는가,,,,,,,,,,
6173,재미있어요! 탄탄하게 잘 만든 영화인듯,,,,,,,,,,
6174,도깨비코스프레 공유따라잡기,,,,,,,,,,
6175,생각보단 그닥...스토리 라인이 약하다,,,,,,,,,,
6176,구라안치고 똥쌀뻔 했음 ㅠ,,,,,,,,,,
6177,중간까진 재미있는데 후반에 감독이 졸렸나봐요,,,,,,,,,,
6178,산으로가는공포영화ㅡ.ㅡ,,,,,,,,,,
6179,요즘 1위라고 해서 봤는데 ㄷㄷ이건 일단 보면 안다ㄷ,,,,,,,,,,
6180,이웃집 그 남자는 뭐임?ㅋㅋ 둘째는 주워온 자식인가; 진짜 황당해서 말도 안나옴 알바들 양심 없냐? 하긴 보지도 않고 싸지르는 것들인데 뭐; 6점짜리가 적당한 영화임 ㅇㅇ,,,,,,,,,,
6181,영화보는 내내 어이가 없어서 헛웃음이 나더라.. 올해 본 영화 중에 젤 별로,,,,,,,,,,
6182,백윤식 오대환은 왜 나온거야...이 영화는 감독의 무능력탓이다 우와,,,,,,,,,,
6183,B급영화 킬림타임용일뿐,,,,,,,,,,
6184,요즘 공포영화하면 사제영화찍는게 흐름인가..무서워서 놀라는게 아니라 시각,,,,,,,,,,
6185,취향저격. 한번 더보고 dvd나 블루레이 나오면 꼭 산다. 가족이야기와 호러를 이렇게 잘 섞다니.,,,,,,,,,,
6186,꼭 보세요! 이 영화보고 가족을 믿지 못하게 되었습니다..,,,,,,,,,,
6187,음식먹으며 관람불가 연기력짱 너무 무서워요,,,,,,,,,,
6188,대박이네 낼 친구들한테 꼭 보라해야지 와,,,,,,,,,,
6189,한국 오컬트중에 최고에요!!,,,,,,,,,,
6190,연기는 좋은데 내용이 겁나 억지고 전개가 개판인 영화 ㅋㅋㅋ백윤식 센세는 왜 나온거임??? ㅋㅋ,,,,,,,,,,
6191,평점 이따구로 줄래 클레멘타인 하나로 충분하다 이 악마같은 색기들아 이영화에 평점 3개이상 준놈들이 악마다,,,,,,,,,,
6192,놀래키는건 누구나 다 할수있다 자기가 좀 놀랬다고 잘만들었다 착각하는 사람은 진짜 멍청한거임 연출력은 드라마 엠 수준이고 또한 온 가족이 발암을 유발해서 공포심을 끌어내는데 정도가 심해서 보다가 지치더라 감독이 초보...,,,,,,,,,,
6193,1. 주연배우의 판단력이 원숭이 수준이라 감정이입이 불가능2. 어색한 발음으로 몰입도 저하시키고,,,,,,,,,,
6194,전형적인 b급 한국 스릴러 영화... 혹시나가 역시나.. 불쾌한 골짜기임 ㅇㅇ 알죠 돈주고 볼정도는 아니고 몇달뒤에 특선영화로 나올때 봐줄만한,,,,,,,,,,
6195,썸남썸녀끼리보세요.,,,,,,,,,,
6196,올해본 영화중 최악ㅋㅋ,,,,,,,,,,
6197,ㄹㅇ 처음으로 영화 보다 나감ㅋㅋ 개신기해 이렇게 ㄴㅈ인 영화는 처음이야 짜릿해 ?(???*)?,,,,,,,,,,
6198,0점은 못주나 ㅋㅋㅋ 진짜 부끄러운줄 알아라 이게 영화냐 참...,,,,,,,,,,
6199,일단 배우들이 하나같이 연기를 잘한다. 까마귀 조차도 잘한다. 진심. 개깜짝 여러번 놀랐다.,,,,,,,,,,
6200,진짜.. 보는내내 언제끝나나 했음  일단 신부님연기 두분다어색하고 장영남연기잘하는건인정 그외에는..  결말의 그 억지감동은  .. 할말하않  같은장르의사자의 반도반도 못따라옴,,,,,,,,,,
6201,초반은 진짜 ㅅㅂ 이걸 영화라고 만든 건가 했다 진짜 무섭지도 않고 그냥 깜짝깜짝 놀라게 해서 기분 되게 안 좋았는데 어느 순간을 기점으로 개쩔어서 오줌 지릴 뻔함. 결말을 위한 영화라고 생각하는데,,,,,,,,,,
6202,그저그저 그럼....굳이 엑소시즘 영화였어만 했나..ㅠㅠ 다르게 소화할 수 있었을 거 같은데 좀 억지스러운 장면들이 있다고 느꼈어요.,,,,,,,,,,
6203,믿고 보는 배우들의 열연에 전에는 볼 수 없었던 참신한 소재,,,,,,,,,,
6204,두번은 못볼거 같아요 ㅠ 너무 무섭고 메쓰꺼움 ㅠ ㅠ 그래도 아주 고퀄의 오컬트 스타일 영화... 하지만 이런 류의 영화는 보는 내내 지치고 힘들다는거...(물론 이 영화보다 힘든건 이글을 본 사람 모두 만수무강 드...,,,,,,,,,,
6205,재미없음 전개도 이상하고 걍 무서운장면 있어서봤지,,,,,,,,,,
6206,무서워서 화가 나는 영화는 처음..,,,,,,,,,,
6207,와.. 너무 무섭고 슬프고 생각을 하게 만드는 영화.. 영화보고 이렇게 평점주긴 처음.. 영화 정말 잘 만들었네요,,,,,,,,,,
6208,억지스런 엔딩 빼면 흠잡을데없는 공포영화.,,,,,,,,,,
6209,곡성삘 날것 같아서 긴장탔는데 무서웠던건 맞고 중간에 웃기기도 했음. 잘만들었음. 몰입감 최고임.,,,,,,,,,,
6210,마지막이 조금 아쉬웠지만 간만에 재미있게 본 공포영화입니다.,,,,,,,,,,
6211,우리나라에서 이런 퀄리티의 공포영화가 나오다니!,,,,,,,,,,
6212,무서워요ㅠㅠ재미있기두했어요 ㅎㅎ,,,,,,,,,,
6213,곤지암보다무서움. 추천합니다.,,,,,,,,,,
6214,진짜너무잘만든공포영화잠을못자게만듬...,,,,,,,,,,
6215,사바하나 사자는 비교도 안될 호러 명작.,,,,,,,,,,
6216,김홍선 감독 영화는 전반적으로 내타입이다. 다음 작품 기대해요~,,,,,,,,,,
6217,정말 두 번봤는데 볼수록 놀라운 영화. 단지 무섭기만 한게 아니다. 꼭 보세요.,,,,,,,,,,
6218,우리나라에서 이런 장르의 영화를 볼 수 있다는 자체가 감사하다. 꽤 잘 만든 영화와 이를 뒷받침하는 배우들의 연기가 일품. 극장에서 한 번 더 볼 예정.,,,,,,,,,,
6219,넋 놓고 완전 무섭게 잘봤습니다 ㅋㅋ 완전 강추,,,,,,,,,,
6220,처음 육성으로 소리를 나게 한 공포영화,,,,,,,,,,
6221,성동일 주방씬 예상했는데도 지림 .. 극장가서 보셔야됩니다,,,,,,,,,,
6222,그냥 볼때는 엄청 무섭기만 하다가 영화가 끝난 뒤에 소름이 돋는 경험을 한다,,,,,,,,,,
6223,이딴 쓰레기영화 돈주고 왜봤을까,,,,,,,,,,
6224,공포영화는 개연성이랑 스토리가 필요없다는건 무슨 소린지 모르겠다. 공포영화 특성상 공포랑 스토리를 둘다 잡을 수는 없지만 변신은 둘다 잡으려다가 애매해진 경우다. 그리고 영화 초반에 쓸데없이 동물시체에 보여주면서 갑...,,,,,,,,,,
6225,아 영화보는 내내 호달달  떨리는 내 다리와 팔을 부여잡느라ㅠㅠ  잘봤어요 대만족  스릴러!,,,,,,,,,,
6226,생각보다 휠씬 완성도있고 재미있네요 이런부류의 우리나라 영화중에는 개인적으로제일 잘 만든것 같습니다 !!,,,,,,,,,,
6227,엑소시즘 영화중 가장 잘만든지는 모르겠지만 오지게 무서웠다,,,,,,,,,,
6228,너무 무서워서 밤에 잠못잘듯.. 얼굴가리고 영화봣다.. 심장이 벌렁벌렁  다리가 떨리더라구요ㅠㅠ,,,,,,,,,,
6229,정말 무서워요 ....,,,,,,,,,,
6230,소름....이말밖에..,,,,,,,,,,
6231,긴장감 완전 대~~박 입니다.,,,,,,,,,,
6232,엑소시스트 한국판임.. 악마연기 아직도 소름돋는다극장에서 봐야할 영화. 추천합니다,,,,,,,,,,
6233,너무 무서웠어요.. 공포영화인줄도 모르고 혼자 보러갔다가 난리도 아니었네요... 중간에 나가는 사람도 많았고 저도 나가고싶은거 꾹 참고 귀막고 눈감고 봤어요ㅎㅎㅎㅎ 더위를 한방에 날려버리고 와서 좋아요 근데 무서워서...,,,,,,,,,,
6234,솔직히 이 영화는 완벽하진 않지만 꽤 괜찮다. 팔에 힘이 하나도 없어..,,,,,,,,,,
6235,19금 공포영화보다 무섭고 이 영화를 예매한 내 자신이 정말 원망스러울정도로 핵 무섭습니다 눈물찔끔 오줌찔끔ㅠ 콜라사갔는데 마실 틈도 없었어요,,,,,,,,,,
6236,재미없어~~~기승전결도전혀 맞지않고,,,,,,,,,,
6237,중반까지 10점 후반에 마이너스,,,,,,,,,,
6238,진짜 성동일 배성호 배우 때문에 봣음 초반에는 재미있었는데 필리핀 나오면서부터 본격 삼류 영화 스토리임 킬링타임용으로는 볼 만함,,,,,,,,,,
6239,무서워서 울애기 손 꼭잡고 봤다??,,,,,,,,,,
6240,심장이 쫄깃했어요너무 무서웠어요,,,,,,,,,,
6241,배우들에 비해 시나리오나 대본이 너무 어색한게 많다. 그냥 엑소시스트,,,,,,,,,,
6242,난재밌었다이제 인터넷평점도 못믿겠군,,,,,,,,,,
6243,평점 처음 쓰는데 그냥 재미없었음보고 나오면 내가 뭘 본거지..? 싶은 영화,,,,,,,,,,
6244,중간부터 3류느낌ㅡㅡ 잼있게 잘보고있었는데 둘째 다이하고나서 부터 핵노잼 저퀄 ㅡㅡ 백윤식왜나왔니ㅋ,,,,,,,,,,
6245,와진심 요몇년간 개봉한공포영화다봣는데영화보면서 소름돋는거처음...무서워서 소름이끼침...내인생공포영화다진짜,,,,,,,,,,
6246,저 손으로 가리고 봐서 그런대결말해석좀 해주세요ㅠㅠ..결말이 진짜 삼촌이 죽은거애요?가짜 삼촌이 죽은거에요?진짜 삼촌 차사고나서 쓰러져있었는데,,,,,,,,,,
6247,영화를 보고 느낀점은 둘째가 너무 불쌍하고 악마가 십자가 면역을 풀로 찍고 나와서 사기라고 느껴집니다,,,,,,,,,,
6248,장산범+ 검은 사제들임,,,,,,,,,,
6249,아...미치겠네 잠도 못자겠다..개인적으론 역대급입니다,,,,,,,,,,
6250,그냥 최고라는 말밖에 할 수가 없다. 둘째 죽을 때 소름...,,,,,,,,,,
6251,중후반까지 괜찮았는데 마지막이 끝내다 만 느낌 둘째는 주워온 자식인가요.. 아쉽아쉽,,,,,,,,,,
6252,와 너무하네....너무하는 영화..한편의코미디,,,,,,,,,,
6253,연출 아주 좋았음 근데 스토리 짠 사람은 뚜가패야됨,,,,,,,,,,
6254,검은사제들보다는 역동적,,,,,,,,,,
6255,덕선이가 보면 둘쨰라서 서럽다고 노발대발 할 영화...,,,,,,,,,,
6256,딱 백만짜리.. 감초는 감초일때 달달한법,,,,,,,,,,
6257,무서운거못보는데..두눈뜨고 봤고요..아..네...하...ㅋ,,,,,,,,,,
6258,소리가 겁나 크게크게 나서 놀랐슴다.. 4점이 딱 적당한 영화,,,,,,,,,,
6259,마지막이 아쉬웠지만 충분히 즐길만한 영화,,,,,,,,,,
6260,그냥 재밌음 올해 나온 공포영화중엔 젤 재밌던데..?,,,,,,,,,,
6261,내가봤던 공포영화중에 최고로 무서웠다..ㄷㄷ;이게바로 공포엉화지! 보는 내내 땀이 맺히더라,,,,,,,,,,
6262,누가 진짜고 누가 악마지? 연기자들 모두 연기 쵝오~,,,,,,,,,,
6263,와 영화 진짜 소름돋고 무섭다 성동일씨 연기 미쳤네요.. 계속 긴장하면서 봤어요,,,,,,,,,,
6264,배우들의 연기,,,,,,,,,,
6265,영화의 전개와 배우분들의 연기큰 아주 좋았는데... 마무리가 과연 이게 최선이었을지..,,,,,,,,,,
6266,기대안하고 봤는데 시간 가는 줄 몰랐음. 진짜 소재를 너무 잘살렸음.,,,,,,,,,,
6267,진짜 너무 재밌고 배우들 다 연기를 잘해서 보는 내내 지루하지 않았다. 후회없는 영화.,,,,,,,,,,
6268,코엑스에서 영화봄. 전체적으로 정말 잘빠진 영화같음. 영화시작부터 끝까지 흡입력있는 영화다. 김혜준? 연기 장난없네. 기대주.,,,,,,,,,,
6269,결말이 너무 슬퍼요...,,,,,,,,,,
6270,개꿀잼 꼭보셈 친구랑 봤는데 너무 잘 봤어요!!!고민없이 보세요~!,,,,,,,,,,
6271,연출과 각본이 소재의 신선함을 못받쳐주는느낌 이런작품은 스토리가탄탄하면서도 심리적으로 긴장감이느껴지게 해야되는데 스토리 개연성 전부 따로노는데다 공포영화라고 무섭긴해야하니 깜놀씬은 더럽게많아서 무섭지도않고 유치함 그...,,,,,,,,,,
6272,이 영화 상영시간 몇 분임? 시간이 너무 순식가에 지나감 ㅠㅜ,,,,,,,,,,
6273,진짜 말이필요없네요 최고! 요근래본것중에최고,,,,,,,,,,
6274,긴장감 정말 영화 내내 계속 유지하면서 끝까지 시간가는 줄도 모르고 봤네요. 평점 낮게 주신 분들 이유 보면 다들 개연성 이야기하시는데 공포영화에서 쓸데없는 개연성 찾다가 지루해지기 일상인데 애초에 공포영화에서 개연...,,,,,,,,,,
6275,둘째 너무 신경을 안써요.. 영화는 전반적으로 재밌습니다,,,,,,,,,,
6276,지금까지 구마 소재로 한 영화 많이 봤지만 배우분들 연기랑 영상때문에 더 심장내려앉았던 영화ㅜㅜ... 초가을 비 내리는 오늘 날씨때문에 더 오싹해짐ㅜㅜ..,,,,,,,,,,
6277,배우들이 아까운 영화사제 동생놈이 그냥 악의 근원이다 ㅋㅋ,,,,,,,,,,
6278,1.좋은 소재거리에 허접한 스토리 2.쓸데없는 미성년자 노출씬(샤워,,,,,,,,,,
6279,재밌다고 하는애들 댓글 알바생들.. 개연성 하나도 없고 영화라고 만든건지 모르겠음,,,,,,,,,,
6280,평점 한개도아깝고 노잼 역대급 노잼,,,,,,,,,,
6281,이거볼바엔 검은사제들을 한번 더 볼래,,,,,,,,,,
6282,노잼. 차라리 사자가 더 재밌음,,,,,,,,,,
6283,결말 보고 '레알 진심 이게 끝????' 이러면서 나옴... 주변 관객들도 다 물음표 백만개 달고 나가더라 중반까진 괜찮은데 그 후부턴 별로임 돈아깝고 돈주고 보지마세요 ㅠ,,,,,,,,,,
6284,나는 내 가족을 어디까지 믿을 수 있을까요?,,,,,,,,,,
6285,....할말하않 ...,,,,,,,,,,
6286,오랜만에 극장에서 본 공포영화였는데 재밌어서 다행이었어요  개연성이 좀 떨어지긴 해도 볼만 했어요,,,,,,,,,,
6287,평점 진짜 안맥이는데 이거 한국공포 역대급임 ㅋㅋ 우리 영화관은 보다가 뛰쳐나가는 사람도 있었음 ㅋㅋ 진짜 각오하고 보세요,,,,,,,,,,
6288,걍 지렸다 성동일 연기..ㄷㄷ,,,,,,,,,,
6289,무섭게 보고싶으면 그냥 멍때리면서 소리에 놀라는게 더빠를듯,,,,,,,,,,
6290,무서운건 좋은데 뭔가 연출이 투머치한 느낌... 이야기 개연성도 떨어지는 듯... 돈내고 볼만큼은 아니다,,,,,,,,,,
6291,그냥 동생 혼자 퇴마하고 나머지 가족은 모텔 달방이나 대실 잡아서 생활하면 되는데.. 진짜 답답해서 죽는줄 알았다,,,,,,,,,,
6292,나도 관객들도 다욕하면서 나왔습니딘네이버에 진짜 평점 알바가 있다는걸깨닫고 생전처음 평점 달아요,,,,,,,,,,
6293,완전별로...진짜뭔..내용이..,,,,,,,,,,
6294,와~ 별한개도 아깝다근래봤던 영화중에 최악,,,,,,,,,,
6295,장난하냐? 곡성? 0점 못줘서 1점 준다,,,,,,,,,,
6296,오마이갓.. 개연성 개똥... 징그런 ASMR땜에 움츠리고 봣다... 곡성이고 싶엇으나..곡성이지못한..,,,,,,,,,,
6297,애초에 집이 이상하다싶으면 나가면 되는거고 다같이 있으라하면 다같이 있으면 되는건데 어이도 없고 개연성도 없는 영화 배우들 연기는 좋지만 영화 자체가 이상한 영화 돈 낭비 하기 싫으면 보지 마세요,,,,,,,,,,
6298,평소에 엑소시즘 다루는 영화 즐겨 보시는 분들 실망이 굉장할 거예요,,,,,,,,,,
6299,한국 영화는 OCN에서만.,,,,,,,,,,
6300,1점도 아깝다 예고편 만든 사람상줘라 무십긴 커녕 몇몇 장면에선 심각한 부분인데  웃기기까지함 최악의 오컬트 무비라고생각함...연출 누군지 진짜..돈 이렇게 아까운영화 진짜 오랜만임기대가 커서 실망도 큼,,,,,,,,,,
6301,어디서부터 잤는지모르겠다,,,,,,,,,,
6302,영화 제목 바꾸자. 변신 -> 병..신난다!,,,,,,,,,,
6303,진짜 노잼; 영화비 아까움,,,,,,,,,,
6304,말도안되는 스토리란인전혀 공포스러움 없고 그렇다고 검은사제들같은 오컬트도 아니고의미도없고 무슨영화인지;...,,,,,,,,,,
