,content,,,,,,,,,,,,,,,,,
1698,상상초월 정신병자 집단을 보는듯...감독,,,,,,,,,,,,,,,,,
1699,뭘  말할려고 하는지 이해가 안간다  영상미만 좋은영화,,,,,,,,,,,,,,,,,
1700,이거 미성년자 관람불가인데 10대 만족도 6.60 뭐야 ㅋㅋ,,,,,,,,,,,,,,,,,
1701,신선한 연출의 한 여름 낮의 기괴한 스웨덴 축제.,,,,,,,,,,,,,,,,,
1702,대체 이 미친광이 영화는 뭐임?,,,,,,,,,,,,,,,,,
1703,신천지 스웨덴판인가?,,,,,,,,,,,,,,,,,
1704,OOOO들(정체불명) + 문화 상대주의,,,,,,,,,,,,,,,,,
1705,쓰레기 영화 누군가 이걸 본다고한다면 말리고싶다 최악의 영화 top3 들어감,,,,,,,,,,,,,,,,,
1706,이걸 왜봤을까 그냥 토나오는 영화,,,,,,,,,,,,,,,,,
1707,내가 지금 뭘본거냐 화나는데,,,,,,,,,,,,,,,,,
1708,영화화시도한 용기가 가상하다,,,,,,,,,,,,,,,,,
1709,딱히 광기도 아니고 어떤점이 이렇게 이영화가 주목받는지 모르겠다. 무섭지도 않고 그냥 러닝타임 길고 입맛버리는 영화,,,,,,,,,,,,,,,,,
1710,대체 무슨 약을먹고 이런 개싸이코 영화를 만드는거냐??,,,,,,,,,,,,,,,,,
1711,괴이하다.. 겟아웃 느낌의 공포랄까..,,,,,,,,,,,,,,,,,
1712,대체 이 병맛을 뭔 대가리로 이딴걸 만들었지? 쓰레기,,,,,,,,,,,,,,,,,
1713,Is this the Anglican Church?,,,,,,,,,,,,,,,,,
1714,개 잔인,,,,,,,,,,,,,,,,,
1715,보아하니 감독이 86년생이네 나이가 어려.영화내용이 이건 공포도 아니고 이상함 감독은 머이런 영화를만들었는지 이해 불가.오늘 tv에서 해주어서  무슨영화안가 해서 보았는데...여~~~엉 ㅡ.ㅡ무슨 알몸상태로 ...휴...,,,,,,,,,,,,,,,,,
1716,그냥 일루미나티영화..,,,,,,,,,,,,,,,,,
1717,구역질나는 영화 보는 내내 머리가 아픔,,,,,,,,,,,,,,,,,
1718,잘 봤습니다,,,,,,,,,,,,,,,,,
1719,보면서 유전이라는 영화와 비슷한 분위기다 했는데 같은 감독 작품이네,,,,,,,,,,,,,,,,,
1720,박평식 평가가 늘 나와 일치한다. 이 감독 영화는 항상 마지막이 ㅂ ㅅ 같다. 유전도 잘 나가다가 마지막이 겁나 짜증나서 미칠뻔,,,,,,,,,,,,,,,,,
1721,왜케 괴기한가햇더니유전감독이엿군 ㅡㅡㅋ음악또한 유전스럽군,,,,,,,,,,,,,,,,,
1722,이 영화는 여느 공포,,,,,,,,,,,,,,,,,
1723,걍 불쾌... 처음부터 영화가 불안에서 시작됨,,,,,,,,,,,,,,,,,
1724,,,,,,,,,,,,,,,,,,
1725,나 조차 이해할 수 없는 독특한 감정이 드는 영화,,,,,,,,,,,,,,,,,
1726,저푸른초원위에 샷건들고 다 테러 먹이고 싶네요,,,,,,,,,,,,,,,,,
1727,천국을 빙자한 지옥,,,,,,,,,,,,,,,,,
1728,무슨 장사꾼들이 이렇게 많아.,,,,,,,,,,,,,,,,,
1729,호흡이 긴 영화 그래서 보기 지침 고어하고 정신병 걸릴 것 같다는데 그 정도는 아님,,,,,,,,,,,,,,,,,
1730,스트라빈스키 봄의제전 생각남,,,,,,,,,,,,,,,,,
1731,만약에,,,,,,,,,,,,,,,,,
1732,정교하게 만들어진,,,,,,,,,,,,,,,,,
1733,그녀의 웃음은 어두운 지옥과 밝은 지옥의 중간사이일까?,,,,,,,,,,,,,,,,,
1734,유전'에서 감독을 알게되었고 '미드소마'에서 감독을 확실이 알게되었다. 영화를 본 후 머리가 너무 어지럽다. 약에 취하면 이런 느낌일까?,,,,,,,,,,,,,,,,,
1735,가족,,,,,,,,,,,,,,,,,
1736,여름의 자연풍경이 볼만했고 그에 대비되는 사람들의 기괴한 행위가 조화된 특색있는 영화.,,,,,,,,,,,,,,,,,
1737,보고 난 후기.. 찝찝함. 느낌 더러움,,,,,,,,,,,,,,,,,
1738,진짜 내용이 너무 이상....,,,,,,,,,,,,,,,,,
1739,유전은 어둡고 심장쫄리고 귀신안나오지만 무서운 공포영화라면 미드소마는 밝은 힐링영화에 고어와 사이비와 정신병을 곁들인 느낌.... 유전보다는 떡밥과 스토리텔링이 딸립니다. 개인적으로 아리에스터의 분위기를 너무 좋아해...,,,,,,,,,,,,,,,,,
1740,몇일동안  밥을 못 먹을 정도로 충격적이였음...  다이어트에는 짱임,,,,,,,,,,,,,,,,,
1741,꽤 공포고어 봤다고생각했는데 이런불쾌함까지는 못견디겠음 역겹고 더럽고 답답함,,,,,,,,,,,,,,,,,
1742,아무생각 없이 씹은 백설기가 물컹해서 보니 핏기 좔좔한 육회가 앙꼬로 있더라.,,,,,,,,,,,,,,,,,
1743,참 좋같은 영화네...OOOO 진짜 좋같네...,,,,,,,,,,,,,,,,,
1744,,,,,,,,,,,,,,,,,,
1745,햇빛 눈이 부신 날의 공포영활 봤니? 어두운 밤보다 더 심해. 작은 표정까지 숨길 수가 없잖아~,,,,,,,,,,,,,,,,,
1746,유전은 공포영화로서 손색이 없었는데 이건 뭐... 공포라 하기에는 무섭지않고 오컬트라 하기에는 좀 진부하고... 무엇보다 자극적인 영상만으로 끌고나간다는 느낌이 강했다. 자극적이고 아름다운 색채의 영상미만으로 쇼부볼...,,,,,,,,,,,,,,,,,
1747,플로랜스 퓨땜에 봤는데 기분나쁘고 꺼림찍한 영화임. 두번 다시 보기 시름..,,,,,,,,,,,,,,,,,
1748,스토리는 별거없다. 소름돋는 스토리를 기대하는 사람들은 많이 실망할것같다. 그래서 호불호도 극심할것같다. 이 감독의 전작인 유전을 보면서 이 감독만의 공포요소와 보는이의 멘탈을 점점 옥죄는 능력을 좋게본사람이면 좋아...,,,,,,,,,,,,,,,,,
1749,그냥 미친영환데 나도 미치는 것 같음,,,,,,,,,,,,,,,,,
1750,스웨덴 뿐 아니라 세계전역의 하지축제는 인신공양의 전통.잘 만든 영화는 아냐.감독의 연출은 둔탁하고 베드씬 (!)은 쓴 웃음이.,,,,,,,,,,,,,,,,,
1751,지금 보고있는데 정신병걸릴것같다. 기괴하다 기과해,,,,,,,,,,,,,,,,,
1752,기괴하다 기괴해,,,,,,,,,,,,,,,,,
1753,,,,,,,,,,,,,,,,,,
1754,심리스릴러 정신적 충격,,,,,,,,,,,,,,,,,
1755,현시대의 위커맨. 갑자기 어디 놀라가자는 친구가 무섭네. ㅋ,,,,,,,,,,,,,,,,,
1756,어둡게 포장된 여주인공의 현실...VS(스웨덴 산 특제뽕 빨고 난뒤...)포장지를 벗긴 밝은 무의식무의식의 승!,,,,,,,,,,,,,,,,,
1757,사교와 전통으로 포장된 살인면허. 그들에게 살인은 축제의 일부분일뿐...,,,,,,,,,,,,,,,,,
1758,연인과 가족과 스승님과 함께 보아야 할 영화!  대낮에 별 미친놈들이 벌이는 액션 활극!,,,,,,,,,,,,,,,,,
1759,내 스펙트럼이 좁아 머리가 못따라가는건지 솔직히 뭐라 말해야 할지모르겠다..그냥 재수없고 기분나쁘고 죽이고 싶었다 근데 또 끝까지는 봤다...이게 감독의도인건가..,,,,,,,,,,,,,,,,,
1760,천국이야 지옥이야 그건 누가 정해^^,,,,,,,,,,,,,,,,,
1761,,,,,,,,,,,,,,,,,,
1762,이상한 정신세계를 가진 사람들의 축제보고나서 찝찝함이 오래 가네요,,,,,,,,,,,,,,,,,
1763,보면서 유전 생각했는데 그 감독이구나... 고어적인 면에서 병맛스러움을 기준으로 평점 줌,,,,,,,,,,,,,,,,,
1764,스토리가 거의 전부 나의 예상대로 흘러갔다편견 없이 아무생각 아무 감정 없이 봐서편견없이 그냥 1시간 40여분이 흘러갔다뭐 나름의 의미는 없다고는 할 수 없으나,,,,,,,,,,,,,,,,,
1765,진짜 하나도 안무섭다 그냥 잔혹드라마 유전이랑은 전혀 다른 전개 너무 재미없어서 잠들었다,,,,,,,,,,,,,,,,,
1766,,,,,,,,,,,,,,,,,,
1767,,,,,,,,,,,,,,,,,,
1768,,,,,,,,,,,,,,,,,,
1769,,,,,,,,,,,,,,,,,,
1770,감독 이전작 보다는 부족한,,,,,,,,,,,,,,,,,
1771,영상미,,,,,,,,,,,,,,,,,
1772,아 영화 세계의 다양성 측면에서는 좋은 것 같은데 속 안 좋아짐.,,,,,,,,,,,,,,,,,
1773,신천지 사이비들 비슷한 호르가  ㅡ어우 소름끼친다,,,,,,,,,,,,,,,,,
1774,"진정한 공감의 의미를 일깨우는 공포의 ""킬링""캠프",,,,,,,,,,,,,,,,,
1775,아 갠적으로 발암영화유전? 이거만든 감독 영화 앞으로 안보고싶다재미를 떠나서 신선한데 짜증이 너무 났다,,,,,,,,,,,,,,,,,
1776,신선한 충격....실제로 어느 소수부족에게는 있을법한..,,,,,,,,,,,,,,,,,
1777,스타일이나 호흡보단 진부함의 문제.,,,,,,,,,,,,,,,,,
1778,신음 에바임;;,,,,,,,,,,,,,,,,,
1779,이영화보고 그동안 잠잠하던 두통이 재발했네요,,,,,,,,,,,,,,,,,
1780,그냥 사이비 종교 영화야 옛날 오대양 사건 같은거 광신도들이 신을 섬기는 그런거,,,,,,,,,,,,,,,,,
1781,상처가 덧난거 같은데 웃고있다,,,,,,,,,,,,,,,,,
1782,논문 쓰기가 죽도록 힘들다는 말의 스웨덴식 표현.,,,,,,,,,,,,,,,,,
1783,어둠은 숨길수 없는 밝은 장소의 공포. 마지막 장면에서의 표정이 개인적으로 제일 무서웠음.,,,,,,,,,,,,,,,,,
1784,메세지가 뭐죠..?...ㅡ,,,,,,,,,,,,,,,,,
1785,이렇게 밝은 고어물은 처음 봤다... 배우들 정말 대단하다... 이거 어떻게 찍은거냐....,,,,,,,,,,,,,,,,,
1786,성질급한 사람은 보다가 속터지겠다ㅋㅋㅋ,,,,,,,,,,,,,,,,,
1787,섬짓한 대낮의 공포! 이정도면 레전즈급,,,,,,,,,,,,,,,,,
1788,밝아서 더 무서웠다 감독이 천재인듯,,,,,,,,,,,,,,,,,
1789,대니는 어쩌다 평범한 마을주민1이된거임 대니도 나도 영문을모르겠음,,,,,,,,,,,,,,,,,
1790,뭐 하나 속시원히 보여주는게 없달까 ㅜ,,,,,,,,,,,,,,,,,
1791,이게 무섭고 잔인하면 좀비물은 어케보니 차라리 슬프더라 마지막은 유쾌상쾌통쾌,,,,,,,,,,,,,,,,,
1792,,,,,,,,,,,,,,,,,,
1793,굉장히 ... 음 뭐라고 말해야될지 어려운 영화인것같아요. 유전을 너무 잘 봐서 선택한 영화였는데.. 유전처럼 명확하지도 않고,,,,,,,,,,,,,,,,,
1794,밝은 분위기의 지옥을 표현한 영화. 넘겨가면서 봐도 지루했음. 멘탈이 강한분만 보세요.,,,,,,,,,,,,,,,,,
1795,,,,,,,,,,,,,,,,,,
1796,포스터보고 평점보고 기대하고봤는데 씨발 OO 무섭긴 지루하고 웃겨 OOO줄 알았다,,,,,,,,,,,,,,,,,
1797,가족같은 분위기 라는 곳은 걸러야 하는 이유,,,,,,,,,,,,,,,,,
1798,정신이 혼미해진다,,,,,,,,,,,,,,,,,
1799,밝아서 별로 무섭지는 않았지만 징그럽고 끔찍하네요ㅠㅠ 역시 사람이 제일 무서움ㅠㅠ,,,,,,,,,,,,,,,,,
1800,스토리도 획기적이고 주인공  여자의 심리를 너무 잘표현한거 같아요,,,,,,,,,,,,,,,,,
1801,유령따윈 없었다. 오직 사람들밖에...,,,,,,,,,,,,,,,,,
1802,"알바 아니고 방금 봤는데 그냥 미쳤다 이거는...보는 내내 딱 한단어만 떠오름 ""싸이코패스""",,,,,,,,,,,,,,,,,
1803,컬트영화.난해함. 기이함. 공포영화로 보면 참신한 소재와 포맷.본 후 많이 찜찜함.,,,,,,,,,,,,,,,,,
1804,내가 본 영화중에 제일이상한 영화이구 영화를 보구나서 영화의 잔상이 없어지지가 않는다 공포영화라고 볼수도 없으나 공포영화가 아니라고할수도 없다 괜히보았다고 생각이들때도 있으나  이영화는 무슨환각같은 영화다 영화를 보...,,,,,,,,,,,,,,,,,
1805,솔직히 지루하고 뭔가 싶었지만,,,,,,,,,,,,,,,,,
1806,잼있다고해서 봤는데 별로..사이비종교 영화보는듯..드라마 구해줘 보다 잼없슴,,,,,,,,,,,,,,,,,
1807,진짜 어이없어서 10점 고어 여행가서 당하는거 시리즈 좋아하면 추천..욕 나옴.,,,,,,,,,,,,,,,,,
1808,선사시대에는 정말이지 이렇게도 생활했을 듯하다. 하지만 공포스럽진 않다.,,,,,,,,,,,,,,,,,
1809,아리 에스터.. 기어코 벗어날 수 없는 절망을 다시 한번 보여주는구나. 이 감독 영화는 허튼 기대는 집어치우고 봐야 조금은 덜 옥죄어 올려나..,,,,,,,,,,,,,,,,,
1810,ㅋㅋㅋ 스웨덴친구 사귈수 있겠냐는 댓글보고 웃고가용 영화는 머리아픔,,,,,,,,,,,,,,,,,
1811,다음 영화가 기대된다.,,,,,,,,,,,,,,,,,
1812,아,,,,,,,,,,,,,,,,,
1813,그냥 충격적  근데 유전보다 잼없음 결말도그렇고,,,,,,,,,,,,,,,,,
1814,몰몬교가 생각난다... ㅠ,,,,,,,,,,,,,,,,,
1815,,,,,,,,,,,,,,,,,,
1816,멀미나는 영화,,,,,,,,,,,,,,,,,
1817,생각보다 쎄네 연출은 괜찮다,,,,,,,,,,,,,,,,,
1818,곡성 이후로 이렇게 기빨리고 기분 더러운영화는 첨인듯,,,,,,,,,,,,,,,,,
1819,잔인한 것도 있었지만 그만큼의 의무와 복종을 어떻게 만들어내는지 보여줬다고 본다. 이에 맞지 않는 사람은 곧 지옥행인거고...,,,,,,,,,,,,,,,,,
1820,유전은 트라우마미드소마는 음...,,,,,,,,,,,,,,,,,
1821,이걸 몇점 줘야되지...이런 장르는 참 볼때마다 생소해서..세상에는 참 여러 사람과 집단이 있는듯..,,,,,,,,,,,,,,,,,
1822,어째 어째 이상하다 싶더만 참나 망치들고 갈때 알아봤어야 했는데,,,,,,,,,,,,,,,,,
1823,심오한 의미를 해석하지 않고 영화흘러가는데로 따라간다면 즐길만함,,,,,,,,,,,,,,,,,
1824,마지막 여주의 미소는 뭘 의미할까?!,,,,,,,,,,,,,,,,,
1825,유전과는 다르게 미드소마는 진정한 악은 인간의 정신적인 것으로부터 있다는 그런건가? 개인보다는 단체의 신념이 무섭고 기괴했다.,,,,,,,,,,,,,,,,,
1826,취향차이를 존중합니다. 하지만 전 재밌었습니다.ㅠㅠ,,,,,,,,,,,,,,,,,
1827,이렇게 기분 나쁜 영화는 오랜만이다...,,,,,,,,,,,,,,,,,
1828,외부인들의 핏줄을 원해서 저렇게 꾀어냈다고?,,,,,,,,,,,,,,,,,
1829,찝찝하게 기분나쁜 아름다움,,,,,,,,,,,,,,,,,
1830,고장난 마음이 폐쇄적 시스템에 동화되는 과정. 시종일관 불안한 음악과 고어 사체장면으로  주입하는 세뇌. 73년작 the wickerman에 대한 오마쥬,,,,,,,,,,,,,,,,,
1831,감독판 보면 달라지려나..전작 유전보단 못했지만 분위기는 좋았고 브금은 소름끼쳤음,,,,,,,,,,,,,,,,,
1832,평소 기괴하거나 고어한것도 좋아하긴 한데 내용이 너무 산만하고 복선이나 의미부여가 부족했던 영화같습니다,,,,,,,,,,,,,,,,,
1833,와~~ 아무나 못만드는 영화 ...,,,,,,,,,,,,,,,,,
1834,외국 공포는 하여간 이해할 수 없다니까...,,,,,,,,,,,,,,,,,
1835,왜케 평점 높은거임?개 x발 속 쓰리고 토할거같고영화보며 셀프 고문당한 기분이다진짜 아OO 카악~~~~퉤!!,,,,,,,,,,,,,,,,,
1836,유전을 보고 난 후 이 감독의 미드소마 또한 기대치가 높았지만제 기대는 완전히 박살 났습니다.너무 재미 없습니다.결론적으로는 사이비 집단의 외부인 인권 유린 현장!심각한 범죄 현장을 기괴함으로 밝게 포장한 영화..최...,,,,,,,,,,,,,,,,,
1837,2시간반이 전혀 지루하지가 않았다 광신도 영화 중에 최고봉으로 꼽고 싶은 작품. 기존 영화와는 색다르고 신선한 느낌,,,,,,,,,,,,,,,,,
1838,가끔씩 이런류의 영화가 나오는데 나쁘지는 않다. 신비로운 미지의 문명과 아름다운 자연환경.. 하지만 그게 끝이다. 모든걸 대책없이 관객에게 넘겨버리는 마무리 못하는 영화중 하나.,,,,,,,,,,,,,,,,,
1839,이 영화의 파국도 B급 영화 '킬리스트'의 그것은 넘어서지 못 했다.,,,,,,,,,,,,,,,,,
1840,고어한게 나오긴 하지만 공포영화라기에는 애매함.. 공포감보다는 기분잡치는영화가 딱 이영화보고 말하는듯.   시원시원한 기분도 안주고 그저 그냥 기분 찝찝하게 만듬,,,,,,,,,,,,,,,,,
1841,사이비 종교를 믿으면 안되는 이유,,,,,,,,,,,,,,,,,
1842,유전땜에 너무 기대를 많이했나... 서스페리아가 더 재밌네요 ㅠ,,,,,,,,,,,,,,,,,
1843,이제 토마토 못믿겠네ㅋㅋ,,,,,,,,,,,,,,,,,
1844,믿는 자여,,,,,,,,,,,,,,,,,
1845,꽃이 이렇게 소름끼쳐보이긴 처음..나약해진 인간이 위로로 인하여 비틀어진 사이비집단에 어떻게 동화되어가는가를보여줌. 크리스티안 이름은 크리스트교에서 따온것이라함,,,,,,,,,,,,,,,,,
1846,영화  향수를 보는듯한 느낌을 받았다 안봤으면 더 좋았으걸,,,,,,,,,,,,,,,,,
1847,이런류 좋아하시면 마터스:천국을 보는눈 프랑스 판 보세요 .한 3일 잠 안옵니다.미드소마 볼만은 하네요. 중간에 지루해서 빠르게 돌려봤음 약쟁이 영화같아요. 보는 나도 제정신이 아니게됨,,,,,,,,,,,,,,,,,
1848,도무지 이해하기힘든 변주곡!!무슨말을 하고 싶은거지~~,,,,,,,,,,,,,,,,,
1849,영화는 참 잔잔하게 흘러가는대,,,,,,,,,,,,,,,,,
1850,이영화는 나에겐 공감받지 못한 개인의 아픔에대한 위로같이 느껴진다.,,,,,,,,,,,,,,,,,
1851,유전 재밌어서 여러번 본 사람인데 이런 기분 드럽고 찝찝하고 기괴한 영화 만드는 건 이 감독이 짱인듯 ㅋㅋ 극호 극불호로 갈릴거같다....그래도 난 좋았음 ㅋㅋ,,,,,,,,,,,,,,,,,
1852,정신 나갈것같다...,,,,,,,,,,,,,,,,,
1853,개독이나 이거나 뭐나 종교들은 다 미틴것들...,,,,,,,,,,,,,,,,,
1854,이 감독이 유전 감독했던 사람이었구만..,,,,,,,,,,,,,,,,,
1855,유란시아서 귀신조상 달래기 의식 영화시작하고 10분도 안되서 감이오더라 . 유전 결말부분 유란시아서 의식을 미드소마는 2시간 넘게 보여주는 영화,,,,,,,,,,,,,,,,,
1856,19금 다큐 연출은 굿 스토리 진부,,,,,,,,,,,,,,,,,
1857,이해하기는 힘들지만 감독은 인정,,,,,,,,,,,,,,,,,
1858,흥미롭다 . 볼수록 빠져드는 내용 . 감독판도 개봉했으면,,,,,,,,,,,,,,,,,
1859,웃으면서 사람 죽이는 건 세계공통이네,,,,,,,,,,,,,,,,,
1860,축제와 종교사이,,,,,,,,,,,,,,,,,
1861,ㄱ금세기최고의킹갓띵힐링영화,,,,,,,,,,,,,,,,,
1862,배드신때 진짜 웃음참다가 죽을뻔 별생각 다했어요,,,,,,,,,,,,,,,,,
1863,영화를 보는데 정신병 걸릴 거 같음영화보고 나오자마자 어지럽고 대가리 아프고나도 저렇게 된 느낌임,,,,,,,,,,,,,,,,,
1864,상영관이 적어서 겨우겨우 봤네요 ㅠㅠㅠ 개인적으로는 유전이 좀 더 재밌었던 것같아요. 뭔가 세계체험 프로그램에서  본  부시맨들이  의미심장하게 제물의식 하던걸 스웨덴 풍으로  보는 느낌? 그래도 늘어지는 분위기지만...,,,,,,,,,,,,,,,,,
1865,정성 드려 만들었으나 만든 이의 속을 알 수 없는,,,,,,,,,,,,,,,,,
1866,Midsommar...,,,,,,,,,,,,,,,,,
1867,데드캠프 패밀리가 이곳으로....,,,,,,,,,,,,,,,,,
1868,친구 잘사귀여야한다는걸 또 한번 깨달음 ㅋㅋ,,,,,,,,,,,,,,,,,
1869,그들이 떠나는 순례의 목표가 그런것이란 말인가 !,,,,,,,,,,,,,,,,,
1870,음.... 10자이상,,,,,,,,,,,,,,,,,
1871,자기최면적 종교의 역설. 누구에게는 절대적이나,,,,,,,,,,,,,,,,,
1872,여주 상처 극복기 ...,,,,,,,,,,,,,,,,,
1873,남는것은 엉덩이뿐...,,,,,,,,,,,,,,,,,
1874,멀미심한사람 보지마세요..,,,,,,,,,,,,,,,,,
1875,확실히 말할 수 있어요. 공포영화 아니예요.,,,,,,,,,,,,,,,,,
1876,그냥 일반적 공포 아님. 기분나쁜 귀신영화 느낌 아니고 감독의 상처든 경험이 녹아들어있음. 아름답고 신선했음  하지만 기괴해서 불호 많을듯,,,,,,,,,,,,,,,,,
1877,궁금해서 계속 보게되긴 하는데 무슨 뜻인지를 전혀 안 알려주네...,,,,,,,,,,,,,,,,,
1878,못만든 영화는 아니다.그런 세계와 생각을 갖은 사람들이 있을거란 생각도 든다.뭐랄까 장황하고 명확하지 않다.,,,,,,,,,,,,,,,,,
1879,여자친구 히스테리 다받아주고 결국 여자친구 한테 죽는 영화,,,,,,,,,,,,,,,,,
1880,보지마 그냥 뭘 10글자를 쓰래 시옷비읍 두개로 끝내기도 과분한 영환데,,,,,,,,,,,,,,,,,
1881,영화에 대해 이런 저런 해석을 하지만 불~쉿이다. 분명 어릴적에 몰래 고어물을 숨어 즐겼을 감독이 창조해낸,,,,,,,,,,,,,,,,,
1882,남의 환락파티를 왜 보고있어야하는지...내 두시간 반 어쩔거야ㅠ,,,,,,,,,,,,,,,,,
1883,개인이 미치면 정신병이지만 집단을 미치게 만드는 건 종교라는 걸 극단적인 방식으로 보여주는 기괴한 걸작.,,,,,,,,,,,,,,,,,
1884,감동은 없지만 여러의미로 인생영화,,,,,,,,,,,,,,,,,
1885,굉장히 역겨웠고요 이런거는 혼자 만들어서 혼자 보세요.,,,,,,,,,,,,,,,,,
1886,아무 정보 없이 봤는데 어쩐지… 유전 감독이었구나… 둘다 참 묘하게 불쾌한데 이런걸 정말 절묘하게 그 선의 마지노선까지 표현하는 감독인 것 같다. 조금만 더 과해지면 안볼거 같은데 정말 딱 그 수준의 한계선까지만 옴...,,,,,,,,,,,,,,,,,
1887,고어 취향은 아니라 내가지금 뭘 본 거지..? 했지만 감독의 연출이 너무나 신선함. 주인공시점 힐링캠프로 영화를 봤음.,,,,,,,,,,,,,,,,,
1888,최고의 힐링영화,,,,,,,,,,,,,,,,,
1889,밝은 대낮에도 공포를 주는 영화라고 포인트를 잡아 홍보를 하시던데 어느 장면에서 공포를 느껴야하는 지 모르겠습니다. 제발 제가 기대했던 그 공포를 느낄 수 있게 해주세요~!! 기대만 하고 있는데 갑자기 영화가 끝나버...,,,,,,,,,,,,,,,,,
1890,감동은 없었다 그냥 사람유인해서 차례대로 죽이는 내용 내용도 좀 더럽 두시간넘게 모함,,,,,,,,,,,,,,,,,
1891,이 영화는 관객의 기분을 더럽게 만듭니다. 그게 감독의 의도라면 대성공이네요.,,,,,,,,,,,,,,,,,
1892,개인적으로 공포 장르중 이런 류의 영화가 취향임 감독이 어떠한 이야기를 하고 싶은지 대놓고 드러내서 좋기도 했지만 이런 점은 호불호가 갈릴 것 같음 연출과 편집이 압도적인 건 대부분이 인정할듯,,,,,,,,,,,,,,,,,
1893,내가멀본건가싶은 영화....,,,,,,,,,,,,,,,,,
1894,공포영화라고 해서 봤는데 대체 무서운 장면 언제 나오나 하다가 끝나고 자막 올라갈 때 그냥 어이가 없어서 웃음 ㅋㅋㅋㅋ,,,,,,,,,,,,,,,,,
1895,무섭지도 않고 기분만 찝찝함,,,,,,,,,,,,,,,,,
1896,다른 공포 영화네 비해 독보적으로 밝은 분위기 속에서 느껴지는 공포감이 좋았다.,,,,,,,,,,,,,,,,,
1897,한 세번은 다시 돌려본듯. 확실히 재밌는 소재를 호러스럽게 잘 풀어냈다고 생각 됨.,,,,,,,,,,,,,,,,,
1898,최악,,,,,,,,,,,,,,,,,
1899,흠 기괴해서 좋았어요,,,,,,,,,,,,,,,,,
1900,원수한테 추천해주고 싶은 영화 No.1' - 가족 잃은 트라우마 있으신 분은 절대로 보지마세요,,,,,,,,,,,,,,,,,
1901,역겨움 보지마라,,,,,,,,,,,,,,,,,
1902,공포영화의 한 획을 그은 명작중 명작이다. 당신이 메세지를 볼수만 있으면,,,,,,,,,,,,,,,,,
1903,정말 진심 이걸 돈주고 봤다면,,,,,,,,,,,,,,,,,
1904,이딴걸영화로 만들었냐 입에서 쌍욕나온다  ss l bb ㅏ,,,,,,,,,,,,,,,,,
1905,역겨움… 속이 안좋아짐,,,,,,,,,,,,,,,,,
1906,분명 아름답고 따뜻한 풍경에,,,,,,,,,,,,,,,,,
1907,좋아요~!!!추천 유전 재미있게 보신분 추천!추천!,,,,,,,,,,,,,,,,,
1908,불편하고 전혀 대중적이지 않고 이해하고 싶지도 않다.,,,,,,,,,,,,,,,,,
1909,정말.. 정신 이상올것같은 영화ㅠ,,,,,,,,,,,,,,,,,
1910,아 시바 다 모르겠고 나 웬만한거 다 보는데 이거는 보다가 토할뻔함.,,,,,,,,,,,,,,,,,
1911,"사이비 비판하는 의도로 영화 만든거면 볼만.사이비 사기꾼이 쓰는 수법 참 많이 보여준다 생각하면서 봄. 근데 영화가 전체적으로 기분 나쁨. 관람자들한테 ""자! 여기가 불편해할 타이밍입니다!""라고 외치는...",,,,,,,,,,,,,,,,,
1912,시청각 효과가 볼만했으나 그것 뿐이다. 좋은 평가를 주기엔 부족한 작품. 고어,,,,,,,,,,,,,,,,,
1913,구역질나는이런 영화 돈 들여 왜 만듬?공감도 재미도 전혀 없고,,,,,,,,,,,,,,,,,
1914,보고 매우 기분나쁘고 시간 아까움,,,,,,,,,,,,,,,,,
1915,무서운걸로 치면 10점이긴한데 이게 참 찝찝하고 더럽고 그런느낌이라서 높은점수는 못주겠고 ; 도데체 감독은 이런거는 왜만드는거냐??,,,,,,,,,,,,,,,,,
1916,보면 암 걸리는 영화였다 그 점에서는 최고였다,,,,,,,,,,,,,,,,,
1917,그냥 사이비종교에 빠진 남녀들~!!,,,,,,,,,,,,,,,,,
1918,어떤 방식인지보다 중요한 것은 마음이 통하는 사람들과 장소이다. 어떤 방식인지는 결국 마음이 통하면 받아들이게 될 것. 대니처럼.,,,,,,,,,,,,,,,,,
1919,이게뭔 개ㅆㅇㅋ같은 영화야,,,,,,,,,,,,,,,,,
1920,본인이 이성,,,,,,,,,,,,,,,,,
1921,애초에 고어 + 기괴함 다루는 영화들이 보고나서 기분 X같으라고 만드는 영화 장르인데 보고나서 기분 X같다고 평점 1점 주는건 뭐냐... 애초에 그냥 장르가 그런거야 ㅋㅋㅋ,,,,,,,,,,,,,,,,,
1922,진짜 내인생에 최고의 쓰레기영화 내용도없도 하고자하는뜻도없고 그냥 개사이비종교영화 스웨덴이 싫어질정도의 쓰레기영화,,,,,,,,,,,,,,,,,
1923,그냥 역겹다 한마디로...,,,,,,,,,,,,,,,,,
1924,정말 재미있습니다. 안 보면 평생 후회합니다. 꼭 보세요. 최고의 영화.!,,,,,,,,,,,,,,,,,
1925,생리혈 주소 X털 빵 다시 생각만 해도 역겹고 토나온다,,,,,,,,,,,,,,,,,
1926,여운이 아주 오래 남음. 영화 해석글 보는것도 재밌음,,,,,,,,,,,,,,,,,
1927,털밖에 생각안나요..,,,,,,,,,,,,,,,,,
1928,최악 진짜 토나올 듯처음 두 노인 떨어졌을때 왜 몰래라도 탈출안하는지핸드폰이 안되는곳도 아닌데 구조요청 신고등을 왜 안하는지 이해가안감,,,,,,,,,,,,,,,,,
