,content,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
2145,넘버원 흠 잡을 데가 없는 완벽한 영화.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2146,만점 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2147,볼만했다ㅋㅋㅋㅋ앞부분이 너무 지루했어...ㅋㅋ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2148,상상력의 힘을 보여주는 스토리 구성에 감탄하고 놀랐습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2149,재미 있어요.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2150,멋지다 진짜 다시금 해석해볼수 있었던 좋은기회,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2151,액션과 뜻이 제대로 담겨있어서 최고엿다!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2152,충격과 공포였다!!!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2153,철학이있다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2154,왜 우리는 지금 워쇼스키에 실망하는가. 그것은 이 영화가 있었기 때문이다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2155,모든것이 완벽. 압도적 위대함.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2156,저하늘에 별이라도 따서 붙이고 싶다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2157,말로서 표현이 안될 심오함.. 대사 하나하나가 모두 깊은 뜻이 담겨있다..,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2158,말이 필요없다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2159,최고죠 정말ㅎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2160,내가 나의생각들이 모두 만들어진거란 생각을하니 소름이 돋았다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2161,뒷통수를 한 대 세게 맞은 느낌이랄까? 매트릭스는 sf영화의 한 분기점이다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2162,sf 액션 영화가 어떻게 만들어 져야 하는지를 보여주는 교과서.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2163,처음볼때는 화려한 액션,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2164,아...... 최고의 영화 말이 필요 없는 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2165,역시.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2166,매트릭스 신화의 시작...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2167,있으나 없고.......없으나 있다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2168,영화감독이 꿈인 나..솔직히이런작품생각이나해보고 죽을까 걱정된다 -_-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2169,내 생각의 한계를 보여준... 새로운 시각을 준 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2170,많이들 아는구나..ㅋ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171,한번보고 말면 재미있는영화(이해못해서)계속 생각하면 대단한 가치있는 혁명같은영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2172,한마디로 지금껏 가상세계를 다룬 SF 영화들의 패러다임을 통째로 바꿔버린 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2173,새로운 세상을 만들어낸 the matrix..... 당신들에게 무한한 찬사를 보낸다..,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2174,최고~최고~~,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2175,이영화를 단순이 시각적으로 즐기지마라. 인생의 관점을 바꿔놓은 영화이다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2176,최고의 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2177,영화 best 5 엔 꼭들 영화. 10년전에 본 영화지만 지금도 그때 느낀 스릴이 남아있다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2178,최고,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2179,가상의 미래에 대한 영화중 단연 넘버원 입니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2180,ㄷㄷㄷ 이걸 어케 만들었노 ㄷㄷㄷ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2181,솔찍히 이거 안본사람은 꼭 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2182,최고의 명작 이건 말이 필요없다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2183,말이 필요 없다...ㅠ_ㅠ 최고! 10번 더 봤음...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2184,불후의 명작,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2185,왜 이제야봤지 나 정말 ㅋㅋㅋ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2186,SF액션 간지 폭발!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2187,꼭 봐야할 최고의 영화! 보면볼수록 이영화가 담고있는 깊은 철학과 세계관에 놀람,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2188,진짜 최고다ㅋㅋ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2189,릴리의 의식의 중심이라는 책에 나온다 두명의 가이드가,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2190,내가 상상했던 그 이상을 보았다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2191,진정으로 최고다..,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2192,평점을 깍자는 사람들은 자기 영화 홍보하려는 알바들인가,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2193,최고의 스토리,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2194,SF의 한획을 그은 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2195,최고,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2196,지구상 모든영화중에 시나리오는 최고라고 할수있다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2197,좋다 다만 약간 난해할뿐,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2198,나참 너무 재밋군,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2199,시간 쪼개서라도 봐야하는 명작,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200,창작의 한계를 뛰어넘은 영화. 모든 제작진,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2201,이해한사람은 안다 이 영화가 얼마나 훌륭한 영화인지,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2202,1999년에 만들어 진게 더욱 놀랍다... 그 개념을 그시대에 어떻게 이해할수 있었지..,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203,근대 영화의 한획을 그엇다해도 과언이 아닌 최고의명작..,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2204,최고의 영화 중에 하나,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2205,언제 2위까지 올라갔냐 ~_~! 암튼 1위해도 과언이아닌 영화다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,영화체널에서 한번만 더보고싶다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2207,당신이 눈만 돌리니 뇌가 동작하지 않는 것,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208,말이 필요한가?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2209,각본쓴 작가의 상상력이 놀라울 따름...최고임!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,몇번을 봐도 각본상 흠잡을데가 전혀없다.... 액션이 부족하긴 해도,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2211,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2212,매트릭스 최고!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2213,이건 셋트로 봐야 제 맛! 처음부터 끝까지 흐트러지지 않는 일관성이 좋았어요~,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2214,이건 봐도봐도 재밌어요,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2215,두말이 필요없는 내생에 최고의 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2216,아이디어가 소름끼칠정도로 좋았던.. !,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2217,더 이상의 영화는 없음!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2218,처음 볼때 충격이었어요 대단한 연출력 내용 등등,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2219,그저그런 볼거리에만 치중한 액션영화와는 다른..,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2220,말그대로 혁신을 이루어낸 영화지요 !,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2221,ㅋㅋ10월3일,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2222,매트릭스라는 새로운 세계에서 액션과 함께 호흡하는 그 느낌,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2223,이건 정말 젠장할정도로 멋진영화죠,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2224,우주 역사상 가장 뛰어난 작품,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2225,보고나면 소름이 돋는 영화 중간중간 짜릿한 기분이 드는 영화중 최고의 명작!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2226,볼 때마다 전율을 느낀다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2227,인간이라면 꼭 봐야할 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2228,어렵다.복잡하다.하지만 멋있다.ㅋ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2229,영화사는 매트릭스 전후로 나누어진다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2230,혁명이란 제목은 이 1편에 붙여야 한다고 본다. 정말 그 당시 혁신적이었던 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2231,심오한영화..,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2232,재밌다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2233,처음 봤을때 어안이 벙벙했던 영화.네오가 부활후 막강해져 스미스격퇴 압권,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2234,모든 영화는 매트릭스 이전의 영화와 매트릭스 이후의 영화 그 두가지로 나눌수 있다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2235,충격 그차체..,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2236,매트릭스 = 혁명,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2237,포스 철철~,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2238,말이 필요없는 영화입니다. 추천.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2239,굳 !,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2240,작자는 so crazy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2241,내가 사는곳도 가상세계가 아닐까 착각이 들정도로 깊이 빠져들었던 영화!!!!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2242,이미 SF의 전설~,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2243,수많은 아류와 패러디를 낳았던 최고의 명작~,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2244,짱먹는영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2245,최고의 시리즈라 불리만한 작품..,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2246,SF의 최고봉~~~ SF의 혁명!!!1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2247,the MATRIX has you...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248,무슨말이 더이상 필요하단말인가? 최고!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2249,전설!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2250,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2251,닥치고 봐.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2252,SF레전드의 그 화려한 서막.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2253,다른 말이 필요없다 최고!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254,이영화 세대인사람은 알꺼다.역화 역사상 속편이 가장 기다려졌던 유일한 작품.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2255,최고의 SF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2256,OCN에서 다시봐도 재미있는 영화! 참 잘만든 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2257,재미와 작품성 둘다 잡았다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2258,터미네이터2와함께 sf의 양대산맥,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2259,볼 때마다 새로운 영화. 최고의 SF 액션 영화!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2260,최고,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2261,솔직히 CGV채널 에서 봤는데 터미네이터 4보다 잼있다......,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262,굳,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2263,2009 년 ! 지금봐도 재밌다 !,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2264,흠잡을 때 없는 최고의 SF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2265,볼수록 새로움을 발견하는 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2266,기대하고 봤는데 기대만큼은..... 내용이 너무 난해하다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2267,최고의 SF영화!! 심오한 철학이 있는 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2268,1탄은 SF 계의 보물이다. 나머지 시리즈는 좀...ㅡㅡ;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2269,내용 알고 다시봐도 질리지 않는영화!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2270,파생되는 철학적 담론은 차치하고서라도 액션,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2271,그냥 최고다 !!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2272,이런 상상을 그떄 누가 해냈을까....,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2273,영화를 좀 더 이해하려면 2번 이상 봐야한다. 흠잡을 데가 없는 영화.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2274,최고의 영화중 하나,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2275,재밌는데~!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2276,다시봐도잼씀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2277,스토리,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2278,보기전엔 10년전 영화라는것에 놀랐고 보고나서는 10년전 영화라는것이 믿기지 않는다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2279,와 .. 진짜 말이필요없는영홥니다 .. 진짜추천,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2280,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2281,메트릭스 시리즈 중에서 가장 재미있었다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2282,애니 공각기동대의 영향을 받은 영화. 난 이런 독특한 세계관을 가진 영화가 좋다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2283,부모님의 추천으로 본 매트릭스 나에겐 충격적이였다. 그러나 열광했다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2284,언제봐도 재밋음,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2285,진짜잼씀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2286,1편이 가장 재밌었는듯. 후속작 나오면서 이상해져가 ㅠㅠ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2287,놀라운 영화 지금봐도 세련되고 신선하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2288,10년이나된 지금도 신선한 시나리오,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2289,masterpiece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2290,미치지............느껴라 메세지를,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2291,최고의 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2292,깨작보고판단하는 인간들은..애니매트릭스까지 다보고 쫙 이해해봐라 얼마나 훌륭한지,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2293,혁명,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2294,대체뭐가지루하다는건지모르겠군지금도tv에서나오면여김없이채널을못돌리고보고있는나,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2295,이건 진짜 대박이다. 초3때봤었는데 그땐뭔내용인지도 몰랐다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2296,WOW!!!!!!!!!!!!!!!!!!!!!!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2297,내용을 완벽히 이해하긴 어렵지만 다시보니 어느정도 이해가고 액션도 있고,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2298,10년이 지난 지금 다시봐도 온몸에 전율이.....,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2299,안 봣으면 말을 마세요~,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300,내용을 제대로 알면 ㅎㄷㄷ이고 잘 모르면 ㅂㅅ처럼 재미없다함 걍 말을 하지마셈,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2301,난사 총격전 장면 진짜 질리지가 않아요. 손에 땀을 쥐게 하고...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2302,<트루먼 쇼>와 (공각기동대>를 합쳐놓은 독특한 소재,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2303,기발한 상상력이 압권.. 영화 제작시기엔 가히 신선한 충격이라 할 만했다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2304,말이 필요없다. 아직도 이만한 영화가 없으니..,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2305,워쇼스키 브라더 이감독이만든영화는 다 짱이죠,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2306,내용알고보니까 짱이다...ㅋ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2307,천재다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2308,이게 99년 영화라는 것에서 경악,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309,말도 안되는 개소리를 현재 네티즌들에게 주입시키려는 멍청한 dbdmswl4의 개소리,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2310,몇번 봤는지 모릅니다..,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2311,헉 벌써 10년전!?!?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2312,아진짜 한여름에 제대로ㅠㅠ 이 감동 40자따위로 표현 불가합니다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2313,정말 짱 ㅋㅋ 내 생애 최고의 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2314,10년전 영화지만 지금 영화와도 별반다를것이 없는 신선함!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2315,Very good!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2316,굿,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2317,현란한액션. 하지만그게 전부가 아니다. 그속에 담긴 철학.. 봐도봐도 질리지 않는다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2318,대단한 발상,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2319,화려한 액션속에 숨겨진 어렵고 깊이 있는 철학,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2320,상상 그 이상을 보여주는 영화...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2321,시리즈 점수 총합 만점. 볼때마다 새로운 점을 발견하는 영화.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2322,10년동안 수십번을 봐왔고,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2323,당시엔 좀 색다른 느낌.. 하지만 시르즈 전체를 볼때 최고인영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2324,불교를,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2325,영화 전체를 이해하기엔 너무도 어렵다. 볼수록 새로운 영화...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2326,최고였지,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2327,명성그대로,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2328,대학교때 보고 너무 좋아다는..,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2329,보고 또 봐도 손색이 없다~. 조금 유치하긴 해도 ㅋㅋ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2330,내용이 쫌 어렵고 지루했다...하지만 액션하나만큼은 짱먹어라..나에겐 2가최고였다..,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2331,하여튼..... 시간 가는줄 몰랐따,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2332,이영화가 99년작이라는 것이 놀라울따름이다-_-;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2333,새롭다라는것에 만점을 주고 싶다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2334,정말 말이 필요 없는 영화라는 말에 동감,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2335,말이 필요없는 영화다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2336,지금 우리나라에서는 빨간약을 먹어도 파란약을 먹어도 살기 더럽다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2337,이영화는 sf 철학영화의 진수를 보여줍니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2338,볼만하네요 ㅎㅎㅎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2339,이정도영상과이펙트와 그리고 옛날인데도 이정도라면...매트릭스시리즈는....신적,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2340,상상력만으로도 충분한 가치가 있는 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2341,내 생애 최고의 영화 다섯 작품 중 하나.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2342,짱,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2343,전 이정도..,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2344,보통 영화는 1편이 재미없는 경우가 많은데 이건 1편부터 재밌다-2007/?/?-H,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2345,사람이 만들었다기엔 너무나 완벽한 영화!!! 혹시,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2346,SF재패니메이션과 오우삼식 액션의 흥미로운 혼혈아.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2347,언제바두 재미잇음,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2348,충격적. 하지만 슈퍼히어로물이 되버린 후속편 때문에 빛이 바란.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2349,sf액션의 전설,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2350,난 술을 마시고 지하철에서 네오와 모피어스를 찾았다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2351,아주 훌륭한 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2352,10년이 지나도 현재 영화들보다 100배 남,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2353,밀레니엄의 대미를 장식한 충격적인 시나리오의 영화.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2354,ㅜㅜㅜㅜ  오늘봤는데 ..  그야말로 최고의영화!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2355,굿,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2356,최고다.. 최고 액션영화에 이런 완벽한 스토리가 ㅠ.ㅠ 디워는 한참 멀었다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2357,당시의 혁명이요 센세이였으나 이제는 역사가될 대작 기꺼이 10점준다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2358,1편은 액션,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2359,오,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2360,10대가 38퍼라..평점을 연령별로 나눠라. 뭣도 모르는 애들 평점글 보기 싫다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2361,감독의 머리를 의심하게 만든영화.시대를 앞서갈뿐만아니라 시대를 만들었다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2362,상상 이상의 것...20년,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2363,패러디가 많을 수 밖에 없는 영화!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2364,이것이 바로 최고가 아니겠는가,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2365,실재에 대한 흥미로운 성찰과 완전한 자기 주체성을 가진자의 현란한 테크노,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2366,생애 최고의 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2367,무슨말이 꼭 필요하겠습니까???   바로~ 이맛 아닙니까? ^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2368,무슨 말이 필요하겠어,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2369,내 생애 최고의 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2370,생애 최고의 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2371,신선한 충격이었던 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2372,봐도봐도 질리지가 않아. 10년후에 봐도 마찬가지일듯.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2373,많은걸 담은 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374,매트릭스 이 영화 한 편으로 SF 액션 영화는 진화했다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2375,최고다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2376,재가 가장좋아하는 액션영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2377,매트릭스 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378,greatjjj1/////////이해가 도저이 안가는 1인...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2379,내생의 최고의 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2380,ㅋㅋㅋㅋ 진짜 최고인영화.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2381,오래된 영화지만 지금봐도 잼있는 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2382,머....그런대로.볼만하네요..,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2383,당연히 십점!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2384,10점이다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2385,보고보고 또봐도 질리지 않는 영화. 대단한 영화.  별 10개를 주고싶은 심정이다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2386,어떻게이런상상을할까..,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2387,평소에 하던 상상이었는데 정말 소름끼치게 잘 만들었다. 것도 저예산으로,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2388,최고다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2389,이제야 봤다..,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2390,철학적인 내용과 함께 멋진 액션의 영화 이런영화 또없나 ㅜ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2391,당분간 다시 나오지 못할 명작,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2392,인간이 인간답기 위해 싸운 인간다운 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2393,개쩔어..,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2394,더 설명이 필요없는 영화. 후속작과 관계없이,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2395,당신이 알고 있는 진실이란거... 바로 그 진실이 정말로 존재하는가?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2396,이건 영화가 아니다.. 이건 철학이다 !!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2397,기억난다 벌써 10년된 영화지만 너무나 재미있게보앗던 이영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2398,길이길이 남을 영화사에 혁명.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2399,키아누리브스 네오같이 인상에 강렬하게남는 캐릭터는 더이상 못할듯 .... 대박임,,,,,,,,,,,,,,,,,,,,,,,,,,,,
