,content,,,,,,,,,,,,,,,,
4062,3분의 2는 지리멸렬 각본은 구멍투성이 배우는 오함지졸 결말은 간교함의 승리.,,,,,,,,,,,,,,,,
4063,답답한 오프닝에 쓸데없이 삽입된 눈물샘. 뻔한 전개,,,,,,,,,,,,,,,,
4064,격리되지 못한 그들의 선택은 퇴행적 행동양식을 수반한다.,,,,,,,,,,,,,,,,
4065,시작부터 암걸리겠네허어,,,,,,,,,,,,,,,,
4066,그냥 감독만 보고 보는 영화..,,,,,,,,,,,,,,,,
4067,단 하나 ,,,,,,,,,,,,,,,,
4068,음...크리처도 좋았고 잔인하긴 한테 전작같은 공포감은 좀 덜한듯.,,,,,,,,,,,,,,,,
4069,아무리 그래도 포자보다 작은 크기의 기생충이 유전자 변이를 그렇게 빠르게 일으킨다는 게 좀 심했다 싶긴 했다... 설정이라지만...,,,,,,,,,,,,,,,,
4070,결론. 인공지능은 위험하다.,,,,,,,,,,,,,,,,
4071,에일리언 개ㅡ새키 데이비드 OOO세키,,,,,,,,,,,,,,,,
4072,음 괜찮게 만들긴 했는데 프로메테우스에선 그래도 기존의 에어리언 시리즈를 벗어났다 생각했는데 바로 후속작이 이런식이면 다음편 제작해도 결국 오락용sf 에어리언 시리즈에서 크게 벗어나지 않은 식상한게 나올듯싶다.,,,,,,,,,,,,,,,,
4073,완성된 하나의 시리즈를 점점 발전시키는 것이 얼마나 대단한것인지..,,,,,,,,,,,,,,,,
4074,기대에 배반한 줄거리지만  격조와 품위있는 연출력은 정말 리들리스콧이 최고다.,,,,,,,,,,,,,,,,
4075,반전에 반전을 계속 넣으려니까 힘들지? ㅋㅋㅋ 인공지능은 머리를 나쁜쪽에 쓰더라,,,,,,,,,,,,,,,,
4076,처음부터 너무 질질 짜대니까 볼 맛 안나네...,,,,,,,,,,,,,,,,
4077,기존의 뻔한 스토리치곤 색다른 시도라 좋았다. 스스로 생각하는 ai의 위험성.. 데이빗을 창조한 인간,,,,,,,,,,,,,,,,
4078,오~로 시작해서 음..으로 끝나는 영화.. 스토리가 뻔하고 탄탄한 느낌을 받지 못했다,,,,,,,,,,,,,,,,
4079,데이빗의 마음이 이해가 가던ㅋ 에일리언 넘 이쁘잖아,,,,,,,,,,,,,,,,
4080,호기심이 세상을 바꾸기도 하지만 재앙을 불러올 수도 있다.,,,,,,,,,,,,,,,,
4081,cg 특수효과는 만점이지만 스토리가 어정쩡 하다일단 개연성이 떨어진다. 1탄 경우는 납득이 갔는데 2탄은 산으로 가는 스토리임,,,,,,,,,,,,,,,,
4082,데이빗이 칼든걸 보지말껄....반전이뻔하자나,,,,,,,,,,,,,,,,
4083,프로메테우스때만 해도 데이빗이 이정도까지ㅆ싸이코는 아니었는데 괴수영화에서 너무 싸이코 스릴러물로 변질되서 아쉬웠음 제목을 데이빗 커버넌트로 하는게..,,,,,,,,,,,,,,,,
4084,분위기 잡고 낚시질만 하고있다... 에이리언2 의 강한 한방이 보고싶단말야!,,,,,,,,,,,,,,,,
4085,sf영화치고 제일현실적인영화. 지구에사는것도 감사히여기고 지구밖으로 절대 신호같은거보내지말고 다른행성 개척할생각도말자. 무습다무수와ㅜㅜ,,,,,,,,,,,,,,,,
4086,프로메테우스보단 덜 하지만 재밌다,,,,,,,,,,,,,,,,
4087,에어리언이 더욱 리얼해서 좋았음. 프로메테우스 완전한 후속이 아닌점이 아쉽다. 후속 이어서 만들고 있다니 기대!!,,,,,,,,,,,,,,,,
4088,전작과 크게 이어지는 부분이 없는 듯,,,,,,,,,,,,,,,,
4089,넘 잼있었어요 전작과 연결 되면서 언제 에얼리언이 될지 모르는 그긴장감이란ㅋ~~,,,,,,,,,,,,,,,,
4090,프로메테우스 보고 보면  볼만합니다...전 괜찮던데..,,,,,,,,,,,,,,,,
4091,와~ 진짜 대박. 단순 스릴러물이 아니다. 소름 돋을 정도로 깊고 재밌다,,,,,,,,,,,,,,,,
4092,창조물과 피창조물....그 흐름에 에일리언을 !!! 캬!!!!  기가막힌다.,,,,,,,,,,,,,,,,
4093,전작들의 신선한같은면에선 많이 부족하긴했지만 짝퉁만보다 오랫만에 제대로된 sf호러물보고온거같음 특히 스콧할배의 연출력이랑 패스벤더연기에소름제대로돋음ㄷㄷ,,,,,,,,,,,,,,,,
4094,[2017-5-17/18:30] 피조물은 피조물을 만든다.,,,,,,,,,,,,,,,,
4095,에이리언은 전형적인 크리쳐물이고 프로메테우스는 크리쳐물 요소가 있는 SF적인 느낌이 강한데 커버넌트는 거의 에이리언 프리퀄에 가깝게 보임. 커버넌트가 프로메테우스 후속작이라기보단 에이리언의 프리퀄 sf 버젼,,,,,,,,,,,,,,,,
4096,임팩트는부족했지만 공포영화로써 연출은 좋았음,,,,,,,,,,,,,,,,
4097,전작에 비하면 그닥 인상적이지 못했다. 전편 프로메테우스는 충격 그 자체였기에 커버넌트를 기대하고 봤는데 실망이 컸음. 그래도 전편의 유기적인 개연성에 대해서는 칭찬할 만하다. 잔인하고 허무하고 어둡다. H.R.기거...,,,,,,,,,,,,,,,,
4098,생각했던벗보다별로였음,,,,,,,,,,,,,,,,
4099,에일리언이 정말 그곳에 있는것 같다. 배경과 에일리언을 한컷에 자연스럽게 잡아서 정말로 사진으로만 보던 기린이나 코끼리를 동물원에서 보는것 같은? 눈 앞에 있지만 위화감과 경외감이 드는 그런 묘한기분? 때문에 영등위...,,,,,,,,,,,,,,,,
4100,워낙  좋아하는 쟝르라서....후편을 위한 배려가 너무 노골적이라...,,,,,,,,,,,,,,,,
4101,킬링타임용으로 쓸만함,,,,,,,,,,,,,,,,
4102,후속작이 더욱 기대된다,,,,,,,,,,,,,,,,
4103,아직 프리퀄시리즈가 더 나와야한다고는 하는데 너무 궁금하게 만들도 떡밥이 더 커짐...또한 그 사이 공백에서 일어난 사건을 보여주지 않는게 아쉬움,,,,,,,,,,,,,,,,
4104,재밌어요. 전작에 비하면 실망이지만...,,,,,,,,,,,,,,,,
4105,에이리언 시리즈 변질입니다~~다른시리즈와의 연결고리라니,,,,,,,,,,,,,,,,
4106,제목을 데이빗의 복수로 바꾸길.,,,,,,,,,,,,,,,,
4107,이걸 15세로 때린건 도대체,,,,,,,,,,,,,,,,
4108,so so 그 이상도 그 이하도 아닌 그냥 킬링타임용,,,,,,,,,,,,,,,,
4109,기대없이 봐서 볼만했음.,,,,,,,,,,,,,,,,
4110,볼만합니다. 진정한 에일리언1 편의 프리퀄. 오마쥬가 넘쳐납니다.,,,,,,,,,,,,,,,,
4111,최근 가장 볼만했던 영화,,,,,,,,,,,,,,,,
4112,그새끼 그럴줄 알았다. 불쌍한 인간들... 불쌍한 엔지니어들...,,,,,,,,,,,,,,,,
4113,프로메테우스에 이어...더 무서워진 에이리언.,,,,,,,,,,,,,,,,
4114,전편 보고가니 더 재밌었어요,,,,,,,,,,,,,,,,
4115,프로메테우스의 빛이 너구 강하게 드리워서 기를 못쓴득.,,,,,,,,,,,,,,,,
4116,전편 프로메테우스에 약간의 실망을느끼고 우정으로 보러갔는데 뭐 그럭저럭 선방했네요...,,,,,,,,,,,,,,,,
4117,떡밥은 그만...떡밥 무느라 너무 피곤하다,,,,,,,,,,,,,,,,
4118,생각보다좀 별루였습니다,,,,,,,,,,,,,,,,
4119,에일리언 탄생과 기원이 궁금하다면 추천.,,,,,,,,,,,,,,,,
4120,에이리언1+2+프로메테우스=커버넌트시리즈의 추억,,,,,,,,,,,,,,,,
4121,한국 영등위는 대체... 영화는 재밌었으나 난 1,,,,,,,,,,,,,,,,
4122,너무 재미있게 보았다 빨리 후속작이 나왔으면 좋겠다,,,,,,,,,,,,,,,,
4123,무섭다. 잔인하다. 으힝.,,,,,,,,,,,,,,,,
4124,너무 재밌었습니다.. 크~~~,,,,,,,,,,,,,,,,
4125,기다린만큼의 기대를 채우진 못했지만 볼만은 했다,,,,,,,,,,,,,,,,
4126,이번엔 데이빗이 다했다,,,,,,,,,,,,,,,,
4127,그럭저럭 심심풀이로 볼만한 연화,,,,,,,,,,,,,,,,
4128,3편을 위해 일단 9점!,,,,,,,,,,,,,,,,
4129,흥미진진함이 약간 떨어짐,,,,,,,,,,,,,,,,
4130,코미디와 리얼한 영화의  재미있는 조합이  돋보였습니다.,,,,,,,,,,,,,,,,
4131,꾸우우웅우울잼ㅎㅎㅎ,,,,,,,,,,,,,,,,
4132,역시 리들리스콧. 따봉,,,,,,,,,,,,,,,,
4133,괜찮은것 같아요.스케일도 괜찮고 영상미도 있고,,,,,,,,,,,,,,,,
4134,볼만은 했으나 마무리가 아쉬웠음,,,,,,,,,,,,,,,,
4135,시고니위버의 에일리언을 생각 하고 갔다가 폭망..  영상은 좋아 보이긴 하지만 긴장감은 제로..,,,,,,,,,,,,,,,,
4136,더 무서웠어야하지않을까,,,,,,,,,,,,,,,,
4137,에어리언 시리즈는언제 끝날것인가..,,,,,,,,,,,,,,,,
4138,대팔이와함께하는 신나는 우주여행,,,,,,,,,,,,,,,,
4139,지루하지 않고 긴장감 있고 재미있었습니다,,,,,,,,,,,,,,,,
4140,에이리언 시리즈를 너무 좋아해서 기대를 많이 했는데,,,,,,,,,,,,,,,,
4141,완벽한 부활은 아니었다,,,,,,,,,,,,,,,,
4142,괜찮았습니다. 프로메테우스를 보셨다면 추천합니다,,,,,,,,,,,,,,,,
4143,잠자는데 새가슴 부위가 간질간질 해진다,,,,,,,,,,,,,,,,
4144,너무잼잇네용 ㅎㅎㅎㅎ,,,,,,,,,,,,,,,,
4145,기대만큼의 에얼리언 영화,,,,,,,,,,,,,,,,
4146,비현실적인 일을 현실적으로 잘 표현한 수작,,,,,,,,,,,,,,,,
4147,별로임여임여임여임여,,,,,,,,,,,,,,,,
4148,감독이름값으로 본 영화  볼만은하지만 추천은 하기싫은 영화,,,,,,,,,,,,,,,,
4149,이제서야 에일리언이 완성되는 기분. 그렇지만 참신하거나 놀랍지는 않다. 프로메테우스에 이어지지만 아직 설명이 부족한 부분도 있고.,,,,,,,,,,,,,,,,
4150,망작은 아니지만 명작은 아닌....,,,,,,,,,,,,,,,,
4151,그래서 결국은  알파고가,,,,,,,,,,,,,,,,
4152,너무 징그럽지만 계속 보게 되는..,,,,,,,,,,,,,,,,
4153,무서운것보다 기습공격에 깜짝깜짝 놀랐어요 에이리언은 역시 1편이 갑,,,,,,,,,,,,,,,,
4154,볼만했어요~~ 조금 지루하긴 했지만~~,,,,,,,,,,,,,,,,
4155,재밌었어요ㅎㅎㅎ호하,,,,,,,,,,,,,,,,
4156,너무잔인해서 거북했어요 ㅠㅠ,,,,,,,,,,,,,,,,
4157,프로메테우스를 거쳐 점점 에일리언 1편에 근접해가고있다 시리즈 부할의 좋은 예,,,,,,,,,,,,,,,,
4158,모든것에는 순서가 있다..,,,,,,,,,,,,,,,,
4159,무서운 로봇... 상상력 짱!,,,,,,,,,,,,,,,,
4160,다음 시즌이 기대됩니다..빨리 나왔으면...,,,,,,,,,,,,,,,,
4161,재밋었어요!다음편도 기대되네요,,,,,,,,,,,,,,,,
4162,15세 같지 않은 15세!! 긴장감 넘치네요 전작과 이어진 스토리에서 여러가지 재미를 주었어요,,,,,,,,,,,,,,,,
4163,그냥저냥 킬링타임용으로는 적당,,,,,,,,,,,,,,,,
4164,청불이 아닌게 이해되지 않았지만 정말 재밌었던 영화 긴장감 만땅,,,,,,,,,,,,,,,,
4165,인공지능 사이보그의 교훈,,,,,,,,,,,,,,,,
4166,여자주인공이 정말 존멋이였어,,,,,,,,,,,,,,,,
4167,내평점 관람객 창작하는 데이빗 정말 두렵다.알파고 생각이 문득 듦.시리즈를 1편부터 리메이크해야할듯.프로메테우스와 자연스런 연결이 가장 좋았음,,,,,,,,,,,,,,,,
4168,그냥 적당한 시나리오 눈요기는 되고  애매해,,,,,,,,,,,,,,,,
4169,very fun!!!! i wanna watch agian soon,,,,,,,,,,,,,,,,
4170,주인공은 데이빗? 반전은 예상가능범위,,,,,,,,,,,,,,,,
4171,이게 15세...영등위 제 정신??,,,,,,,,,,,,,,,,
4172,뭔가 다음편을 보기위해 희생을 해야하는 느낌이였어요,,,,,,,,,,,,,,,,
4173,에이리언 시리즈물에 흥미가 많아서 보긴봤는데,,,,,,,,,,,,,,,,
4174,^^..^^..^^..,,,,,,,,,,,,,,,,
4175,깜박이는 켜고 들어오는 분위기 조성으로 놀라는 장면 나오기 전에 자세를 고치면서 봤습니다.,,,,,,,,,,,,,,,,
4176,여전히 재밋게 보는 데이빗!!,,,,,,,,,,,,,,,,
4177,프로메테우스가 개인적으론 더나음,,,,,,,,,,,,,,,,
4178,리들리스콧 감독님 장수하세요~,,,,,,,,,,,,,,,,
4179,솔직히 실망...보는 재미는 있었는데 너무 억지설정이었음. 반전이라 할것도 없고,,,,,,,,,,,,,,,,
4180,액션이 조금 떨어지는편,,,,,,,,,,,,,,,,
4181,오ㅓㄴ전히진자 개꿀잼입니다처음 꿀잼,,,,,,,,,,,,,,,,
4182,설마했던 반전까지,,,,,,,,,,,,,,,,
4183,초등학교 때 에일리언 보고 잠도 못자고 충격 먹은뒤로 너무 재밌고 외계인을 좋아하는 터라 봤는데 조금 실망스럽네요,,,,,,,,,,,,,,,,
4184,기대이상으로 재밌었던 영화강추!!시간가는줄 몰랐어요 ㅎㅎㅎ,,,,,,,,,,,,,,,,
4185,아주 쇼킹한 영화네요. 15세기준 수위도 높고... 볼만합니다.,,,,,,,,,,,,,,,,
4186,역시 리들리 감독님 영화.... 공포만 있는 것은 아니다. 서사와 심오함이 있어서 더욱 흥미로웠다. 후속편이 기대되는데... 프로메테우스와 커버넌트 사이 시점을 다룬다던데... 순서를 좀 맞췄으면 하는 바람이다.,,,,,,,,,,,,,,,,
4187,쫄깃하니 볼만 합니다. 반전아닌 반전도 있지만요,,,,,,,,,,,,,,,,
4188,심야로봤는데 꿀잼!! 그날피곤해서 졸다가봤는데 중간중간 잠이확깸,,,,,,,,,,,,,,,,
4189,잼씀니더. 징그럽지만,,,,,,,,,,,,,,,,
4190,광할하고 멋찐 우주의 느낌 신비한 먼가는 아녓지만 그런데로 ㅡㅡ전편들을 능가할수 없덩가ㅜㅜ,,,,,,,,,,,,,,,,
4191,영화 재미있게 봤습니다,,,,,,,,,,,,,,,,
4192,재미있었어요  프로메테우스보다는  조금  아쉬운것 같아요,,,,,,,,,,,,,,,,
4193,전편을 보고 기대했다면 다음편을 더 기대하는게 좋을것 같음,,,,,,,,,,,,,,,,
4194,잘자 그리고 좋은꿈 꿔 난 못 꿈,,,,,,,,,,,,,,,,
4195,떡밥만 뿌려놓긴했지만 다음편을기대할만함,,,,,,,,,,,,,,,,
4196,명불허전 역시.에이리언~~ㅎㄷㄷ,,,,,,,,,,,,,,,,
4197,모든 우주생물 씨를 로봇이말릴각!,,,,,,,,,,,,,,,,
4198,잘 봤습니다~~  1탄에비해  스릴감은  좀 떨어졌지만 요,,,,,,,,,,,,,,,,
4199,기대를 너무많이 하고 봐서인지 조금은 지루한감이 있었네요 그래도 항상 기대하게 되는 시리즈라는건 부정할수 없는듯  ^^,,,,,,,,,,,,,,,,
4200,리들리 스콧은 정말 명장이다. 이런 장르 영화의 탑클래스 작품을 계속 만들어 줬으면. 오래 사세요.,,,,,,,,,,,,,,,,
4201,너뮤 재밌었어요..또 보고싶습니다,,,,,,,,,,,,,,,,
4202,잘봤습니다 에일리언 시리즈가 새로탄생,,,,,,,,,,,,,,,,
4203,예상 가능한 결말이었지만.. 짜임새있었음.,,,,,,,,,,,,,,,,
4204,아주 좋다. 허나 뭘 어떻게봐도 15세 라기엔 ...,,,,,,,,,,,,,,,,
4205,카인과 아벨의 싸움. 에일리언보다 더 무서운 색히...,,,,,,,,,,,,,,,,
4206,너므재밋음 옛날거다시보는중,,,,,,,,,,,,,,,,
4207,뻔한 반전 빼고는 무난했던 영화,,,,,,,,,,,,,,,,
4208,재밌게봤어욤 크흑흡ㅎㅎ,,,,,,,,,,,,,,,,
4209,재밌음!! 에이리언 징그러움..,,,,,,,,,,,,,,,,
4210,생각보다 볼만함 담 시리즈기대됨,,,,,,,,,,,,,,,,
4211,흥행을 의식한 자극적인 연출 도 스캇의 작품은 다르다.,,,,,,,,,,,,,,,,
4212,잼ㅆ엇어요 마니머니마니,,,,,,,,,,,,,,,,
4213,종교계에 심한반발을일으킬수도있는 엄청난명작,,,,,,,,,,,,,,,,
4214,아직 안 보신 분 지금이라도 보시길,,,,,,,,,,,,,,,,
4215,에어리언의 내용상 초반부분이라 그런지 스케일이 작고 에어리언도 작고 긴장감있는 포인트는 몇분이 안되며 런닝타임이 길어 졸리는 구간이 많음 .,,,,,,,,,,,,,,,,
4216,이제 영화는 커버넌트 전과 커버넌트 후로 나뉠 것이다,,,,,,,,,,,,,,,,
4217,재밋는데 너무잔인해ㅜ흐윽,,,,,,,,,,,,,,,,
4218,재미는 있으나 잔인행 ..,,,,,,,,,,,,,,,,
4219,마션의 경이로움과 우주주액션이 만나 지루하지 않았음. 간만에 웰메이드 영화보네. 잔인해서 애들이보긴 비추,,,,,,,,,,,,,,,,
4220,재미있었지만 살짝 지루함있었어요하지만 돈주고봐도 후회안함요,,,,,,,,,,,,,,,,
4221,괜찮은편. 우리가 궁금해했던 에일리언의 기원이 밝혀짐.,,,,,,,,,,,,,,,,
4222,에이리언커버넌투에뤼언,,,,,,,,,,,,,,,,
4223,재밋게잘봣어요 더씽재밋게본분들은추천,,,,,,,,,,,,,,,,
4224,에어리언은 조연. A.I 와의 혈투를 그린 영화.,,,,,,,,,,,,,,,,
4225,억지스러운 스토리. 수 분 만에 에일리언 포자가 인간에 몸에서 튀어나와 수 분 만에 성체가 되다니...,,,,,,,,,,,,,,,,
4226,무신론자 감독 리들리옹의 역작!! 카인과 아벨,,,,,,,,,,,,,,,,
4227,단점도 있습니다. 하지만 장점이 단점을 훠얼씬 뛰어넘네요.  프로메테우스 후로 기다린 보람이 있었어요...ㅠㅠ 감독님의 무병장수를 바라며! 에일리언 시리즈 쭉 찍어주시길ㅠㅠ!,,,,,,,,,,,,,,,,
4228,나름 정말 많이 기대하고 본 영화 실망은 아니지만 기대 이상도 아닌,,,,,,,,,,,,,,,,
4229,인조인간 연대기.. 삼천포로 빠지는 이 꼴짭한 기분,,,,,,,,,,,,,,,,
4230,인간들의 야망으로 전쟁이 탄생되었듯이 에이리언도 그렇게 탄생되었다,,,,,,,,,,,,,,,,
4231,역대 에일리언 중 탄생을 다룬 건 없었는 데 하고싶은 거 다해 ㅠ,,,,,,,,,,,,,,,,
4232,계속 궁금하게 만드는 마지막 장면빨리 다음편 나왔으면,,,,,,,,,,,,,,,,
4233,30년 에이리언 팬으로서 약간의 의무감으로 상영마지막날에 봣는데.... 그다지 큰 감흥은 없엇음.  옛날 에이리언2는 극장에서만 5번 봣는데...,,,,,,,,,,,,,,,,
4234,재미있게 봤어요 반전도 있었고,,,,,,,,,,,,,,,,
4235,역시 기대한만큼 재밌는영화^^믿고 봅니다,,,,,,,,,,,,,,,,
4236,결국 우리는 어디에서 왔는가의 의문은 풀리지 않은채 끝난다.. 3편을 기대해본다..AI의 무서움 ㄷㄷㄷ,,,,,,,,,,,,,,,,
4237,굿어아ㅕ추우조아저사어아아,,,,,,,,,,,,,,,,
4238,에일리언시리즈를 안보고 프로메테우스부터 시작한제게는 최고였음,,,,,,,,,,,,,,,,
4239,SF영화를 좋아한다면 꼭 봐야할 영화!!!,,,,,,,,,,,,,,,,
4240,여주가 너무 약한듯.그래도 스케일은 짱.,,,,,,,,,,,,,,,,
4241,예상되는 결말이었지만 재밌게 봤습니다,,,,,,,,,,,,,,,,
4242,재미있었음 앞으로도 이런영화 많이 나왔으면 ㅎ,,,,,,,,,,,,,,,,
4243,다음이야기가 기다려집니다,,,,,,,,,,,,,,,,
4244,이 영화를 보시기전에 전편 프로메테우스와 이후 얘기인 에일리언 시리즈를 어느정도 이해를 하고 보면 더 재밌습니다.,,,,,,,,,,,,,,,,
4245,마이클패스밴더 연기 소름돋음,,,,,,,,,,,,,,,,
4246,스케일 좋고 영상미 좋고....다만 마지막 결말을 미리 예상할 수 있음...^^!,,,,,,,,,,,,,,,,
4247,영화최고네요. 후속작이 또 나왔으며뉴좋겠어요,,,,,,,,,,,,,,,,
4248,건전하지 못한 고민은 갈등을 낳고 저그는 부활한다,,,,,,,,,,,,,,,,
4249,최고다 영화 인류최조가 궁금해지네요,,,,,,,,,,,,,,,,
4250,그냥그냥 봤습니다~~~,,,,,,,,,,,,,,,,
4251,신은 인간을. 인간은 ai를. Ai는...,,,,,,,,,,,,,,,,
4252,1976년의 아날로그 감성과 '프로메테우스'의 철학적이고 세련된 연출을 동시에 닮아있다,,,,,,,,,,,,,,,,
4253,ㅇㅅㅇ재밌었어요  무서운부분도 좀있었지만 ㅜ,,,,,,,,,,,,,,,,
4254,존재감 떨어진 에이리언보다 인공지능이 대세임을 확인해준 영화.,,,,,,,,,,,,,,,,
4255,평소에 SF영화를 즐겨보는데 프로메테우스와 함께 웰메이드 영화인것 같네여,,,,,,,,,,,,,,,,
4256,데이빗과 윌터를 연기한 배우가 한사람이네여   어쩐지 마지막까지 보면서 눈치못챘음 ㅠ ㅠ  근데 이영화는 15세는 아닌듯하다....ㅠ ㅠ 굉장히 잔인하며  목욕씬..ㅋㅋ 근데 섬뜩한재미로 볼만했다  짜릿한반전,,,,,,,,,,,,,,,,
4257,월터랑 데이빗이 다해먹은 영화 졸면서 봤네요 프로메테우스를 너무 잼나게봐서 그냥 그랬네요,,,,,,,,,,,,,,,,
4258,프로메테우스를 다시 보고 봤습니다.,,,,,,,,,,,,,,,,
4259,창조자와 피창조자,,,,,,,,,,,,,,,,
4260,프로메테우스를 좋아하는 사람이라면 실망하겠지만. 나는 프로매태우스를 겁나 싫어하기때문에 재밌게 봤다.,,,,,,,,,,,,,,,,
4261,팬들이보기에좋아요ㅎㅎ,,,,,,,,,,,,,,,,
4262,생각보다 잔인해서 놀랐음...,,,,,,,,,,,,,,,,
4263,생각보다 더징그러움 ㅡ,,,,,,,,,,,,,,,,
4264,이게 15세? 좋다 좋아~,,,,,,,,,,,,,,,,
4265,데이빗..에이리언 후속편이 더 나오길 바랍니다,,,,,,,,,,,,,,,,
4266,그럭저럭 평범하게 볼만했다. 쇼박사와 엔지니어 비중이 너무 없어서 아쉬웠지만 시리즈로 제작된다고 하니 다음편을 기대해 봅니다.,,,,,,,,,,,,,,,,
4267,데이빗을위한 데이빗에의한 데이빗연대기...,,,,,,,,,,,,,,,,
4268,다음 시리즈도 기대됩니다 ㅎㅎ,,,,,,,,,,,,,,,,
4269,재미있게 잘봤습니다.,,,,,,,,,,,,,,,,
4270,스스ㅡ느브브브ㅡ슨더ㅓㅓㅈ?그그ㄱ?,,,,,,,,,,,,,,,,
4271,창조의 꽃은 진화이며 곧 본종의 멸종을 말한다,,,,,,,,,,,,,,,,
4272,생각할 수록 더 어지러워지는 영화다,,,,,,,,,,,,,,,,
4273,신비하고 재미있는 교접의 세계로~ 사이보그가 사이코라 더 무섭네!,,,,,,,,,,,,,,,,
4274,설마 사고친서 서동민이라는 분인가요?,,,,,,,,,,,,,,,,
4275,아이들과 재미로 보려다 뭔가 심오함에 조금 졸았네요^^:;,,,,,,,,,,,,,,,,
4276,프테와 연계좋습니다. 하지만 커버넌트 후속작을 위한 전초전인 느낌이 강해요. 그래도 전작과의 연계나 질문을 던지게 하는 모호함 에일리언 특유의 스릴등 재밌게 보고왔습니다.,,,,,,,,,,,,,,,,
4277,데이빗 ....어떻게 이럴수가있냐 .,,,,,,,,,,,,,,,,
4278,어휴에어리언무서워요,,,,,,,,,,,,,,,,
4279,적당히 상상가능한 딱 그정도였다. 에일리언이 많이 안나와서 아쉽다,,,,,,,,,,,,,,,,
4280,아더 영화가 이렇개까지 스타일리쉬 해 질수있구나,,,,,,,,,,,,,,,,
4281,이건 19세 관람가에요 ㅜ,,,,,,,,,,,,,,,,
4282,여전한 재미,,,,,,,,,,,,,,,,
4283,프로메테우스2=에이리언커버넌트외계인과에이리언의 탄생~,,,,,,,,,,,,,,,,
4284,긴장감이... 옆에 지나가는 사람들이 의심스러워지는 영화,,,,,,,,,,,,,,,,
4285,처음부터 끝까지 긴장하면서 봤어요,,,,,,,,,,,,,,,,
4286,옆에 중고생들이랑 같이 봤는데  ㅋㅎ...,,,,,,,,,,,,,,,,
4287,알이 먼저냐? 에일리언이 먼저냐?이영화에서 보여줌. 아직 퀸이없는데 쌩뚱맞은 알은 누가 낳아놨냐?,,,,,,,,,,,,,,,,
4288,30년 의리로 10점 준다. 객관적 평점은 7.5,,,,,,,,,,,,,,,,
4289,반전있고 재밌었습니다. 그 전 시리즈들을 보지않았는데 커버넌트를 보고 찾아보고싶어졌습니다ㅎㅎ 재밌어요,,,,,,,,,,,,,,,,
4290,스릴감을 느껴보려 갔지만 지루함을 느낌,,,,,,,,,,,,,,,,
4291,에어리언보다 무서운 인조인간 데이빗,,,,,,,,,,,,,,,,
4292,단순 sf영화로만 알고있던 나에게 에이리언에 대해 공부하게. 만든 영화. 굿~,,,,,,,,,,,,,,,,
4293,엔지니어가 창조주라면,,,,,,,,,,,,,,,,
4294,기분이 엉망진창이 된다. 에이리언 답다.,,,,,,,,,,,,,,,,
4295,영화 내용이 왔다갔다 해서,,,,,,,,,,,,,,,,
4296,SF 영화 좋아요 에이리언 좋아요,,,,,,,,,,,,,,,,
4297,다름이 아니고 이건 모험이야!!,,,,,,,,,,,,,,,,
4298,제목을 프로메테우스2로 하지..  에일리언 광팬인 나는 너무 기대를 했나봅니다...,,,,,,,,,,,,,,,,
4299,본작 에일리언 4부작 : 우주괴물과의 사투,,,,,,,,,,,,,,,,
4300,기대했던 영화그렇지만 너무 징그러웠던..,,,,,,,,,,,,,,,,
4301,전편을 보면 이어지는재미를 좀 느낄수있는데 안본사람들한테는 별로 잔인함밖에는 얻을수없었던것 같다,,,,,,,,,,,,,,,,
4302,그냥 그냥 봤음.. 그런데 재미는 있음,,,,,,,,,,,,,,,,
4303,최고...다음편 기대된다,,,,,,,,,,,,,,,,
4304,에혀 데이빗 새기;프로메테우스에서 갓지니어 형님이 보자마자 뚝배기 뽑을때부터 알아봤다,,,,,,,,,,,,,,,,
4305,프로메테우스에 비하면 아쉽지만 간만에 재밋는 영화,,,,,,,,,,,,,,,,
4306,에이리언 출생의 비밀이 풀려버림.,,,,,,,,,,,,,,,,
4307,진짜 최고의 영화. 손에 땀이 계속 남.. 방심할 수가 없음.,,,,,,,,,,,,,,,,
4308,미쳤다영화가 데이빗미친놈,,,,,,,,,,,,,,,,
4309,재밋엇던거같아요..,,,,,,,,,,,,,,,,
4310,반전이 아니었으면 공포영화를 즐기는 사람들한테는 그저 그랬을 영화,,,,,,,,,,,,,,,,
4311,와...방금 보고 왔는데 완전 지렸다ㅇㅅㅇ,,,,,,,,,,,,,,,,
4312,다음 후속편이 기대대되는 영화,,,,,,,,,,,,,,,,
4313,귣굳굳굳굳아아아아ㅇㅣ,,,,,,,,,,,,,,,,
4314,1편보다는 재미없지만 그래도 볼만하네요,,,,,,,,,,,,,,,,
4315,초반에 살짝 지루했어요~ 그래도 꿀잼,,,,,,,,,,,,,,,,
4316,에일리언 팬이라면 꼭 봐야하는 영화.  다음편도 기대!!!,,,,,,,,,,,,,,,,
4317,좀 징그럽긴하지만 생각보다 재밌게봤음,,,,,,,,,,,,,,,,
4318,재미있엇습니다. 다만 이해하지못한부분이 조금있네요.,,,,,,,,,,,,,,,,
4319,개인적으론 조금 더 잔혹하고 사실적이었으면 했다. 그러나 리들리 스콧만의 긴장감에 푹 빠져있었다.,,,,,,,,,,,,,,,,
4320,와우진짜재밋엇어요굿,,,,,,,,,,,,,,,,
