,content,,,,,,,,,,,,,,,
4509,꼭 봐라. 소름이 돋을정도로 신선하고 충격적이고 발칙한 영화다.,,,,,,,,,,,,,,,
4510,재밌음,,,,,,,,,,,,,,,
4511,지겹지는 않지만 거대한 떡밥영화 스토리는 엉성,,,,,,,,,,,,,,,
4512,인류의 기원에 대한 발칙한(?)상상. 예상보다 재밌었다.,,,,,,,,,,,,,,,
4513,잘만들었음.. 3부작인데 허무맹랑하게 끝났다고 생각하고 잼없다고 생각하는 사람들,,,,,,,,,,,,,,,
4514,SF인줄 알고 봤는데 스릴러ㅠㅠ 장르를 하나만 본자의 최후..스카이라인이 충격이ㅠㅠ,,,,,,,,,,,,,,,
4515,나름 생각하고 만든 극강 SF영화구만,,,,,,,,,,,,,,,
4516,인류의 기원은 무신…에일리언의 기원을 알수있는 영화. 차라리 에일리언이 낫다.,,,,,,,,,,,,,,,
4517,흥미로운 2부 기대함 오락영화로도 괜찮지 않나?,,,,,,,,,,,,,,,
4518,에일리언과 비교해보자면 2의 오락성보단 1의 긴장감에 더 가까운영화임. 수작,,,,,,,,,,,,,,,
4519,에이리언1을 보고 봤다면 10점은 당연한거다.,,,,,,,,,,,,,,,
4520,로봇이 왜 그런지 이해 못하는 사람은 영화를 이해 못한것이다...,,,,,,,,,,,,,,,
4521,올해 최고의 영화. 에일리언과 글래디에이터를 만든 감독이니 꼭 보시길!,,,,,,,,,,,,,,,
4522,삼류 sf.  3d는 더더욱 보지 말기를,,,,,,,,,,,,,,,
4523,에일리언 영화를 보는듯한 흥미진진하게 해주네요.,,,,,,,,,,,,,,,
4524,인류의 충격적 기원은 없었으나 철학적이고 심오함,,,,,,,,,,,,,,,
4525,리들리스콧의 저력을 알수있는 영화 역시 오리지널은 다르네요^^,,,,,,,,,,,,,,,
4526,이게 평이 왜이렇게 안좋지..진짜 재밋게 봣는데.. 집와서 에일리언 1부터 다시 봤으,,,,,,,,,,,,,,,
4527,이거 평점이왜이래? 완전 잼있었고 주변사람들도 다 잼나다고 하는데 ㅋ 강추,,,,,,,,,,,,,,,
4528,종교적 이유 때문인지 평점이 너무 낮다.,,,,,,,,,,,,,,,
4529,평이 하도 안좋아서 기대가 없어그런지 전 잼나게 봤어요~^^,,,,,,,,,,,,,,,
4530,이영화를보고재미없다는사람들은 진정한 영화가 뭔지배우고다시감상하세요,,,,,,,,,,,,,,,
4531,앞으로가 어떻게 될것인지 기대되는영화.. 정말 에이리언의 시초인 영화일까?,,,,,,,,,,,,,,,
4532,그 로봇은 왜 그런걸까? 이 영화 제목이 잘못됐다. 이영화는 비기닝 에어리언....,,,,,,,,,,,,,,,
4533,마지막에 뜬금없이 푸처핸섭하면서 특공(자폭공격)하는 용감한 삼형제들에 실소했음..,,,,,,,,,,,,,,,
4534,눈이 즐거웠다 새로운 시리즈의 서막을 알리는 작품으로 이정도면 충분히 만족스럽다,,,,,,,,,,,,,,,
4535,한국사람들이 이 영화 별로라는 이유: 재미위주 로만 보니 재미없지 ㅋㅋㅋ,,,,,,,,,,,,,,,
4536,철학적 의미? 메세지?  형편없는 구성과 각본이 삼겨버렸다. 껍데기 뿐인 영화,,,,,,,,,,,,,,,
4537,인류 기원의 충격적 비밀이 밝혀진다. 위 카피랑 포스터 누가 했는지 대박이다.,,,,,,,,,,,,,,,
4538,후회하더라도 보고나서 후회해도 절대 늦지않다 보기도전에 제끼기엔 너무 훌륭한 영화,,,,,,,,,,,,,,,
4539,괜찮았음,,,,,,,,,,,,,,,
4540,에일리언 시리즈 좋아하는 저로서는 굉장히 재밌게 잘봤습니다.,,,,,,,,,,,,,,,
4541,,,,,,,,,,,,,,,,
4542,1점주는 놈들아 니들도 알바 하니? 한심한것들 영화 보지마라 ㅡㅡ 재미없으면,,,,,,,,,,,,,,,
4543,진짜거짓말않고 보고 후회하지마시길 올해 최악의 영화입니다...장난쳐지금,,,,,,,,,,,,,,,
4544,초반 한시간은 지루하고,,,,,,,,,,,,,,,
4545,도대체 뭘 기대하고들 봤길래 점수를 저따위로 준거지? 이영화는 최고다.,,,,,,,,,,,,,,,
4546,SF영화 팬이라면 꼭 봐야할 명작이다,,,,,,,,,,,,,,,
4547,이만하면잘만든영화다,,,,,,,,,,,,,,,
4548,아이맥스 3d로 보라...,,,,,,,,,,,,,,,
4549,오락성도 그저그렇고 메세지도 별로 시원찮고~근데 그렇게 지루하진 않고~그냥 그렇슴,,,,,,,,,,,,,,,
4550,평점 어이없이 낮게 주는 사람들 이해가 조금 어려웠나보네요. 이해못했어도 볼거리는 충분,,,,,,,,,,,,,,,
4551,B급을 A급으로 포장한 헐리우드의 자금력에 경의를 표한다. 그리고 알바들 수고많다,,,,,,,,,,,,,,,
4552,기대에 못 미치고 영화를 이해해도 쉽게 말할 수 있으며! 돈이 아깝다.,,,,,,,,,,,,,,,
4553,감독이 영화내에서 제시하는 주제들과 질문이 굉장히 매혹적이었다.,,,,,,,,,,,,,,,
4554,오랜만에 진지한 sf대작 상상과 사고를 자극 하는 특히  눈이 호강했습니다 리들리스콧 땡큐,,,,,,,,,,,,,,,
4555,기대한것에 비하면 너무 못함,,,,,,,,,,,,,,,
4556,암것도 모르고 걍 보니까 이건뭐 앞뒤없이 쌩뚱맞게 이랬다 저랬다 거리네,,,,,,,,,,,,,,,
4557,난 왜케 무섭냐...ㅠㅠ  글구 복부를 갈랏는데 도대체 엘리는 어케 뛰어다니는거임,,,,,,,,,,,,,,,
4558,장점 단점이 공존 장점은 스케일,,,,,,,,,,,,,,,
4559,리들리 스콧 최고다!,,,,,,,,,,,,,,,
4560,진심 지루하고 재미없다. 돈이 아까운 영화,,,,,,,,,,,,,,,
4561,어벤져스 7점. MIB3 6점. 배틀쉽 9점. 프로메테 8점. 스노우화이트 7점. 이상!,,,,,,,,,,,,,,,
4562,오랫만에 최고다...몇일전 차형사보고 몇일간 맨붕이었는데..간만에 짜릿했네요.,,,,,,,,,,,,,,,
4563,영화 보는 동안 시간가는줄 몰랐다.. 알바들 제발 헛짓그만좀,,,,,,,,,,,,,,,
4564,이것저것 짬뽕됐다는 느낌이 강하고 개연성이 부족함..킬링타임으로는 괜찮을듯,,,,,,,,,,,,,,,
4565,개인마다 느낌은 다르겟지만 난 재밋엇음! 영화의 의미를 파악하면서 본다면. 만족!,,,,,,,,,,,,,,,
4566,흠 평점 너무들 후하게들 주신듯  새롭다기보담은 이것저것 짬뽕된듯한...,,,,,,,,,,,,,,,
4567,4디로 보아야 ㅎㅎㅎ,,,,,,,,,,,,,,,
4568,잼있다.,,,,,,,,,,,,,,,
4569,에일리언 시리즈를 다시보고 싶게 만들었음!!,,,,,,,,,,,,,,,
4570,최고임..에일리언 시리즈 다 다시 보고 있는 중,,,,,,,,,,,,,,,
4571,1점 주는 사람은 대체 뭘 본 거지?; 큰 기대없이 본다면 결코 돈이 아깝지 않을 영화!,,,,,,,,,,,,,,,
4572,4DX로 관람하였습니다. 역시 대단,,,,,,,,,,,,,,,
4573,아래분 말에 공감!  아이맥스 쓰리디로 보시길 최고 진짜 그래픽이며 뭐며 대박 소름돋음.,,,,,,,,,,,,,,,
4574,깊이있는 SF는 너무 오랜만이라 기립박수라도 치고 싶었다. 언젠가 고전이 될것이다.,,,,,,,,,,,,,,,
4575,예상했던 결말이 아니라 그렇지 내용은 훌륭했다,,,,,,,,,,,,,,,
4576,아이맥스 3d로 봣다우,,,,,,,,,,,,,,,
4577,에휴 -,,,,,,,,,,,,,,,
4578,평점을 낮게준사람들은 영화가 던지는 무수한 의미를 해석하지못한 걸겁니다,,,,,,,,,,,,,,,
4579,cg좋고 스케일도 큰데.. 스토리가..-_-; 그냥저냥 볼만은 한데 기대는 마세요.,,,,,,,,,,,,,,,
4580,원인도 이유도 없이 사건발생.데빗이 할을죽인이유,,,,,,,,,,,,,,,
4581,극장가서보면후회만남음 보지마세요 욕만나와요,,,,,,,,,,,,,,,
4582,극장에서 보면 5면 다운받아보면 3점정도. 그냥 에어리언 탄생비화! 예고편이 다임.,,,,,,,,,,,,,,,
4583,평점 속지 마시고 극장가서 보세요 재미 있습니다.,,,,,,,,,,,,,,,
4584,정말 재미없었습니다.... 끝나고 관객들이 어이가 없어 웃음을 터트리더군요...,,,,,,,,,,,,,,,
4585,정말 예고편이 다네요.,,,,,,,,,,,,,,,
4586,에일리언 광팬으로서 정말 잼있게 몰입해서 봤는데 다른사람들은 욕하면서 나가더군요 .. 전작을,,,,,,,,,,,,,,,
4587,예고편이 다..라고 생각한다.디지털로 봐서 다행이지만..3D로 보면 멘붕 왔을꺼 같네,,,,,,,,,,,,,,,
4588,에일리언의 탄생,,,,,,,,,,,,,,,
4589,예고편이 제일 볼만했던 영화....엔딩크레딧 올라갈때 관람객들 대부분 어이 없다는 반응들..,,,,,,,,,,,,,,,
4590,8점이하로준사람들은머냐,,,,,,,,,,,,,,,
4591,평점 왜 이따위임 재미있고 내용도 괜찮구만 떡밥 남발하는 전개는 무리수,,,,,,,,,,,,,,,
4592,프로메테우스가 재미가 없다면 도대체 어떤영화가 재미를 주는거지?,,,,,,,,,,,,,,,
4593,새벽에 심야로 봤는데 끝나자 마자 사람들 욕하면서 나왔다,,,,,,,,,,,,,,,
4594,비주얼이 뭐가 볼만해. 스팩터클도 없고 스토리도 뻔함,,,,,,,,,,,,,,,
4595,에일리언과 프레데터의 첫번째작 같은 느낌 갑옷벗은 프레데터,,,,,,,,,,,,,,,
4596,솔직히 8점대는된다...,,,,,,,,,,,,,,,
4597,기저귀까지는 필요 없었지만,,,,,,,,,,,,,,,
4598,감독이 찾고자 하는것은 미쳐 날뛰는 우주괴물이 아니었다. 2편 기대..,,,,,,,,,,,,,,,
4599,9점 주고 싶은 영화다,,,,,,,,,,,,,,,
4600,SF 탐험 영화 같은 몰입도. 당신이 우주에 관심이 있다면 충분히 봐도 좋은 영화다.,,,,,,,,,,,,,,,
4601,헐.. 알바 쩐다,,,,,,,,,,,,,,,
4602,거장의 화려한 복귀작이자 장중한 우주의 묵시록!,,,,,,,,,,,,,,,
4603,오랫만에 본 OOO기 영화. 그냥 쓰레기 아니고 OOO기에욤...,,,,,,,,,,,,,,,
4604,역시 리들리 스콧 단단한 스토리로 몰입도 최강 알바있는것 같아 만점,,,,,,,,,,,,,,,
4605,장르적 쾌감은 기대이하. 그럼에도 영상미는 볼만했다.,,,,,,,,,,,,,,,
4606,나도 기대했던만큼 재밌게 봤음.. 이런 영화 좋음.. 상상력 자극..,,,,,,,,,,,,,,,
4607,비쥬얼은 볼만한데.. 스토리가 엉성해서 받쳐주질 못했어요.,,,,,,,,,,,,,,,
4608,인류의 기원에 대한 기대감만.....결국 허무적 결과만이....후속 나오나 ?,,,,,,,,,,,,,,,
4609,그래픽 굳,,,,,,,,,,,,,,,
4610,기대햇던만큼 재밋네영!!!,,,,,,,,,,,,,,,
4611,초반부터 잤다...영화가 이따위인데 평점 좋게 해놓은 사람들은 눈깜고 본거임?? 시레기영화...,,,,,,,,,,,,,,,
4612,솔직히 8 점 대는 된다.,,,,,,,,,,,,,,,
4613,영화 곳곳에 숨은 장치들을 해석하며 보는 재미가 쏠쏠했습니다.,,,,,,,,,,,,,,,
4614,스케일 큰영화는 극장에서~,,,,,,,,,,,,,,,
4615,재밌다는 기준이 다르니.. 밑에 OO인증하시는 분있네요 인류기원 에일리언 드립,,,,,,,,,,,,,,,
4616,돈 아깝지 않다. 영화관에서 봐라.,,,,,,,,,,,,,,,
4617,3부작이라  다음이  기대..,,,,,,,,,,,,,,,
4618,인류의 기원이 아니라 에일리언의 탄생을 말해주는거네 거대한 스케일만 볼만했다.,,,,,,,,,,,,,,,
4619,리들리스콧의 25년간 숨겨온 이야기 HR기거의 새로운 에일리언 디자인 SF 팬에겐 최고의 선물,,,,,,,,,,,,,,,
4620,에일리언 매니아로서 추천!,,,,,,,,,,,,,,,
4621,나름 재밌게 봤습니다. 손에 땀을 쥐게하는 스토리라..아쉬운건  스토리의 시작이 잘려서요...,,,,,,,,,,,,,,,
4622,이건뭘...영상 별로고 스토리도 꽝 심형래 디워가 재미있네  이거보다 나을듯최악~!,,,,,,,,,,,,,,,
4623,에일리언내용 하나도 모르는 상태에서 봐서 그런가 재밌는데ㅋㅋ,,,,,,,,,,,,,,,
4624,이거뭐야 그래서 인류의 기원이 에일리언이야? ㅋㅋㅋㅋㅋ알바들뭐야,,,,,,,,,,,,,,,
4625,나름대로 괜찮았슴..,,,,,,,,,,,,,,,
4626,으... 내용 이해하면 재밌음^^,,,,,,,,,,,,,,,
4627,무섭긴했는데 재밌었음..!,,,,,,,,,,,,,,,
4628,겁나 잼나게 봤는데 ㅋㅋㅋ 돈 하나도 안아까움,,,,,,,,,,,,,,,
4629,말이필요없는 대작!! 마지막까지 긴장감을 놓아주질 않네요 근데 왜케 평점이 낮은지,,,,,,,,,,,,,,,
4630,최고의 역작,,,,,,,,,,,,,,,
4631,에이리언 1편 처음 봤을때로 돌아가는 기분,,,,,,,,,,,,,,,
4632,우뢰매와 경쟁할수 있는 높은 퀄리티다. 부자가 창조주 외계인에게 죽는다는 내용,,,,,,,,,,,,,,,
4633,정말 갈갈이패밀리 이후 희대의 명작이네요 쇼 착한년 데이빗 나쁜놈,,,,,,,,,,,,,,,
4634,대박ㅋㅋ진짜 재밋엇음ㅋㅋ,,,,,,,,,,,,,,,
4635,기대했었는데 스토리 전개가 엉성하고 억지가 심함 영상은 좋음,,,,,,,,,,,,,,,
4636,에이리언의 탄생비화~~,,,,,,,,,,,,,,,
4637,적어도 8점은 되야된다... 한국영화 알바들이 1점줘서 점수 엄청 깎아놨네,,,,,,,,,,,,,,,
4638,놀라고 징그러우며 억지도 있었지만.. 볼만한듯..,,,,,,,,,,,,,,,
4639,이거..작품도 좋고 재밋는데 어째서 한국영화보다 평점이 떨어지죠? ㄱ - 이해불가,,,,,,,,,,,,,,,
4640,몰입감이 대박입니다. 강추!,,,,,,,,,,,,,,,
4641,큰 이야기를 담기에 너무 조악한 각본... 하지만 계속 곱씹어보게되는 영화,,,,,,,,,,,,,,,
4642,최고,,,,,,,,,,,,,,,
4643,좀더 길게 끝났으면조켔다 너무 삘리끝났어..첨부분집중하셈,,,,,,,,,,,,,,,
4644,런타임이 조금 더 길었다면 평가가 이렇게 갈리지 않았을 듯. 차분하고 깊은 SF영화.,,,,,,,,,,,,,,,
4645,스토리는좋다 다 좋은데 마무리부분에 뭔가빠른진행과 주인공의 엄청난생존능력?,,,,,,,,,,,,,,,
4646,최고입니다.,,,,,,,,,,,,,,,
4647,안보면말을마셔요!!,,,,,,,,,,,,,,,
4648,절대 평점 7점짜리 영화가 아니다. 점수에 인색한 자들은 에일리언 1이라도 좀 보기를,,,,,,,,,,,,,,,
4649,와 이영화 최고다 꼭보세요 ㅜㅜㅜ,,,,,,,,,,,,,,,
4650,기대했었는데 스토리 전개가 엉성하고 억지가 심해요. 극장에서 보긴 살짝 아깝네요.,,,,,,,,,,,,,,,
4651,눈요기 거리만 가득한 요즘 SF영화와는 다른 영화였네요. 감독님이 후속편 만들어주길,,,,,,,,,,,,,,,
4652,궁금증만 가득안고 끝나버렸네요,,,,,,,,,,,,,,,
4653,최고입니다.,,,,,,,,,,,,,,,
4654,메가박스에서 진짜 재밌게 봤는데도... 아이맥스로 보고싶어서 또 한번 볼예정입니다,,,,,,,,,,,,,,,
4655,멘붕 영화ㅠㅠ 잔인한거엔 좀취약해서;; 마지막에 아~하고끝나는 영화ㅋㅋ,,,,,,,,,,,,,,,
4656,이건 진짜 아이맥스로 안보면 후회함ㅋ,,,,,,,,,,,,,,,
4657,에일리언비기닝입니다. 에일리언이 어케 창조되었는지 완전이해됨^^,,,,,,,,,,,,,,,
4658,우주라는 미지의 세계에 나를 데려간 것만으로도 좋았다. 그리고 거장의 티테일까지..,,,,,,,,,,,,,,,
4659,기대를 안한 탓인지 아~ 전 정말 잼나게 지루한거 한개도 없이 봤어요~,,,,,,,,,,,,,,,
4660,내용은 엉성하고 억지스러움. 돈 쏟아부어 특수효과는 볼만함.,,,,,,,,,,,,,,,
4661,창의성은 상상하는 자의 것이다. 현실에만 매몰된 불쌍한 인생들은 보지 말것!,,,,,,,,,,,,,,,
4662,"결국 아무것도 알아낸 것이 없어""그렇네요 인류의 기원은 안드로메다로",,,,,,,,,,,,,,,
4663,화려한 영상미와 몰입감 쩔었따,,,,,,,,,,,,,,,
4664,디워 스카이라인 이하...ㅡㅡ 내가본영화중 가장 재미없음 정신건강에 해로워요 보지마여,,,,,,,,,,,,,,,
4665,친구랑 아이맥스로 봤는데 둘 다 재밌게 봄. 아이맥스 완전 대박임. 아이맥스 강추입니다,,,,,,,,,,,,,,,
4666,역시3D로 봐야제맛  정말재밌었음~^^^^^,,,,,,,,,,,,,,,
4667,새로운 프리퀄의시작 그리고 새로운 여주인공☆☆ 마지막 장면이 기억이남아요,,,,,,,,,,,,,,,
4668,two thumbs up!!!!,,,,,,,,,,,,,,,
4669,에어리언 시리즈 다본 사람은 다소 지루할수도..; 기대에 못미치네요.,,,,,,,,,,,,,,,
4670,첫 장면이 중요한 듯 한데.. 그걸 좀 놓쳤지만.. 발전된 과학기술만 봐도 흐뭇 ^^,,,,,,,,,,,,,,,
4671,2012년 최고의 영화였다. 거장이 만든 영화는 역시 다르다!!!,,,,,,,,,,,,,,,
4672,영상쩌는듯 ㅋ 에어리언시리즈를조아해서 그런지 잼낫음  2탄도기대되고,,,,,,,,,,,,,,,
4673,오~ 상상력과 영상미에 놀랐습니다..철학?오랜만에 기억에 남는 영화를 보니 너무 기분 좋네요^^,,,,,,,,,,,,,,,
4674,에어리언 탄생비화....징그러,,,,,,,,,,,,,,,
4675,개굿인데..,,,,,,,,,,,,,,,
4676,잼있음,,,,,,,,,,,,,,,
4677,개독들이준 빵점인가??이런걸 이해못하다니 실로감탄만 나온다~음악 그래픽 스토리모두굿굿,,,,,,,,,,,,,,,
4678,SF영화가 어벤져스같이 단순 액션질만 떠오르는 사람들에겐 이 영화는 어렵다. 추천,,,,,,,,,,,,,,,
4679,내가 바로 심약한 사람이었다니...어릴때 티비로 본 에어리언은 예방주사가 안되었고ㅠ,,,,,,,,,,,,,,,
4680,전반한시간은지루한감있었는데후반한시간은재미있었어요 공상과학영화팬이라좋았습니다,,,,,,,,,,,,,,,
4681,눈부시게 발전한 컴퓨터그래픽과 틀에서 벗어나지못하는 스토리 한계를 모두 볼수있다,,,,,,,,,,,,,,,
4682,아 진짜 수작임,,,,,,,,,,,,,,,
4683,영상과 분위기에 압도되지만 허술한 캐릭터들과흐지부지 끝낸 결론은 아쉽...,,,,,,,,,,,,,,,
4684,에일리언 시리즈를 봤거나 내용을 알고있는 사람이라면 꼭봐야할 영화 몰입감 최고,,,,,,,,,,,,,,,
4685,지루할틈이없음!!! 기대안하고봤는데 2시간동안 몰입해서봤당.,,,,,,,,,,,,,,,
4686,겉과 속이 다른영화 최고다.,,,,,,,,,,,,,,,
4687,밑에 1점짜리 믿지마세요 진짜 재미있습니다.,,,,,,,,,,,,,,,
4688,그냥3d영화 스토리는 발로만든,,,,,,,,,,,,,,,
4689,볼만 한듯 맨인블랙보다 100배는 낫다. 마지막이 좀 아쉽지만.. 이정도면 성공,,,,,,,,,,,,,,,
4690,지리고 또 지렸다,,,,,,,,,,,,,,,
4691,2012년 최고의 영화다,,,,,,,,,,,,,,,
4692,뭔가 이해불가한 주인공들의 행동. 영상미는 괜찮았음.그나저나 샤를리즈테론은 왜나온걸까?,,,,,,,,,,,,,,,
4693,3D 이상으로 꼭 보시길~!! 재미 있어여~아직도 여운이.....에일리언 1편 다시 봤음 ㅋ,,,,,,,,,,,,,,,
4694,SF를 좋아한다면 꼭 보길 바란다.,,,,,,,,,,,,,,,
4695,재미는 있지만 중반이후 관객의 이해를 돕기에 스토리가 부진하지 않았나.,,,,,,,,,,,,,,,
4696,영화 기대안하고바서그런지 잼있었어요 평점 마니낮게나오는데 볼만하네요,,,,,,,,,,,,,,,
4697,보는중간멘붕옴 ㅋ 시간가는줄모르겟는영화,,,,,,,,,,,,,,,
4698,아바타처럼 진부하지만 완성도있는 영화,,,,,,,,,,,,,,,
4699,에일리언1에서 의자에 앉아있는 외계인의 정체를 알 수 있었던것 만으로도 큰 수확.,,,,,,,,,,,,,,,
4700,최고.,,,,,,,,,,,,,,,
4701,솔직히 칠점정돈 아니고 팔점오정도? 그러니까 십점,,,,,,,,,,,,,,,
4702,개념 있는 SF 인것 같습니다. 멘붕에서 나오는데 조금 걸립니다.,,,,,,,,,,,,,,,
4703,프로메테우스... 이거... 공포영화다!  나만 모르고 봤던건가? ㅋ,,,,,,,,,,,,,,,
4704,그저 그렇던데.,,,,,,,,,,,,,,,
4705,최근 본 영화중 몰입도 최고인 영화... 앞으로 이런 영화를 또 볼 수 있을지...,,,,,,,,,,,,,,,
4706,멘붕 에헐리언~완전 재밌어 다음편이 더기려진다,,,,,,,,,,,,,,,
4707,내용을떠나서 영화에 몰입할수있다는것만으로도 이영화는 8점은 넘는다,,,,,,,,,,,,,,,
4708,썩어도 준치 역시 리틀리 스콧 감독이었다.,,,,,,,,,,,,,,,
4709,SF좋아하는 친구도 재미없다는 영화 할인권으로봐서 다행이지 어휴...,,,,,,,,,,,,,,,
4710,한가지 확실한건...대가의 아우라를 제대로 보여줬다...,,,,,,,,,,,,,,,
4711,드라마 보다는 기술적 발전을 높이 평가할만하다. 4D 추천,,,,,,,,,,,,,,,
4712,난 알바들이 리들리스콧이 누군지나 알까 싶다,,,,,,,,,,,,,,,
4713,우주 외계인이 지구에 우호적이지 않을수 있다는 메세지 ... 와닿네요..,,,,,,,,,,,,,,,
4714,장면마다 의미를 부여한 노감독의 고집이 느껴진다,,,,,,,,,,,,,,,
4715,SF영화가 이렇게징그러울수가있을까..보통눈요기로보는데 이건 징그러운게 더많다.,,,,,,,,,,,,,,,
4716,내용연결도 부실하고.. 알아서 스토리를 연결하고 이해 해야하나..,,,,,,,,,,,,,,,
4717,재미없다..에어리얹나오고이런거별로..잔잔하게감동없이잔인한.재미없어,,,,,,,,,,,,,,,
4718,끝나도 자꾸 생각하게 하는 영화... 내용이 아직도 머릿속을 맴돈다...,,,,,,,,,,,,,,,
4719,후속 2편은 그행성에 가서 이유를 따져물을거고 3편에선  열받아 프레데터를 풀어놓을듯ㅋㅋ,,,,,,,,,,,,,,,
4720,스토리연결은 억지스럽지만 어디서 이런 대작을 볼꺼냐? 우리나라에선 만들수없는영화,,,,,,,,,,,,,,,
4721,전사 리플리는 잊어라..오래 기다려 온 쇼와 데빗의 순도높은 SF 서막,,,,,,,,,,,,,,,
4722,뭔가 허전한,,,,,,,,,,,,,,,
4723,비주얼은 좋은데,,,,,,,,,,,,,,,
4724,영화 에일리언의 강렬했던 기억을 더듬어 보면 그 탄생 배경이  궁금했었다.,,,,,,,,,,,,,,,
4725,3d 로봄 아바타이후  2번째 잼있개본영화임니다  액션은만지안은대에 웅장함니다,,,,,,,,,,,,,,,
4726,스릴넘치나 뭔가 덜다듬어진,,,,,,,,,,,,,,,
4727,적절하게 재미있다. 에어리언과 같은 레퍼토리. 다음편이 기대된다.,,,,,,,,,,,,,,,
4728,평점 믿지마시길...미확인동영상같은 쓰레기와 동급일 수가 없음,,,,,,,,,,,,,,,
4729,일단 보라. 인류에 대한 강한 애착심을 느낄 것이다.,,,,,,,,,,,,,,,
4730,각자 취향이 틀린거지 10점준사람들 알바같다니 참 초딩스러운 생각이군,,,,,,,,,,,,,,,
4731,조용히 재밌던데ㅋ 평점보고 볼까 말까 망설이기보단 일단 보세요ㅎ,,,,,,,,,,,,,,,
4732,진짜 재미없다~ 다운로드받아서 볼 영화도 안됨~ 시간낭비! 10점준사람들 알바같음~,,,,,,,,,,,,,,,
4733,정말... 진심으로 1점도 아깝다.. 다른데 돈쓰느라 작가섭외못한듯,,,,,,,,,,,,,,,
4734,도대체 이 명작 SF영화의 평가절하는 왜? 어디서 시작된건지. 궁금할정도~,,,,,,,,,,,,,,,
4735,SF 영화로 최고...,,,,,,,,,,,,,,,
4736,경배하라 리들리스콧을!!! 1점주는 알바들 많네,,,,,,,,,,,,,,,
4737,이영화 보시려는 분이 계시다면..극구 말리고 싶네요..진짜 별로 였음,,,,,,,,,,,,,,,
4738,콕핏이 작동했을때 20년전 에일리언에서 그것이 조정석였을꺼라고 예상했던 내게 충격이었다.,,,,,,,,,,,,,,,
4739,재밌다고 말한놈 나와,,,,,,,,,,,,,,,
4740,재밌게봤는데 남친은 토하려그럼 징그럽다고,,,,,,,,,,,,,,,
4741,진짜 이건 재미가 없다. 그리고 제발 어줍잖은 의미 부여는 버려라. 철학적 의미 그런거 다 헛소리다,,,,,,,,,,,,,,,
4742,재밌다 너무 재밌다~~ 집에가면서도 계속 생각남 ㅎ,,,,,,,,,,,,,,,
4743,영상미대박!앞뒤내용 탄탄함..뭐라 흠잡을데없다이거보고 7광구생각하니 슬프네,,,,,,,,,,,,,,,
4744,프리퀄인지 아닌지 모르겟네요.. 그딴거 몰라도 일단 재미있음ㅋ,,,,,,,,,,,,,,,
4745,음...에일리언을 본 느낌..쫌 잔인하고 내용의 전개가 좀 허술함.2편이나온다면 안볼꺼다ㅡ,,,,,,,,,,,,,,,
4746,리들리 스콧이 프리퀼 아니라고 했다 ㅄ들아 알고나 떠들어라 제발 ㅉㅉ,,,,,,,,,,,,,,,
4747,3d로 본 후 머리가 어질어질하다. 영화 내용도 마찬가지. 선장없는 배 같다.,,,,,,,,,,,,,,,
4748,만들 수 있어서 만들었다. - 리들리 스콧 이게 그의 대답이다.!,,,,,,,,,,,,,,,
4749,시작과 중반까지는 기대와 흥분,,,,,,,,,,,,,,,
4750,프리x 회원이기에 4000원에 영화를 보았다.. 아깝지않았다 9천원이였으면 아까웠을것이다.,,,,,,,,,,,,,,,
4751,알바에 속지마세요 ㅋㅋ 프리퀼이 뭔지도 모르고 평점주는 혼자만의 상상에 빠진작자,,,,,,,,,,,,,,,
4752,리들리 스콧,,,,,,,,,,,,,,,
4753,대체 어떤식으로봐야지 이 영화가 재미없을수 있는지 정말 모르겠습니다,,,,,,,,,,,,,,,
4754,두번 보세요 만원주고 어디가서 이런구경을 하나요,,,,,,,,,,,,,,,
4755,한 번 더 보고 싶다.,,,,,,,,,,,,,,,
4756,시간 금방감 진짜..아이언맨 조아하면 시러하겠지만 에일리언1 본나이부터는 짱임..,,,,,,,,,,,,,,,
4757,기대에 의한 감상보다는 객관적인 감상을 하시길,,,,,,,,,,,,,,,
4758,진짜 재미없다. 예고편이 전부인 영화.,,,,,,,,,,,,,,,
4759,대작!! 아...진짜 말이 안나오게 압도적임!!!,,,,,,,,,,,,,,,
4760,쓰레기 레전드 영화임돠 ㅋㅋㅋㅋㅋ진짜 궁금하면 보셈,,,,,,,,,,,,,,,
4761,과학적 상상력을 기대했던영화다. 근데,,,,,,,,,,,,,,,
4762,에일리언1을 되새기면 알아가는 재미가 가득합니다,,,,,,,,,,,,,,,
4763,간만에 나온 SF수작. 속편이 너무 기다려진다.,,,,,,,,,,,,,,,
4764,123분이 금방가더라ㅋ,,,,,,,,,,,,,,,
4765,진짜 재밌음 꼭 3D로보셈,,,,,,,,,,,,,,,
4766,나 혼자 죽을 수 없지. ㅋ,,,,,,,,,,,,,,,
4767,지루하다.별거없다.스노우화이트앤헌츠맨하고 비슷하다.,,,,,,,,,,,,,,,
4768,스토리 이해 못하는 사람을 이해못하겠다. 후속작이 굉장히 기대되는 영화!,,,,,,,,,,,,,,,
4769,신선한 충격 ~ 몇군데가 조금 아쉽긴하지만 강추 !!!,,,,,,,,,,,,,,,
4770,신봉선이 생각나는건 나뿐인걸까...암튼 최고의 SF 스릴러!!,,,,,,,,,,,,,,,
4771,진부한 멘트겠지만 신선한 충격..,,,,,,,,,,,,,,,
