,content,,,,,,,,,,,
2714,2019.11.9 cgv목동,,,,,,,,,,,
2715,좀 지루하긴햇는데 브래트피트 잘봣어요,,,,,,,,,,,
2716,영화관람후 한참이지나 평점을 쓴다 근데..기억이 ..무슨영화였지?,,,,,,,,,,,
2717,지루하지도 엄청 흥미진진하지도 않음.. 인터스텔라랑 비교는 불가한듯ㅋ,,,,,,,,,,,
2718,개인적으로는 인터스텔라가 더 생각을 많이 하게 하는 영화였다. 하지만 좋은 영화다 이것도.,,,,,,,,,,,
2719,,,,,,,,,,,,
2720,좀 지루한..,,,,,,,,,,,
2721,sf광이라 이정도면 평타이상임,,,,,,,,,,,
2722,,,,,,,,,,,,
2723,화려한 액션을 기대 해서 보면 실망할거다.연기 위주로 조면 볼만 하다. 그러나 스토리가 조금 아쉽다.,,,,,,,,,,,
2724,볼만합니다 볼만합니다.,,,,,,,,,,,
2725,,,,,,,,,,,,
2726,재미있게 봤습니다. 호불호가 갈릴 수는 있겠지만 전체적으로 좋았습니다. 특별히 대단한 반전은 없었지만 생각을 해보게 만드는 작품이었습니다. 작품 입니다.,,,,,,,,,,,
2727,한 남자의 진지한 드라마,,,,,,,,,,,
2728,영화 잘 만들었다 또 보고 싶었는데 금방 내려가서 아쉬웠다,,,,,,,,,,,
2729,그 적막한 우주속에서 아버지를 바라보며 Why go on? Why Keep try? 이라고 얘기할 때 그 소름을 아직도 잊을수 없다,,,,,,,,,,,
2730,,,,,,,,,,,,
2731,스토리가 약하다. 결과,,,,,,,,,,,
2732,잘받았습니다 재미있습니다,,,,,,,,,,,
2733,그냥그래요 별 감동없었어요,,,,,,,,,,,
2734,스토리가 너무 지루하네요 너무 심오해서 이야기 어려웠나 봅니다 브래드 피트 잘 생겼네요 잘 보고 왔습니다,,,,,,,,,,,
2735,후반부에 힘빠지는거 제외하면 인간드라마로써의 역할은 충실히 수행했다,,,,,,,,,,,
2736,요즘 저의 삶을 되돌아볼 수 있는 좋은 영화였던 것 같아요.,,,,,,,,,,,
2737,우리는 진정 무엇을 손에 잡을 수 있을까?,,,,,,,,,,,
2738,극한상황에서의 SF가 너무 재미있었음,,,,,,,,,,,
2739,드라마. SF아니고. 우주가 배경인 드라마.,,,,,,,,,,,
2740,난 우주영화를 좋아함 산드라블록의 그래비티!!!인터스텔라,,,,,,,,,,,
2741,아버지와의 숨 막히는,,,,,,,,,,,
2742,지적 호기심은 당신의 자유이다. 하지만 가정이 있다면,,,,,,,,,,,
2743,걍그럼 혼자 우주여행 간기분,,,,,,,,,,,
2744,너무나 진지한 영화,,,,,,,,,,,
2745,우주를 배경으로 한 영화인데다,,,,,,,,,,,
2746,수작은 분명하나 그래비티에는 못미침,,,,,,,,,,,
2747,지독히 고독한 스페이스 오디세이.,,,,,,,,,,,
2748,영상미가 좋았어요,,,,,,,,,,,
2749,우주가 배경인 영화라서 기대를 많이 했는데,,,,,,,,,,,
2750,심리 드라마가 주긴 하나,,,,,,,,,,,
2751,영화가 좀 지루합니다. 타임킬용,,,,,,,,,,,
2752,재밌었어요.,,,,,,,,,,,
2753,고집쎈 아비가 처자식 및 전세계를 ㅈ되게 한다..ㅉㅉㅉ,,,,,,,,,,,
2754,원하는 것에 대한 궁금증과 찾는 것에 대한 두려움,,,,,,,,,,,
2755,,,,,,,,,,,,
2756,인간다우려면 무엇을 잃고 무엇을 지켜야 하는가.,,,,,,,,,,,
2757,어쩌면 우린 다 우주잖아.곁에 있어도 속을 다 알 수 없는 걸...,,,,,,,,,,,
2758,잔잔한 영화,,,,,,,,,,,
2759,의욕이 없이 자살하려는 사람 보세요,,,,,,,,,,,
2760,브래드피트 오랜만,,,,,,,,,,,
2761,마치 명상을 하는듯한 영화였습니다. 결국 내가 없고 아무것도 없음으로...,,,,,,,,,,,
2762,지루한건 아니고,,,,,,,,,,,
2763,¿#%#%#%#%?,,,,,,,,,,,
2764,수OO간의 짝사랑을 끝내고,,,,,,,,,,,
2765,보는데 우주선은 고장나있고 빵형만 고뇌하고있다.우주맛가미 드라마,,,,,,,,,,,
2766,지구에서나 잘 살지 뭘 자꾸 멀리서 찾는겨,,,,,,,,,,,
2767,내가 우주가 아닌 지구에 있어 다행이라는 생각만 내내 들었다.아버지가 너무 이기적이다..,,,,,,,,,,,
2768,제 인생의 또 하나의변환점인 영화 였습니다!,,,,,,,,,,,
2769,영화를 보며 자신을 돌아보게 된다. 전력을 다해 인생을 질주하다. 그 끝에 만나는 허무함이 있다.,,,,,,,,,,,
2770,무언가를 있는 그대로 보고,,,,,,,,,,,
2771,깜깜한 심연 속에서 발견한 것은,,,,,,,,,,,
2772,브라우저 식별정보가 존재하지 않아 평점 등록이 불가능합니다.,,,,,,,,,,,
2773,중반까지 긴장감에 몰입도도 좋았으나 점점..,,,,,,,,,,,
2774,광활한 우주의 허무속에서 남는건 ‘주변을 돌봐라?’,,,,,,,,,,,
2775,훌륭한 영상미와 뛰어난 연기가 결합되면 어떤 영화가 나올 수 있는지 정답을 제시한 영화. 이건 꼭 아이맥스에서 봐야~~,,,,,,,,,,,
2776,옛날 영호ㅏ 지옥의 묵시록이 생각나는. 그것이 스페이스 오딧세이오ㅏ 만났을 때. 음악이 특히 좋다.,,,,,,,,,,,
2777,"가슴속에 있는 ""아버지""가 생각나는 영화",,,,,,,,,,,
2778,영화의 시작은 20th FOX 영상이 무음처리로 나오면서부터 시작된다. 의도적으로 사운드와 음악을 끄는 신이 듬성듬성 있다는 점이 음악을 적극 활용하는 인터스텔라와의 차이점이다. 이러한 기법은 우주의 광활함을 보다 ...,,,,,,,,,,,
2779,우주를 올려다 보며 동경하는 그가 어둠 너머 찾고 있는 것은 잃어버린 자신이 아니었을까.,,,,,,,,,,,
2780,중년의 아빠들이 봐야할 영화...돌아 봐야함을 느낌니다.,,,,,,,,,,,
2781,트라우마가 이렇게 무서운 겁니다 여러분,,,,,,,,,,,
2782,,,,,,,,,,,,
2783,인터스텔라 마션보다는 훨씬 현실적인 인간 내면의 멘탈적인 부분에 포커스가 맞춰져있음 방향성은 그래비티랑 더욱 가까운 느낌임 위 두작품이 뭐 STAY나 감자밭 파킨할때 충분히 멘탈나가는 모습들이 있긴하지만 이작품은 그...,,,,,,,,,,,
2784,잘만든영화네요. 보기전까진 망설였지만 재미있었어요.  인물들의 심리상태 상당히 공감합니다.,,,,,,,,,,,
2785,가끔은 뒤돌아보자. 이것밖에 없을까,,,,,,,,,,,
2786,새로운 시각의 우주영화롯데시네마 신중동점에서 봄,,,,,,,,,,,
2787,우주영화를 가장한 상처치유여행기. 내면의 심리가 변해가는걸 인상적인 연기로 잘 표현한거 같다. sf로서는 약간 아쉬운 장면들이 많다. 무중력상태에서 표현되는 액션들이 특히 비과학적이라 아쉬웠음.. 영화의 끝판왕이랄수...,,,,,,,,,,,
2788,연기랑 스토리는 괜찮습니다만 전체적으로 좀늘어지는느낌이라 취향에안맞는분들은 별로일듯,,,,,,,,,,,
2789,오디푸스 콤과 진보에 대한 탐욕을 극복한 위버멘시,,,,,,,,,,,
2790,.공0백100앙리머띠,,,,,,,,,,,
2791,아버지와 유인원무엇이 다른가?,,,,,,,,,,,
2792,기대에는 못미쳤던,,,,,,,,,,,
2793,과학자들의 미지의 세계에 대한 열정을 보여주어 매우 감명깊은 영화였다,,,,,,,,,,,
2794,근 미래에 실현가능한 공상이라 더욱 와닿는 우주를배경으로 인간의심리를 세밀히표현하였다,,,,,,,,,,,
2795,인터스텔라인줄 알았는데 트리오브라이프,,,,,,,,,,,
2796,자신의 모든 것을 일에만 바치는 워커홀릭이라면 반드시 봐야 할 영화. 혹시 주변의 소중한 것들을 놓치고 사는 것은 아닌지...,,,,,,,,,,,
2797,우리가 무언가 가능성이 있을지도 모르는 것들을 찾으려 할때 결국 주위에 있는 가까운 것들을 놓치고 만다.,,,,,,,,,,,
2798,생각보다 스토리의 신선함이별로네요좀 싱겹다고 할까....,,,,,,,,,,,
2799,인터스텔라 우주드라마마션 우주휴먼코미디애드 아스트라 우주공포..스릴러?ㅜ,,,,,,,,,,,
2800,사색을 즐길 수 있는 영화.,,,,,,,,,,,
2801,세상의 끝에서 펼쳐지는 아주 작은 질문,,,,,,,,,,,
2802,중간에 한번 졸았네요. 브래트피트 내면의 연기는 좋았습니다.,,,,,,,,,,,
2803,깊이가 있는만큼 피곤할때 보면 꿈의 인터스텔라로,,,,,,,,,,,
2804,모든 우주가 끝나고,,,,,,,,,,,
2805,브래드피트 그리고 우리 모두의 인생 영화!,,,,,,,,,,,
2806,느린 진행이 지루할 수도 있었지만 의외로 몰입하면서 봤습니다.,,,,,,,,,,,
2807,재미있었다 난 토미리존스 아저씨 끝까지 이기적이다 덕분에 브래드피트 각성했지만 1도 안지루하고 재밌었음. 극한직업때 졸았던 사람임,,,,,,,,,,,
2808,그냥저냥 볼만했어요~ 생각보단 나쁘지 않았는데 마지막에 굳이 교훈줄려고 독백하는게 참 별로였음 ㅋㅋㅋㅋ,,,,,,,,,,,
2809,우주의 거대하고 어둡고 막막함을 보고 있자니 지구상의 나란 존재는 정말 한없이 작다는걸 새삼 느낌.. 또한 지구에 살고 있음에 감사.. 영화 재밌다!!,,,,,,,,,,,
2810,한 인간의 독백과 여정에서 살아있는 땅,,,,,,,,,,,
2811,꼭 보세요~^^ 시간 순삭입니다,,,,,,,,,,,
2812,밤새우고 영화 봐서 스토리 이해를 못 했는데  우주의 광활한 영상미는 잘 표현한 거 같다.,,,,,,,,,,,
2813,영화관에서 봐서 스케일크고 특이한 소재긴 했지만...막 엄청나게 스릴있거나 재밌진 않음,,,,,,,,,,,
2814,우주배경을 좋아하는 사람이면 무난하게 볼 수 있으나 뭔가 스펙타클한 SF적 전개와 볼거리를 기대한다면 지루할 수 있습니다. 배경이 우주일뿐 자전적인 이야기입니다. 저는 우주 영화를 좋아해서 몰입해서 봤습니다.,,,,,,,,,,,
2815,아버지와 아들.  우주와 지구. 명분과 현실.,,,,,,,,,,,
2816,브래드피트와 아버지 배우 대사와 연기가 좋았습니다,,,,,,,,,,,
2817,잘 만든 영화이긴 하나 주인공 로이의 생명력은 캡틴마블 급으로 허구성 짙은캐릭터임...,,,,,,,,,,,
2818,재밌었음. 영상미도 좋았고 사색에 잠기기 좋은 영화였음,,,,,,,,,,,
2819,몸은 점점 멀리 가는데,,,,,,,,,,,
2820,마지막 표현이 너무 아쉬웠음,,,,,,,,,,,
2821,뭔가 좀 아쉽다. 뭔가 좀 부족했음 좀 더 채울 수 있을듯 한데,,,,,,,,,,,
2822,SF스릴러를 가장한 가족 성장 드라마. 아무것에도 흥미를 느끼지못하는 주인공의 깊숙한 트라우마를 고치기 위해 17년이나 지나 머나먼 해왕성을 향해 떠난 주인공의 성장드라마. 영웅으로 알았던 아버지가 한낱 미치광이라는...,,,,,,,,,,,
2823,우주보다는 한 남자이야기...브래드 피트 감정,,,,,,,,,,,
2824,나쁘지 않습니다. 다만 브래드 피트 내면의 감정을 표현하는 것과 전체 서사를 긴장감있게 이끌어 나가는 것 두 마리 토끼를 잡으려다가 긴장감을 좀 놓친 듯한 느낌이 있습니다. 마무리도 100% 시원하게 되는 느낌은 아...,,,,,,,,,,,
2825,적당한 sf 요소 섞인 드라마물 지금 한국영화보단 나을듯,,,,,,,,,,,
2826,마음 속 끝에서 끝으로의 여정보다 짧았던 우주여행,,,,,,,,,,,
2827,브래드피트 ASMR...,,,,,,,,,,,
2828,마무리가 많이 아쉬운 영화.,,,,,,,,,,,
2829,잔잔하게 중간중간 졸았는데 나름 괜찮았네요,,,,,,,,,,,
2830,두가지 우주를 향하여.,,,,,,,,,,,
2831,추천합니다!!! 영상과 음향이 좋았어요,,,,,,,,,,,
2832,이 영화가 조금 일찍 나왔다면 우린 명왕성을 봤을까,,,,,,,,,,,
2833,사실 마지막에 반전 기대했는데 그냥 드라마처럼 흐른게 많이 아쉽기는 해요.. 후평 1029309 이분 말대로 인터스텔라라고 해서 진짜 반전 기대했는데.. 연인끼리 킬타임은 좀 아쉬움,,,,,,,,,,,
2834,평점이 극과극인 이유 : 문과가 만든 sf영화기 때문이다 기존의 sf를 생각한다면 넘어가시고 드라마를 생각하신다면 나름 뜻있습니다.,,,,,,,,,,,
2835,정말로 천천히 쌓아올리는 영화...쌓아올리는 과정이 나름 긴장감 있고 좋지만 아버지를 만나고 너무 쉽게 해소되는 느낌이 있음.,,,,,,,,,,,
2836,첨예한 전진 위에서조차,,,,,,,,,,,
2837,긴장감 넘쳐요 그래비티보다 재밌었음,,,,,,,,,,,
2838,없는 것을 찾기보다 있는 것을 사랑하자,,,,,,,,,,,
2839,난 스스로 고독한 인간이라고 생각했는데 생각해보니 외로움을 느끼는 사람이었다,,,,,,,,,,,
2840,그럭저럭. 너무 기대를 많이 한듯.,,,,,,,,,,,
2841,무슨 메세지인지 알겠는데 재미는 없네요,,,,,,,,,,,
2842,조용하고 공허한,,,,,,,,,,,
2843,영화관에서 봐야할 영화,,,,,,,,,,,
2844,직장 동료들에게 강추해야지,,,,,,,,,,,
2845,지금 우리가 살고 있는 지구조차도 우주의 먼지속에 티끌인것을.. 아버지는 왜 그랬을까가 아니라 왜 우리는 우주속에서 헤매이고 또 찾아다니는 것일까? 멀리있든 가까이있든 생명은 소중한것!,,,,,,,,,,,
2846,재미있습니다 강추합니다,,,,,,,,,,,
2847,결말은 다른 지옥의 묵시록 SF 버젼,,,,,,,,,,,
2848,요새 나도 힘들어죽겠는데,,,,,,,,,,,
2849,정말 사랑스러운영화~!! 진정한 삶의 의미를 그려봅니다,,,,,,,,,,,
2850,플라네테스의 한 에피소드가 생각나던데,,,,,,,,,,,
2851,"혼자보자 ""혼자""를 좋아하는 사람들에게 혼자를 생각하게하는 영화다.",,,,,,,,,,,
2852,평점조작 대단하다 ㅋ중랑 메가에서 다리뻣고 5명 이봤다 ㅋ,,,,,,,,,,,
2853,별다섯! 네이버 영화 평점 처음 달아봅니다.,,,,,,,,,,,
2854,브래드 피트의 본격 아빠 찾아 삼만리 해왕성 방문기. 우주영화 아닌 가족영화,,,,,,,,,,,
2855,재미있게 봤어요 적당히 긴장감있고 우주에 덩그러니 남겨져서 공허하면서 두려운 기분도 들고 또 너무 아름답다는 생각도 들고...우주여행하는 기분으로 봤어용,,,,,,,,,,,
2856,힐링되었어용 추천꽝!,,,,,,,,,,,
2857,뻔한 결말이 왜 반복되는지 생각해 봅니다. 그 이유가 있는 거겠죠 다른 길을 걸어도 결국은 소중한 것은 가까이 있다는건 변하지 않으니까요 ^^,,,,,,,,,,,
2858,극장에서 내려가기 전에 봤는데요.우주배경으로 잔잔하게 흘러가는 영화입니다.우주배경이라  TV 보다는 극장같은 큰 화면에서 보시면 좋고강한액션이나 스펙타클을 즐기기 보다는 전형적인 헐리웃 가족메시지이니 휴식을 취한다고...,,,,,,,,,,,
2859,잔잔합니다~~~ 나쁘진않아요 ㅎ,,,,,,,,,,,
2860,그는 없는 것만 찾았고 눈 앞에 있는 건 보지 못했다. 대사와 음악이 기억에 많이 남네요.브래드 피트 연기도 좋아요.,,,,,,,,,,,
2861,뭔가 심오 하게 생각이 필요하게 만드는 영화...과거 마션이나 인터스텔라 랑 다른걸 느끼게 해주네요,,,,,,,,,,,
2862,아니 평점 왜이러지 싸움질만 좋아하는 애새1키들이 깎아놨나,,,,,,,,,,,
2863,매우 독특한 메세지의 영화. 전체적으로는 조금씩 아쉬움. 거기까기 가는 비범한 용기,,,,,,,,,,,
2864,20대의 브레드피트는 예뻤고 30대는 섹시했고 40대는 멋있었는데 50대의 그는 어깨를 토닥이고 싶었다,,,,,,,,,,,
2865,다큐 휴먼드라마 킬링타임 / MIB 생각나서 혼자 웃음,,,,,,,,,,,
2866,문화의 날 5 천원에 우주여행 알차게 다녀왔습니다,,,,,,,,,,,
2867,감당 못할 진실 앞에서 우리는 무언가 특별한 이유가 있을 것이라 자신을 속인다. 사실은 아무것도 없는데도,,,,,,,,,,,
2868,외국서봐서 다시봐야겠다,,,,,,,,,,,
2869,소심한 땅굴파기 인생이 우주와 대비되면서 더욱 하찮아진다.,,,,,,,,,,,
2870,과학적이론을 대입해서 보면안된다 아버지를 생각하는 아들의 심리변화가 이 영화의 초점이다,,,,,,,,,,,
2871,나쁜영화는 아닌데  각 인물들 감정선이 너무 많고 복잡해서  어려웠던 영화 . 사실 좀더SF 적인 걸원했는데...그래비티 + 퍼스트맨 섞은듯. 한번번 가지고는 영화 전체를 볼수 없는 그런영화,,,,,,,,,,,
2872,참 이런저런 생각이 많아지는 좋은 영화네요,,,,,,,,,,,
2873,잔잔한 영화를 싫어하지 않고 오히려 좋아합니다. 최근들어 상업영화를 많이 보다 보니 이 영화가 심심할 수도 있지만,,,,,,,,,,,
2874,자식은 여럿이지만 아버지는 하나다,,,,,,,,,,,
2875,신파로 버무러진 한국영화??삶의 의미를 찾으려는 헐리우드 영화 굿굿,,,,,,,,,,,
2876,이런걸 극장에서 봐야지 CG하나없는 한국영화를 극장에서 보냐 돈아깝게,,,,,,,,,,,
2877,우주판 지옥의묵시록…잡으러가는 사람의 심리묘사가… 근데 솔직히 재미는 기대에 못미친다,,,,,,,,,,,
2878,브레드피트의 연기에 몰입했더니 우울증이 왔습니다.,,,,,,,,,,,
2879,지루해서 자긴했는데 마지막에는 여운이 남네요,,,,,,,,,,,
2880,말이 필요없음... 보세요 그냥,,,,,,,,,,,
2881,두바이 경유해서 유럽 가듯이 지구에서 달과 화성 거쳐 해왕성에 가더라고요! 지루한 장면도 있기는 하지만,,,,,,,,,,,
2882,우주 영화 좋아하면 재미있게 볼 듯! 영상미 스토리 둘 다 괜찮았다.우주영화 마니아로서 볼 만했다. 여전히 인터스텔라가 최애긴 하지만..,,,,,,,,,,,
2883,브래드피트의 독백에 감정이입하면서 보니까 그냥 지릴뻔햇다,,,,,,,,,,,
2884,아들로서의,,,,,,,,,,,
2885,브래드피트 인생작..,,,,,,,,,,,
2886,1. 주관적인 견해가 강한 영화이므로 코드가 안맞으면 보기 힘들다. 2. 메세지는 우주가 넓다한들 생명없는 곳은 공허하고 지구는 소중하다는 것. 3. 브래드의 연기가 물이 올랐다.,,,,,,,,,,,
2887,브래드 피트 진짜 잘생겼더라 보는 내내 감탄,,,,,,,,,,,
2888,여러모로 생각해 볼게 많은,,,,,,,,,,,
2889,멋모르고 봤다가 남자를 알려준 영화,,,,,,,,,,,
2890,대박인 영화  영상미 뛰어나다,,,,,,,,,,,
2891,에술적성취 상업적 완성도보는내내 입이 쩌억,,,,,,,,,,,
2892,올해 최고의 걸작. 한번 더 보러간다,,,,,,,,,,,
2893,Please let me go,,,,,,,,,,,
2894,몰입감 좋고 연기력 연출이 뛰어난 영화 입니다,,,,,,,,,,,
2895,이런게 영화아니냐??,,,,,,,,,,,
2896,"ㅎㅎ.. 이 영화 좀 웃긴게.. 2시간 동안 참 물흐르듯 그냥 아무 생각 안나게 스토리가 진행됩니다..  끝나고 나면 인터스텔라 처럼 ""와...."" 하지도 않고요 하지만 밤이 되고 다시 영화를 생각해보...",,,,,,,,,,,
2897,계속 생각하게하는 영화.,,,,,,,,,,,
2898,주인공에게 개인적으로 공감가는 바가 많아서인지 두시간 내내 집중할 수 있었던 영화고 여운이 길게 남는 어두운 영화... 호흡이 길고 심리묘사에 집중하기 때문에,,,,,,,,,,,
2899,뒷 분 코고는 소리 덕분에 깰 수 있었다. 그래비티를 기대했건만,,,,,,,,,,,
2900,없는걸 찾느라 허비하지 말자.,,,,,,,,,,,
2901,뻔해서 노잼. 대신 영상미는 좋았고 우주공간 느낌은 제대로 남. 꼭 아이맥스 로 감상하는걸 추천,,,,,,,,,,,
2902,좋은 철학이 담겨 있지만 숨막힘,,,,,,,,,,,
2903,한남자의 성장기치매노인의 이야기거기에 약간의 우주그래비티나 인터스텔라를 생각하신다면 비추잔잔한 인간의 성장기를 보고싶다면 조금추천근데 보다가 잠든영화 태어나서두번째에여초반이 조금 지루,,,,,,,,,,,
2904,잔잔한 우주영화 원숭이 나왔을때 개소름 ㄷㄷ,,,,,,,,,,,
2905,연출이나 각본보다 촬영기법이나 미쟝센이 압도적으로 훌륭한 영화. 2020년 오스카에서 촬영상은 이미 따놓은 당상,,,,,,,,,,,
2906,볼만합니다 재밌게봤내요,,,,,,,,,,,
2907,미래배경의 오이디푸스 컴플렉스 극복기,,,,,,,,,,,
2908,생각을 하게 하는 영화~재미 있어요,,,,,,,,,,,
2909,명불허전 빵오빠 영화!,,,,,,,,,,,
2910,정말 최고의 영화. 혼잡한 이 시대를 살아가는 현대인은 반드시 봐야할 영화,,,,,,,,,,,
2911,지루한 면이 없잖아 있습니다~~,,,,,,,,,,,
2912,슬로우 모션 영화여~ 원숭이가 가장 빠르게 감기였어 ㅠ,,,,,,,,,,,
2913,영화 마케팅하는 님들아평점조작 너무 심하다고 생각안하냐애드 아스트라 안본눈 삽니다,,,,,,,,,,,
2914,지루해 죽는줄 알았습니다.중간에 나와버리고 싶었는데 ..이  영화가 2위라는게 믿어지지가 않네요,,,,,,,,,,,
2915,그래비티 발끝도 못따라감알바에 또 속았ㄷ ㅏ ...,,,,,,,,,,,
2916,요즘 나오는 영화 왜 이러냐 진짜 ㅡㅡ 분노의질주도 조올라 노잼이였는데 피트형만 믿고 봤는데 또 뒤통수 맞았네,,,,,,,,,,,
2917,ㅋㅋㅋㅋ 여기 평점 정말 믿을수가 없네요,,,,,,,,,,,
2918,끝까지 긴장하고 보게되는 영화,,,,,,,,,,,
2919,광활한 우주를 같이 유영하는 느낌 그래비티 느낌도 살짝 나고 전 좋았어요,,,,,,,,,,,
2920,브래드피트 혼자 이끌어가는데도 전혀 모자라지 않다,,,,,,,,,,,
2921,"왠지 모르게 어린왕자의 명언이 생각나네요 ""가장 중요한 것은 눈에 보이지 않아""",,,,,,,,,,,
2922,인터스텔라 느낌일줄 알았는데... 넘 지루하다..,,,,,,,,,,,
2923,원숭이보면 끝. 나머진 자신과의 싸움 평점알바 쩌는 부분,,,,,,,,,,,
2924,1점도 아깝다 하...,,,,,,,,,,,
2925,마치 한국의 터널 하정우 연기 보는 듯 했어요,,,,,,,,,,,
2926,주인공의 내면을 알 수있어 더욱 뭉클했던 영화,,,,,,,,,,,
2927,마지막 대사가 인상적이에요. 전 재밌었어요,,,,,,,,,,,
2928,그래비티 느낌도 나고 SF영화 느낌도 나는 브레드 피트의 새로운 감성연기!!!,,,,,,,,,,,
2929,큰 우주에서 인간의 고독과 관계에 대해 생각해 볼 수 있었던 영화,,,,,,,,,,,
2930,영상미도 좋고 말하고자 하는 내용도 분명해서 좋았습니다,,,,,,,,,,,
2931,굳이 우주에서 까지 부자 드라마를 보고싶지 않다. 재미도 감동도 없었다. 절대 추천하고 싶지 않음. 본 사람들은 다들 돈 아까워하며 나감.,,,,,,,,,,,
2932,진짜 노잼이다  진짜 보지마라잠온다 진짜 잠온다   보지말라고 분명히 말했다제발 믿어주라 하...,,,,,,,,,,,
2933,용두사미긴 하지만 나름 재밌었음,,,,,,,,,,,
2934,잔잔하게 인생을 생각해보는 좋은 영화였네요 피트형 연기 좋아요 ~,,,,,,,,,,,
2935,없는걸 찾느라 있는걸 보지못했다..영화 진짜 잘 만듦,,,,,,,,,,,
2936,영상도 너무 너무 이쁘고 멋있었고요~ 브래드피트 연기는 역시 멋졌어요^^,,,,,,,,,,,
2937,추천합니다. 진지한 내용도 좋고 우주라는 배경도 좋았네요,,,,,,,,,,,
2938,올해 반드시 봐야하는 영화입니다.,,,,,,,,,,,
2939,근데 졸리는건 어쩔수가 없네요,,,,,,,,,,,
2940,아주 좋았어요 한 인간의 고뇌와 심리적 변화가 눈에 띕니다,,,,,,,,,,,
2941,답답하고 지루하고 우주 영상미라도 기대했는데 그것도 없다,,,,,,,,,,,
2942,Imax로 더해지는 영상미 우주를 다루니 색감과 표현이 풍부합니다.,,,,,,,,,,,
2943,소중한 것들은 생각보다 우리 가까이에 있다,,,,,,,,,,,
2944,꽤 괜찮은 영화..강추해요,,,,,,,,,,,
2945,브래드피트에 의한 브래드 피트를 위한 영화. 영화 진짜 잘 만들었음!!,,,,,,,,,,,
2946,주제가 뭔지찾아볼 정도로 잤다...중간에 내옆에 있는 아저씨는 나갔음나도 영화보다가 자기는 처음;;,,,,,,,,,,,
2947,평점 0.5점 주고싶은데 1점이 최저네요..,,,,,,,,,,,
2948,지루하다는 사람들 이해가는 면이 있기는한데 솔직히 영화를 편협하게 봐왔던게 아닌가 싶음~슬픔,,,,,,,,,,,
2949,아버지와 사이좋은 사람들은 비추... 사이안좋은 사람들은 강추,,,,,,,,,,,
2950,지금 까지 본 우주영화랑 또 다른 내용. 인터스텔라처럼 뭔가 현실적이면서 신비한 분위기의 미래를 다른 영화. 중간에 잠올것같다가 깼다ㅠㅠㅠ 브래드피트는 나이먹어도 존잘,,,,,,,,,,,
2951,이거 왜 봤지... 진짜 지루했어요 ㅠㅠ 뭔가 나올 줄 알았는데 유인원 나온 1분 말고 끝까지 지겨움,,,,,,,,,,,
2952,아버지보고 정신 차린 아들..,,,,,,,,,,,
2953,중간부터 지루하지만 볼만한 SF영화,,,,,,,,,,,
2954,브래드피트는 세상과 싸우고 난 두시간 동안 내 자신과 싸웠다 잠들지말자 ....,,,,,,,,,,,
2955,진짜 먹고살아야 하는 알바의 심정도 알겠으나 정말 너무하네요.보시면 숙면을 취할수 있습니다.주무실분은 보세요.,,,,,,,,,,,
2956,마지막에 여운이 몰아침,,,,,,,,,,,
2957,너무 멀리 보지 말자 한 걸음 앞을 바라보자~,,,,,,,,,,,
2958,가슴 한켠에 커다란 메세지 심어준 영화,,,,,,,,,,,
2959,태양계 끝까지 아버지와 나를 찾아떠나는 기나긴 여정...,,,,,,,,,,,
2960,영상미가 너무 좋네요! 물론 주제도 좋아요,,,,,,,,,,,
2961,배우들의 연기가 돋보인 영화쓰,,,,,,,,,,,
2962,소중한 것에 집중하며 주변에 감사하며 살아야 겠다.,,,,,,,,,,,
2963,우주영화는 언제나 최고! 영상미와 배우연기가 장난아니였어요,,,,,,,,,,,
2964,나 혼자서만 영화보면서 잘수는 없지....,,,,,,,,,,,
2965,철학적인 삶을 위한 모든 것이 있다면 정말 좋은 시간,,,,,,,,,,,
2966,감명깊게봤습니다 한인간의 고뇌를 잘 표현한것 같아요,,,,,,,,,,,
2967,인생작 너무 잼있고 생각하능것들이 많아지는 영화였오요,,,,,,,,,,,
2968,왜 브래드피트 브래드피트 하는 줄 알겠는 영화!,,,,,,,,,,,
2969,재밌었어요~~ 공상우주 영화라 좋네요 ㅎㅎ,,,,,,,,,,,
2970,나를찾아떠나기 이후로 최고의 감동을 받았습니다,,,,,,,,,,,
2971,영화좋아요 우주영화인데도 심심하지않고 스토리를 쭉 따라갈수있어요,,,,,,,,,,,
2972,당신 곁의 소중한 이들을 기억하세요!,,,,,,,,,,,
2973,SF를 좋아하는데...  이영화는 정말 모르겠다... 억지로 무슨 의미를 부여하자면 해줄순있겠는데.... 솔직히 재미없었다 보다가 졸은 영화가 몇개안되는데  그중 하나였다 이게 바로 평점알바의 농간인가ㅋㅋ,,,,,,,,,,,
2974,우주란 희망과 빛 같지만 그 이면에는 어둠이 있다.,,,,,,,,,,,
2975,우주에서 살아갈 의미를 발견하다.,,,,,,,,,,,
2976,졸려서 죽는줄.. 끝나기만 기다림~,,,,,,,,,,,
2977,브래드피트의 인생 연기 그리고 단순한 sf가 아닌 인간의 내면을 표현한 영화,,,,,,,,,,,
2978,우주를 배경으로한 심리극일줄이야..,,,,,,,,,,,
2979,잔잔하고 여운이 남는 영화.,,,,,,,,,,,
2980,완전 명작! 브래드핏은 언제나옳다!,,,,,,,,,,,
2981,주인공의 이야기를 잘 따라간 영화였아요,,,,,,,,,,,
2982,우주에서 지구까지가는거 재미있었어요.,,,,,,,,,,,
